id:ID,url,name,eurovoc_concepts:STRING[],domains:STRING[],subdomains:STRING[],:LABEL
http://eurovoc.europa.eu/08133,http://eurovoc.europa.eu/08133,goods,goods;2026 consumption;20 TRADE;goods and services,20 TRADE,2026 consumption,EurovocConcept
http://eurovoc.europa.eu/1,http://eurovoc.europa.eu/1,Århus (county),7211 regions of EU Member States;Århus (county);regions of Denmark;72 GEOGRAPHY,72 GEOGRAPHY,7211 regions of EU Member States,EurovocConcept
http://eurovoc.europa.eu/10,http://eurovoc.europa.eu/10,domestic trade,domestic trade;20 TRADE;2006 trade policy;trade policy,20 TRADE,2006 trade policy,EurovocConcept
http://eurovoc.europa.eu/100,http://eurovoc.europa.eu/100,racial conflict,racial discrimination;anti-discriminatory measure;12 LAW;racial conflict;1236 rights and freedoms,12 LAW,1236 rights and freedoms,EurovocConcept
http://eurovoc.europa.eu/1000,http://eurovoc.europa.eu/1000,financing,financing;2426 financing and investment;24 FINANCE,24 FINANCE,2426 financing and investment,EurovocConcept
http://eurovoc.europa.eu/1001,http://eurovoc.europa.eu/1001,short-term financing,financing;2426 financing and investment;short-term financing;24 FINANCE,24 FINANCE,2426 financing and investment,EurovocConcept
http://eurovoc.europa.eu/100142,http://eurovoc.europa.eu/100142,04 POLITICS,04 POLITICS,04 POLITICS,"",EurovocConcept;Domain
http://eurovoc.europa.eu/100143,http://eurovoc.europa.eu/100143,08 INTERNATIONAL RELATIONS,08 INTERNATIONAL RELATIONS,08 INTERNATIONAL RELATIONS,"",EurovocConcept;Domain
http://eurovoc.europa.eu/100144,http://eurovoc.europa.eu/100144,10 EUROPEAN UNION,10 EUROPEAN UNION,10 EUROPEAN UNION,"",EurovocConcept;Domain
http://eurovoc.europa.eu/100145,http://eurovoc.europa.eu/100145,12 LAW,12 LAW,12 LAW,"",EurovocConcept;Domain
http://eurovoc.europa.eu/100146,http://eurovoc.europa.eu/100146,16 ECONOMICS,16 ECONOMICS,16 ECONOMICS,"",EurovocConcept;Domain
http://eurovoc.europa.eu/100147,http://eurovoc.europa.eu/100147,20 TRADE,20 TRADE,20 TRADE,"",EurovocConcept;Domain
http://eurovoc.europa.eu/100148,http://eurovoc.europa.eu/100148,24 FINANCE,24 FINANCE,24 FINANCE,"",EurovocConcept;Domain
http://eurovoc.europa.eu/100149,http://eurovoc.europa.eu/100149,28 SOCIAL QUESTIONS,28 SOCIAL QUESTIONS,28 SOCIAL QUESTIONS,"",EurovocConcept;Domain
http://eurovoc.europa.eu/100150,http://eurovoc.europa.eu/100150,32 EDUCATION AND COMMUNICATIONS,32 EDUCATION AND COMMUNICATIONS,32 EDUCATION AND COMMUNICATIONS,"",EurovocConcept;Domain
