src_slug,src_urn,dst_urn,dst_slug,testo_rif,interno
dlgs_36_2023,urn:nir:stato:decreto.legislativo:2023-03-31;36,urn:nir:stato:costituzione:1947-12-27,,articoli 76,False
dlgs_36_2023,urn:nir:stato:decreto.legislativo:2023-03-31;36,urn:nir:stato:legge:1988-08-23;400,,"articolo 14 della legge 23 agosto 1988, n. 400",False
dlgs_36_2023,urn:nir:stato:decreto.legislativo:2023-03-31;36,urn:nir:stato:legge:2012-12-24;234,,"legge 24 dicembre 2012, n. 234",False
dlgs_36_2023,urn:nir:stato:decreto.legislativo:2023-03-31;36,urn:nir:stato:decreto.legislativo:2016-04-18;50,dlgs_50_2016,"decreto legislativo 18 aprile 2016, n. 50",True
dlgs_36_2023,urn:nir:stato:decreto.legislativo:2023-03-31;36,urn:nir:stato:decreto.legislativo:2006-04-12;163,dlgs_163_2006,Codice dei contratti pubblici,True
dlgs_36_2023,urn:nir:stato:decreto.legislativo:2023-03-31;36,urn:nir:stato:legge:2022-06-21;78,l_78_2022,"legge 21 giugno 2022, n. 78",True
dlgs_36_2023,urn:nir:stato:decreto.legislativo:2023-03-31;36,urn:nir:stato:regio.decreto:1924-06-26;1054,,"regio decreto 26 giugno 1924, n. 1054",False
dlgs_36_2023,urn:nir:stato:decreto.legislativo:2023-03-31;36,urn:nir:stato:decreto.legislativo:2023-01-26;281,,"articolo 8 del decreto legislativo 28 agosto 1997, n. 281, reso in data 26 gennaio 2023",False
dlgs_50_2016,urn:nir:stato:decreto.legislativo:2016-04-18;50,urn:nir:stato:decreto.legislativo:2023-03-31;36,dlgs_36_2023,"D.LGS. 31 MARZO 2023, N. 36",True
dlgs_50_2016,urn:nir:stato:decreto.legislativo:2016-04-18;50,urn:nir:stato:decreto.legislativo:2016;50,,decreto legislativo n. 50 del 2016,False
dlgs_163_2006,urn:nir:stato:decreto.legislativo:2006-04-12;163,urn:nir:stato:decreto.legislativo:2016-04-18;50,dlgs_50_2016,"D.LGS. 18 APRILE 2016, N. 50",True
dlgs_209_2024,urn:nir:stato:decreto.legislativo:2024-12-31;209,urn:nir:stato:costituzione:1947-12-27,,articoli 76,False
dlgs_209_2024,urn:nir:stato:decreto.legislativo:2024-12-31;209,urn:nir:stato:legge:1988-08-23;400,,"legge 23 agosto 1988, n. 400",False
dlgs_209_2024,urn:nir:stato:decreto.legislativo:2024-12-31;209,urn:nir:stato:legge:2022-06-21;78,l_78_2022,"legge 21 giugno 2022, n. 78",True
