src_slug,dst_slug,type,family,w
dlgs_36_2023,l_241_1990,CITES,ref,1
dlgs_36_2023,dlgs_33_2013,CITES,ref,1
dlgs_36_2023,l_136_2010,CITES,ref,1
dlgs_36_2023,l_114_2014,CITES,ref,1
dlgs_36_2023,dl_135_2018,BASED_ON,hier,2
dlgs_36_2023,l_190_2012,CITES,ref,1
dlgs_36_2023,dlgs_50_2016,CITES,ref,1
dlgs_36_2023,l_78_2022,CITES,ref,1
dlgs_36_2023,l_55_2019,BASED_ON,hier,2
dlgs_36_2023,dlgs_228_2011,CITES,ref,1
dlgs_36_2023,l_120_2020,AMENDS,mod,2
dlgs_36_2023,dlgs_229_2011,BASED_ON,hier,2
dlgs_36_2023,l_108_2021,CITES,ref,1
dlgs_36_2023,dl_13_2023,CITES,ref,1
dlgs_36_2023,dlgs_163_2006,CITES,ref,1
dlgs_36_2023,dpr_207_2010,CITES,ref,1
dlgs_36_2023,dlgs_209_2024,CITES,ref,1
dlgs_50_2016,dlgs_36_2023,REPEALS,mod,2
dlgs_163_2006,dlgs_50_2016,REPEALS,mod,2
dlgs_163_2006,dlgs_56_2017,AMENDS,mod,2
dlgs_209_2024,dlgs_36_2023,CITES,ref,1
dlgs_209_2024,l_241_1990,BASED_ON,hier,2
dlgs_209_2024,dl_135_2018,BASED_ON,hier,2
dlgs_209_2024,dlgs_50_2016,BASED_ON,hier,2
dlgs_209_2024,dlgs_33_2013,CITES,ref,1
dlgs_209_2024,l_120_2020,CITES,ref,1
dlgs_209_2024,l_136_2010,DEROGATES,proc,1
dlgs_56_2017,dlgs_50_2016,CITES,ref,1
dlgs_56_2017,l_11_2016,CITES,ref,1
dlgs_56_2017,dlgs_33_2013,CITES,ref,1
dlgs_56_2017,dlgs_229_2011,CITES,ref,1
dlgs_56_2017,l_190_2012,CITES,ref,1
dlgs_56_2017,l_241_1990,AMENDS,mod,2
dlgs_56_2017,l_114_2014,CITES,ref,1
dlgs_56_2017,dlgs_163_2006,CITES,ref,1
dlgs_56_2017,l_98_2013,CITES,ref,1
l_11_2016,dlgs_163_2006,CITES,ref,1
dpr_207_2010,dlgs_163_2006,CITES,ref,1
dpr_207_2010,dlgs_50_2016,REPEALS,mod,2
l_241_1990,dlgs_163_2006,CITES,ref,1
l_190_2012,dlgs_33_2013,BASED_ON,hier,2
l_190_2012,l_241_1990,BASED_ON,hier,2
l_190_2012,dlgs_50_2016,REPEALS,mod,2
l_190_2012,dlgs_56_2017,REPEALS,mod,2
l_190_2012,dlgs_97_2016,CITES,ref,1
l_90_2024,dlgs_36_2023,CITES,ref,1
l_136_2010,dlgs_163_2006,BASED_ON,hier,2
dlgs_33_2013,l_241_1990,CITES,ref,1
dlgs_33_2013,l_78_2022,BASED_ON,hier,2
dlgs_33_2013,dlgs_229_2011,BASED_ON,hier,2
dlgs_33_2013,dlgs_228_2011,CITES,ref,1
dlgs_33_2013,l_190_2012,CITES,ref,1
dlgs_33_2013,dlgs_97_2016,REPEALS,mod,2
dlgs_97_2016,dlgs_33_2013,AMENDS,mod,2
dlgs_97_2016,l_241_1990,CITES,ref,1
dlgs_97_2016,l_190_2012,BASED_ON,hier,2
dlgs_97_2016,dlgs_50_2016,BASED_ON,hier,2
dlgs_97_2016,dlgs_229_2011,BASED_ON,hier,2
dlgs_97_2016,dlgs_228_2011,CITES,ref,1
dlgs_218_2012,l_136_2010,CITES,ref,1
dlgs_218_2012,dlgs_163_2006,CITES,ref,1
dlgs_228_2011,dlgs_163_2006,BASED_ON,hier,2
dlgs_228_2011,dpr_207_2010,CITES,ref,1
dlgs_228_2011,dlgs_50_2016,REPEALS,mod,2
dlgs_228_2011,dlgs_33_2013,REPEALS,mod,2
dlgs_229_2011,dlgs_33_2013,CITES,ref,1
dlgs_229_2011,dlgs_163_2006,CITES,ref,1
dlgs_229_2011,l_136_2010,BASED_ON,hier,2
dlgs_59_2010,l_241_1990,CITES,ref,1
dlgs_59_2010,dlgs_163_2006,DEROGATES,proc,1
dm_154_2017,dlgs_36_2023,REPEALS,mod,2
dl_13_2023,l_108_2021,CITES,ref,1
dl_13_2023,l_55_2019,CITES,ref,1
dl_13_2023,dlgs_33_2013,CITES,ref,1
dl_13_2023,l_145_2018,CITES,ref,1
dl_13_2023,dlgs_50_2016,DEROGATES,proc,1
dl_13_2023,l_241_1990,BASED_ON,hier,2
dl_13_2023,l_120_2020,CITES,ref,1
dl_13_2023,l_56_2024,CITES,ref,1
dl_13_2023,dlgs_36_2023,BASED_ON,hier,2
l_145_2018,l_241_1990,CITES,ref,1
dl_135_2018,l_145_2018,BASED_ON,hier,2
dl_135_2018,dlgs_50_2016,AMENDS,mod,2
