segment_id,celex,node_id,articolo_id,llm_status,pct__Foundational_and_structural_provisions,pct__Scope_and_exclusion_clauses,pct__Exception_and_derogation_clauses,pct__Implementation_and_procedural_rules,pct__Cross-reference_and_incorporation_clauses,pct__Technical_amending_provisions
dlgs_36_2023__articolo__1,dlgs_36_2023,dlgs_36_2023,1,ok,80.0,0.0,0.0,15.0,0.0,5.0
dlgs_36_2023__articolo__2,dlgs_36_2023,dlgs_36_2023,2,ok,55.0,0.0,20.0,25.0,0.0,0.0
dlgs_36_2023__articolo__3,dlgs_36_2023,dlgs_36_2023,3,ok,85.0,0.0,0.0,15.0,0.0,0.0
dlgs_36_2023__articolo__4,dlgs_36_2023,dlgs_36_2023,4,ok,20.0,0.0,0.0,0.0,80.0,0.0
dlgs_36_2023__articolo__5,dlgs_36_2023,dlgs_36_2023,5,ok,45.0,0.0,20.0,25.0,0.0,10.0
dlgs_36_2023__articolo__6,dlgs_36_2023,dlgs_36_2023,6,ok,85.0,15.0,0.0,0.0,0.0,0.0
dlgs_36_2023__articolo__7,dlgs_36_2023,dlgs_36_2023,7,ok,45.0,10.0,25.0,15.0,5.0,0.0
dlgs_36_2023__articolo__8,dlgs_36_2023,dlgs_36_2023,8,ok,50.0,0.0,25.0,15.0,10.0,0.0
dlgs_36_2023__articolo__9,dlgs_36_2023,dlgs_36_2023,9,ok,45.0,0.0,20.0,20.0,10.0,5.0
dlgs_36_2023__articolo__10,dlgs_36_2023,dlgs_36_2023,10,ok,46.67,13.33,6.67,13.33,20.0,0.0
dlgs_36_2023__articolo__11,dlgs_36_2023,dlgs_36_2023,11,ok,45.0,10.0,10.0,35.0,0.0,0.0
dlgs_36_2023__articolo__12,dlgs_36_2023,dlgs_36_2023,12,ok,0.0,0.0,0.0,0.0,100.0,0.0
dlgs_36_2023__articolo__13,dlgs_36_2023,dlgs_36_2023,13,ok,28.0,42.0,10.0,10.0,10.0,0.0
