celex,H_local,H_global,H_delta,lamf_glob_L1,lamf_glob_L2,lamf_glob_L3,lamf_glob_L4
dlgs_59_2010,0.7462,0.761,0.0148,49.44,37.42,3.14,10.0
l_90_2024,0.7245,0.7086,-0.0159,38.35,50.07,0.44,11.14
dlgs_228_2011,0.7159,0.7366,0.0207,43.76,44.1,1.36,10.78
l_190_2012,0.676,0.6899,0.014,39.92,50.94,0.82,8.32
dlgs_33_2013,0.6757,0.7066,0.0309,37.6,52.22,1.35,8.83
dlgs_163_2006,0.6708,0.7649,0.0941,56.29,29.42,7.15,7.13
32014L0023,0.6655,0.6655,0.0,42.31,49.95,0.34,7.41
l_241_1990,0.6415,0.7209,0.0794,55.42,34.0,3.58,7.01
dpr_207_2010,0.6408,0.7518,0.1111,33.26,51.29,1.33,14.12
32014L0024,0.6374,0.6374,0.0,31.6,60.33,0.26,7.81
dlgs_229_2011,0.6246,0.7263,0.1017,32.44,56.51,6.15,4.89
l_136_2010,0.6161,0.737,0.1209,44.76,44.82,3.52,6.89
l_108_2021,0.6134,0.6134,0.0,31.62,7.03,0.0,61.35
32014L0025,0.6117,0.6117,0.0,34.67,59.57,0.17,5.59
l_145_2018,0.6021,0.6779,0.0758,51.02,41.67,1.78,5.53
dlgs_36_2023,0.6009,0.6743,0.0734,39.08,52.92,0.93,7.07
dlgs_218_2012,0.5732,0.7021,0.1289,40.58,50.85,2.63,5.94
dlgs_97_2016,0.5575,0.6525,0.0951,35.13,57.71,1.12,6.04
dlgs_50_2016,0.554,0.6364,0.0824,52.41,41.88,0.44,5.27
dl_13_2023,0.5512,0.6555,0.1043,40.83,52.36,0.64,6.17
dlgs_209_2024,0.5003,0.6182,0.1179,36.85,58.04,0.76,4.35
dl_135_2018,0.4701,0.5937,0.1237,43.59,53.19,0.55,2.67
dlgs_56_2017,0.32,0.618,0.298,30.72,63.22,1.54,4.53
l_120_2020,0.0,0.0,0.0,100.0,0.0,0.0,0.0
l_11_2016,0.0,0.5094,0.5094,78.44,14.51,3.52,3.52
l_114_2014,0.0,0.0,0.0,100.0,0.0,0.0,0.0
l_105_2025,0.0,0.0,0.0,100.0,0.0,0.0,0.0
l_55_2019,0.0,0.0,0.0,100.0,0.0,0.0,0.0
l_56_2024,0.0,0.0,0.0,100.0,0.0,0.0,0.0
l_78_2022,0.0,0.0,0.0,100.0,0.0,0.0,0.0
l_98_2013,0.0,0.0,0.0,100.0,0.0,0.0,0.0
