id,urn,giurisdizione,tipo,anno,numero,titolo,layer_atteso,eu_celex_collegati,fonte_estrazione,fonte_file,n_articoli,n_commi,quality_score,note
dlgs_36_2023,urn:nir:stato:decreto.legislativo:2023-03-31;36,IT,decreto.legislativo,2023,36,"DECRETO LEGISLATIVO



		



		 	



			31

			marzo

			2023, n. 36 Codice dei contratti pubblici in  attuazione  dell'articolo  1  della
legge 21 giugno 2022, n. 78, recante delega al Governo in materia  di
contratti pubblici. (23G00044) note: Entrata in vigore del provvedimento: 01/04/2023 (Ultim",Codice primario,"[""32014L0023"", ""32014L0024"", ""32014L0025""]",pdf_gu,gu_pdf_fresh,489,2725,80,"Codice vigente — recepisce Dir. 2014/23, 2014/24, 2014/25"
dlgs_50_2016,urn:nir:stato:decreto.legislativo:2016-04-18;50,IT,decreto.legislativo,2016,50,"DECRETO LEGISLATIVO



		



		 	



			18

			aprile

			2016, n. 50 ((Codice dei contratti pubblici)) . (16G00062) note: Entrata in vigore del provvedimento: 19/04/2016 (Ultimo aggiornamento all'atto pubblicato il 31/03/2023) (GU n.91 del 19-04-2016 - Suppl. Ordinario n. 10) visualizza atto intero",Codice primario — storico,"[""32014L0023"", ""32014L0024"", ""32014L0025""]",pdf_gu,gu_pdf_fresh,0,0,5,Vecchio codice — contratti in corso e analisi storica
dlgs_163_2006,urn:nir:stato:decreto.legislativo:2006-04-12;163,IT,decreto.legislativo,2006,163,"DECRETO LEGISLATIVO



		



		 	



			12

			aprile

			2006, n. 163 Codice  dei contratti pubblici relativi a lavori, servizi e forniture

in attuazione delle direttive 2004/17/CE e 2004/18/CE. note: Entrata in vigore del decreto: 1-7-2006 (Ultimo aggiornamento all'atto pubblicato il 18/04/2019) ",Codice primario — storico,"[""32004L0017"", ""32004L0018""]",pdf_gu,gu_pdf_fresh,257,1669,100,Primo codice organico — analisi stratificazione normativa
dlgs_209_2024,urn:nir:stato:decreto.legislativo:2024-12-31;209,IT,decreto.legislativo,2024,209,"DECRETO LEGISLATIVO



		



		 	



			31

			dicembre

			2024, n. 209 Disposizioni  integrative  e  correttive  al  codice  dei   contratti
pubblici, di cui  al  decreto  legislativo  31  marzo  2023,  n.  36.
(24G00231) note: Entrata in vigore del provvedimento: 31/12/2024 (GU n.305 del 31-12-20",Correttivo,[],pdf_gu,gu_pdf_fresh,0,0,5,Correttivo al D.Lgs. 36/2023 — dicembre 2024
dlgs_56_2017,urn:nir:stato:decreto.legislativo:2017-04-19;56,IT,decreto.legislativo,2017,56,"DECRETO LEGISLATIVO



		



		 	



			19

			aprile

			2017, n. 56 Disposizioni integrative  e  correttive  al  decreto  legislativo  18
aprile 2016, n. 50. (17G00078) note: Entrata in vigore del provvedimento: 20/05/2017 (GU n.103 del 05-05-2017 - Suppl. Ordinario n. 22) visualizza atto intero",Correttivo,[],pdf_gu,gu_pdf_fresh,131,970,90,Primo correttivo al vecchio codice
l_78_2022,urn:nir:stato:legge:2022-06-21;78,IT,legge,2022,78,"LEGGE



		



		 	



			21

			giugno

			2022, n. 78 Delega al Governo in materia di contratti pubblici. (22G00087) note: Entrata in vigore del provvedimento: 09/07/2022 (GU n.146 del 24-06-2022) visualizza atto intero",Legge delega,[],pdf_gu,gu_pdf_fresh,7,29,60,Delega che ha abilitato il D.Lgs. 36/2023
l_11_2016,urn:nir:stato:legge:2016-01-28;11,IT,legge,2016,11,"LEGGE



		



		 	



			28

			gennaio

			2016, n. 11 Deleghe al  Governo  per  l'attuazione  delle  direttive  2014/23/UE,
2014/24/UE e 2014/25/UE del Parlamento europeo e del  Consiglio,  del
26 febbraio 2014, sull'aggiudicazione dei contratti  di  concessione,
sugli  appalti  pubblici  e  sull",Legge delega,[],pdf_gu,gu_pdf_fresh,71,157,90,Delega che ha abilitato il D.Lgs. 50/2016
dpr_207_2010,urn:nir:stato:decreto.del.presidente.della.repubblica:2010-10-05;207,IT,decreto.del.presidente.della.repubblica,2010,207,"DECRETO DEL PRESIDENTE DELLA REPUBBLICA



		



		 	



			5

			ottobre

			2010, n. 207 Regolamento di esecuzione ed attuazione del  decreto  legislativo  12

aprile 2006, n. 163, recante «Codice dei contratti pubblici  relativi

a  lavori,  servizi  e  forniture  in  attuazione   delle   diretti",Regolamento attuativo,[],pdf_gu,gu_pdf_fresh,0,0,15,"Archetipo livello III: puro dettaglio operativo, zero principi"
l_108_2021,urn:nir:stato:legge:2021-07-29;108,IT,legge,2021,108,"LEGGE



		



		 	



			29

			luglio

			2021, n. 108 Conversione in legge, con modificazioni, del decreto-legge 31  maggio
2021, n. 77, recante governance del  Piano  nazionale  di  ripresa  e
resilienza  e  prime  misure   di   rafforzamento   delle   strutture
amministrative e di  accelerazion",Ibrido atteso,[],pdf_gu,gu_pdf_fresh,122,515,80,PNRR: principi e soglie numeriche operative nello stesso articolo
l_120_2020,urn:nir:stato:legge:2020-09-11;120,IT,legge,2020,120,"LEGGE



		



		 	



			11

			settembre

			2020, n. 120 Conversione in legge, con modificazioni, del decreto-legge 16  luglio
2020,  n.  76,  recante  misure  urgenti  per  la  semplificazione  e
l'innovazione digitale. (20G00139) note: Entrata in vigore del provvedimento: 15/09/2020 (Ultimo agg",Ibrido atteso,[],pdf_gu,gu_pdf_fresh,112,483,80,"Misure urgenti semplificazione appalti: mescola soglie, procedure e principi"
