segment_id,celex,node_id,tipo,identificatore,llm_status,evidence,lamf_L1,lamf_L2,articolo_id
dlgs_36_2023__articolo__1,dlgs_36_2023,dlgs_36_2023,articolo,1,ok,"[{""testo"": ""Le stazioni appaltanti e gli enti concedenti perseguono il risultato dell’affidamento del contratto e della sua esecuzione"", ""layer"": ""L1"", ""motivo"": ""This sets a general guiding principle and core objective for contracting authorities.""}, {""testo"": ""nel rispetto dei principi di legalità, trasparenza e concorrenza"", ""layer"": ""L1"", ""motivo"": ""This identifies foundational principles that frame the legal regime.""}, {""testo"": ""La trasparenza è funzionale alla massima semplicità e celerità nella corretta applicazione delle regole del presente decreto"", ""layer"": ""L2"", ""motivo"": ""This links transparency to operational application of the rules, which is more technical and procedural.""}, {""testo"": ""costituisce criterio prioritario per l’esercizio del potere discrezionale"", ""layer"": ""L1"", ""motivo"": ""This establishes a general rule for decision-making discretion, which is a core normative standard.""}]",85.0,15.0,1
dlgs_36_2023__articolo__2,dlgs_36_2023,dlgs_36_2023,articolo,2,ok,"[{""testo"": ""Il principio della fiducia"", ""layer"": ""L1"", ""motivo"": ""This sets out a core guiding principle for the public procurement system, which is a foundational normative choice.""}, {""testo"": ""si fonda sul principio della reciproca fiducia"", ""layer"": ""L1"", ""motivo"": ""It defines the basic framework principle governing the exercise of powers in public contracts.""}, {""testo"": ""favorisce e valorizza l'iniziativa e l'autonomia decisionale dei funzionari pubblici"", ""layer"": ""L1"", ""motivo"": ""This establishes a general rule on the role and discretion of public officials, which is a substantive governance principle.""}, {""testo"": ""costituisce colpa grave"", ""layer"": ""L2"", ""motivo"": ""This provides an operational standard for assessing administrative liability and misconduct.""}, {""testo"": ""adottano azioni per la copertura assicurativa dei rischi per il personale"", ""layer"": ""L2"", ""motivo"": ""This imposes a concrete implementation measure and organizational action, which is more technical and operational.""}]",80.0,20.0,2
dlgs_36_2023__articolo__3,dlgs_36_2023,dlgs_36_2023,articolo,3,ok,"[{""testo"": ""Principio dell’accesso al mercato"", ""layer"": ""L1"", ""motivo"": ""This states a core principle, which is characteristic of Level 1 framework legislation.""}, {""testo"": ""favoriscono ... l’accesso al mercato degli operatori economici"", ""layer"": ""L1"", ""motivo"": ""This establishes a general obligation and policy direction for contracting authorities, fitting Level 1.""}, {""testo"": ""secondo le modalità indicate dal codice"", ""layer"": ""L2"", ""motivo"": ""This refers to implementation methods set elsewhere, adding an operational element.""}, {""testo"": ""nel rispetto dei principi di concorrenza, di imparzialità, di non discriminazione, di pubblicità e trasparenza, di proporzionalità"", ""layer"": ""L1"", ""motivo"": ""These are foundational principles that define the normative framework rather than technical procedures.""}]",80.0,20.0,3
dlgs_36_2023__articolo__4,dlgs_36_2023,dlgs_36_2023,articolo,4,ok,"[{""testo"": ""Criterio interpretativo e applicativo"", ""layer"": ""L1"", ""motivo"": ""This sets a general interpretive rule, which is a framework-level provision.""}, {""testo"": ""Le disposizioni del codice si interpretano e si applicano"", ""layer"": ""L2"", ""motivo"": ""This specifies how the code is to be applied in practice, giving an operational rule.""}, {""testo"": ""in base ai principi di cui agli articoli 1, 2 e 3"", ""layer"": ""L1"", ""motivo"": ""This links interpretation to higher-level principles, indicating a foundational rather than technical function.""}]",80.0,20.0,4
dlgs_36_2023__articolo__5,dlgs_36_2023,dlgs_36_2023,articolo,5,ok,"[{""testo"": ""Principi di buona fede e di tutela dell’affidamento"", ""layer"": ""L1"", ""motivo"": ""It states general legal principles that frame the conduct of the parties.""}, {""testo"": ""le stazioni appaltanti, gli enti concedenti e gli operatori economici si comportano reciprocamente nel rispetto dei principi di buona fede e di tutela dell’affidamento"", ""layer"": ""L1"", ""motivo"": ""It establishes a general obligation of conduct for the main actors in the procurement procedure.""}, {""testo"": ""sussiste un affidamento dell’operatore economico sul legittimo esercizio del potere"", ""layer"": ""L1"", ""motivo"": ""It defines a substantive legal expectation/right within the procedure.""}, {""testo"": ""l’affidamento non si considera incolpevole se l’illegittimità è agevolmente rilevabile"", ""layer"": ""L2"", ""motivo"": ""It introduces an operational criterion for assessing when reliance is not excusable.""}, {""testo"": ""il danno da lesione dell’affidamento è limitato ai pregiudizi economici effettivamente subiti e provati"", ""layer"": ""L2"", ""motivo"": ""It specifies a concrete rule for quantifying and proving recoverable damages.""}, {""testo"": ""resta ferma la concorrente responsabilità dell’operatore economico"", ""layer"": ""L1"", ""motivo"": ""It allocates responsibility among actors, which is a core legal rule rather than a technical procedure.""}]",80.0,20.0,5
dlgs_36_2023__articolo__6,dlgs_36_2023,dlgs_36_2023,articolo,6,ok,"[{""testo"": ""In attuazione dei principi di solidarietà sociale e di sussidiarietà orizzontale"", ""layer"": ""L1"", ""motivo"": ""This frames the provision around foundational principles, which is characteristic of Level 1.""}, {""testo"": ""la pubblica amministrazione può apprestare ... modelli organizzativi di amministrazione condivisa"", ""layer"": ""L1"", ""motivo"": ""This establishes a general institutional power/option for public administration, a core framework choice.""}, {""testo"": ""fondati sulla condivisione della funzione amministrativa con gli enti del Terzo settore"", ""layer"": ""L1"", ""motivo"": ""This defines the basic relationship and governance model between public administration and third-sector entities.""}, {""testo"": ""purché gli stessi contribuiscano al perseguimento delle finalità sociali in condizioni di pari trattamento, in modo effettivo e trasparente"", ""layer"": ""L2"", ""motivo"": ""These are operational conditions for applying the model, specifying how it must function in practice.""}, {""testo"": ""Non rientrano nel campo di applicazione del presente codice gli istituti disciplinati dal Titolo VII"", ""layer"": ""L1"", ""motivo"": ""This sets a scope exclusion, which is a Level 1 feature.""}]",80.0,20.0,6
dlgs_36_2023__articolo__7,dlgs_36_2023,dlgs_36_2023,articolo,7,ok,"[{""testo"": ""Principio di auto-organizzazione amministrativa"", ""layer"": ""L1"", ""motivo"": ""This states a general principle that frames the rule and its institutional logic.""}, {""testo"": ""Le pubbliche amministrazioni organizzano autonomamente"", ""layer"": ""L1"", ""motivo"": ""This establishes a broad power and organizational autonomy for public administrations.""}, {""testo"": ""Le stazioni appaltanti e gli enti concedenti possono affidare direttamente a società in house"", ""layer"": ""L1"", ""motivo"": ""This sets a core substantive rule on when direct in-house award is permitted.""}, {""testo"": ""adottano per ciascun affidamento un provvedimento motivato"", ""layer"": ""L2"", ""motivo"": ""This prescribes an operational procedural requirement for each award decision.""}, {""testo"": ""In caso di prestazioni strumentali, il provvedimento si intende sufficientemente motivato"", ""layer"": ""L2"", ""motivo"": ""This provides a technical standard for when the motivation is deemed sufficient.""}, {""testo"": ""comparazione con gli standard di riferimento"", ""layer"": ""L2"", ""motivo"": ""This specifies a method for assessing economic advantage using reference benchmarks.""}, {""testo"": ""La cooperazione ... non rientra nell’ambito di applicazione del codice quando concorrono tutte le seguenti condizioni"", ""layer"": ""L1"", ""motivo"": ""This defines a scope exclusion and the legal conditions for it.""}, {""testo"": ""meno del 20 per cento"", ""layer"": ""L2"", ""motivo"": ""This is a quantitative threshold used to operationalize the exclusion condition.""}]",65.0,35.0,7
dlgs_36_2023__articolo__8,dlgs_36_2023,dlgs_36_2023,articolo,8,ok,"[{""testo"": ""Principio di autonomia contrattuale"", ""layer"": ""L1"", ""motivo"": ""It states a general principle governing public administrations' contractual autonomy.""}, {""testo"": ""le pubbliche amministrazioni sono dotate di autonomia contrattuale e possono concludere qualsiasi contratto, anche gratuito"", ""layer"": ""L1"", ""motivo"": ""This establishes a broad substantive power and general rule for public administrations.""}, {""testo"": ""Le prestazioni d’opera intellettuale non possono essere rese dai professionisti gratuitamente, salvo che in casi eccezionali e previa adeguata motivazione"", ""layer"": ""L2"", ""motivo"": ""This sets an operational rule with an exception and a procedural requirement for justification.""}, {""testo"": ""la pubblica amministrazione garantisce comunque l’applicazione del principio dell’equo compenso"", ""layer"": ""L1"", ""motivo"": ""It affirms a general obligation/principle applicable to public administrations.""}, {""testo"": ""Le pubbliche amministrazioni possono ricevere per donazione beni o prestazioni rispondenti all’interesse pubblico senza obbligo di gara"", ""layer"": ""L1"", ""motivo"": ""This defines a general permission and exception to procurement rules.""}]",80.0,20.0,8
dlgs_36_2023__articolo__9,dlgs_36_2023,dlgs_36_2023,articolo,9,ok,"[{""testo"": ""Principio di conservazione dell’equilibrio contrattuale"", ""layer"": ""L1"", ""motivo"": ""This states a general governing principle, which is a core framework element.""}, {""testo"": ""la parte svantaggiata ... ha diritto alla rinegoziazione secondo buona fede delle condizioni contrattuali"", ""layer"": ""L1"", ""motivo"": ""This establishes a substantive right for the disadvantaged party, which is a general obligation/right rule.""}, {""testo"": ""Le stazioni appaltanti e gli enti concedenti favoriscono l’inserimento nel contratto di clausole di rinegoziazione"", ""layer"": ""L1"", ""motivo"": ""This assigns a general duty to contracting authorities, reflecting an institutional/obligational rule.""}, {""testo"": ""dandone pubblicità nel bando o nell’avviso di indizione della gara"", ""layer"": ""L2"", ""motivo"": ""This specifies an operational procedure for how the duty should be implemented.""}, {""testo"": ""la rinegoziazione si limita al ripristino dell’originario equilibrio del contratto"", ""layer"": ""L2"", ""motivo"": ""This sets a technical limit on the scope of renegotiation, making it an operational rule.""}]",80.0,20.0,9
dlgs_36_2023__articolo__10,dlgs_36_2023,dlgs_36_2023,articolo,10,ok,"[{""testo"": ""le cause di esclusione sono tassative"", ""layer"": ""L1"", ""motivo"": ""This sets a general legal principle on the exclusivity of exclusion grounds, which is a core rule of the procurement framework.""}, {""testo"": ""non sono affidati agli operatori economici nei confronti dei quali sia stata accertata la sussistenza di cause di esclusione"", ""layer"": ""L1"", ""motivo"": ""This establishes a substantive obligation/constraint on award decisions, defining who may be excluded from contracts.""}, {""testo"": ""le clausole che prevedono cause ulteriori di esclusione sono nulle"", ""layer"": ""L1"", ""motivo"": ""This creates a general validity rule affecting procurement documents, reflecting a foundational legal choice.""}, {""testo"": ""possono introdurre requisiti speciali, di carattere economico-finanziario e tecnico-professionale"", ""layer"": ""L2"", ""motivo"": ""This specifies operational conditions for setting additional qualification requirements in procurement procedures.""}, {""testo"": ""attinenti e proporzionati all’oggetto del contratto"", ""layer"": ""L2"", ""motivo"": ""This provides a technical standard for how such requirements must be calibrated in practice.""}]",80.0,20.0,10
