celex,articolo_id,lamf_L1,lamf_L2,lamf_L3,lamf_L4,n_tokens_labeled,n_fragments,entropy,dominant_lamf
32014L0023,1,100.0,0.0,0.0,0.0,54,1,0.0,L1
32014L0023,10,92.36842105263158,7.631578947368421,0.0,0.0,1520,1,0.1945313511627784,L1
32014L0023,11,100.0,0.0,0.0,0.0,84,1,0.0,L1
32014L0023,12,100.0,0.0,0.0,0.0,125,1,0.0,L1
32014L0023,13,48.17708333333333,51.822916666666664,0.0,0.0,384,1,0.4995204811005603,L2
32014L0023,14,100.0,0.0,0.0,0.0,118,1,0.0,L1
32014L0023,15,0.0,100.0,0.0,0.0,88,1,0.0,L2
32014L0023,16,100.0,0.0,0.0,0.0,54,1,0.0,L1
32014L0023,17,83.76344086021506,16.236559139784944,0.0,0.0,930,1,0.31996944069041733,L1
32014L0023,18,12.0,88.0,0.0,0.0,100,1,0.26468043120098717,L2
32014L0023,19,100.0,0.0,0.0,0.0,46,1,0.0,L1
32014L0023,2,100.0,0.0,0.0,0.0,35,1,0.0,L1
32014L0023,20,56.20437956204379,43.79562043795621,0.0,0.0,411,1,0.4944321007309314,L1
32014L0023,21,12.813370473537605,87.1866295264624,0.0,0.0,359,1,0.27614877721182207,L2
32014L0023,22,5.847953216374268,94.15204678362574,0.0,0.0,342,1,0.16068971118935638,L2
32014L0023,23,0.0,100.0,0.0,0.0,296,1,0.0,L2
32014L0023,24,77.55102040816327,22.448979591836736,0.0,0.0,98,1,0.38414070310606707,L1
32014L0023,25,47.22222222222222,52.77777777777778,0.0,0.0,72,1,0.498886234602296,L2
32014L0023,26,30.90277777777778,69.09722222222221,0.0,0.0,288,1,0.44602400128506614,L2
32014L0023,27,100.0,0.0,0.0,0.0,84,1,0.0,L1
32014L0023,28,78.72340425531915,21.27659574468085,0.0,0.0,141,1,0.3733683022988389,L1
32014L0023,29,0.0,100.0,0.0,0.0,255,1,0.0,L2
32014L0023,3,37.86407766990291,62.13592233009708,0.0,0.0,103,1,0.47853819158761474,L2
32014L0023,30,34.97536945812808,65.02463054187191,0.0,0.0,203,1,0.46692394424312395,L2
32014L0023,31,0.0,100.0,0.0,0.0,422,1,0.0,L2
32014L0023,32,0.0,100.0,0.0,0.0,123,1,0.0,L2
32014L0023,33,0.0,100.0,0.0,0.0,348,1,0.0,L2
32014L0023,34,0.0,100.0,0.0,0.0,228,1,0.0,L2
32014L0023,35,55.497382198952884,0.0,0.0,44.50261780104712,191,1,0.49563117237778725,L1
32014L0023,36,0.0,100.0,0.0,0.0,283,1,0.0,L2
32014L0023,37,0.0,100.0,0.0,0.0,330,1,0.0,L2
