celex,hybridity_score_before,n_articles_reali,eligible,outcome,H_before,H_after,delta_H,H_improvement,n_blocks
dlgs_59_2010,0.7427,86,True,accepted,0.7427,0.3265,0.4162,0.5604,3.0
l_90_2024,0.7245,24,True,accepted,0.7245,0.4454,0.2791,0.3852,2.0
dlgs_228_2011,0.705,11,True,accepted,0.705,0.4718,0.2332,0.3309,2.0
dlgs_33_2013,0.6878,53,True,accepted,0.6878,0.3901,0.2977,0.4328,3.0
l_190_2012,0.676,2,False,not_eligible,0.676,,,,
32014L0023,0.6655,55,True,accepted,0.6655,0.4426,0.2229,0.3349,2.0
l_241_1990,0.6415,31,True,rejected,0.6415,,,,
32014L0024,0.6374,94,True,accepted,0.6374,0.3345,0.3029,0.4752,3.0
dlgs_229_2011,0.6246,12,True,rejected,0.6246,,,,
l_136_2010,0.6161,16,True,accepted,0.6161,0.2925,0.3236,0.5253,2.0
l_108_2021,0.6134,1,False,not_eligible,0.6134,,,,
32014L0025,0.6118,110,True,accepted,0.6118,0.3318,0.28,0.4577,3.0
dpr_207_2010,0.6093,334,True,accepted,0.6093,0.1639,0.4454,0.7311,3.0
dlgs_36_2023,0.6022,229,True,accepted,0.6022,0.3478,0.2544,0.4225,3.0
l_145_2018,0.6021,19,True,accepted,0.6021,0.315,0.2871,0.4769,2.0
dlgs_218_2012,0.5732,10,True,rejected,0.5732,,,,
dlgs_97_2016,0.5574,44,True,accepted,0.5574,0.2796,0.2778,0.4984,2.0
dl_13_2023,0.5512,58,True,accepted,0.5512,0.3617,0.1895,0.3439,2.0
dlgs_209_2024,0.5003,97,True,accepted,0.5003,0.2581,0.2422,0.4842,2.0
dl_135_2018,0.4701,12,True,rejected,0.4701,,,,
dlgs_163_2006,0.4334,174,True,accepted,0.4334,0.0347,0.3987,0.9199,2.0
dlgs_56_2017,0.32,131,False,not_eligible,0.32,,,,
dm_154_2017,0.2958,14,False,not_eligible,0.2958,,,,
dlgs_50_2016,0.1444,220,False,not_eligible,0.1444,,,,
l_120_2020,0.0,1,False,not_eligible,0.0,,,,
l_11_2016,0.0,1,False,not_eligible,0.0,,,,
l_114_2014,0.0,1,False,not_eligible,0.0,,,,
l_105_2025,0.0,1,False,not_eligible,0.0,,,,
l_55_2019,0.0,1,False,not_eligible,0.0,,,,
l_56_2024,0.0,1,False,not_eligible,0.0,,,,
l_78_2022,0.0,2,False,not_eligible,0.0,,,,
l_98_2013,0.0,1,False,not_eligible,0.0,,,,
__SUMMARY__,0.4252,1846,,network_summary,0.4252,0.3031,0.1221,0.2871,15.0
