segment_id,celex,node_id,tipo,identificatore,llm_status,evidence,lamf_L1,lamf_L2,lamf_L3,lamf_L4
dlgs_36_2023__articolo__1,dlgs_36_2023,dlgs_36_2023,articolo,1,ok,"[{""testo"": ""principi di legalità, trasparenza e concorrenza"", ""layer"": ""L1"", ""motivo"": ""This states general foundational principles that frame the procurement system rather than operational rules.""}, {""testo"": ""principio del buon andamento"", ""layer"": ""L1"", ""motivo"": ""This is a constitutional-administrative principle used as a primary normative benchmark.""}, {""testo"": ""criterio prioritario per l’esercizio del potere discrezionale"", ""layer"": ""L1"", ""motivo"": ""This establishes a general rule for administrative decision-making and the exercise of discretion.""}, {""testo"": ""il presente decreto, di seguito denominato «codice»"", ""layer"": ""L2"", ""motivo"": ""This refers to the codified legislative framework that organizes the sector’s general rules.""}, {""testo"": ""perseguono il risultato dell’affidamento del contratto e della sua esecuzione"", ""layer"": ""L2"", ""motivo"": ""This is a substantive statutory norm defining the core objective and duties of contracting authorities.""}]",80.0,20.0,0.0,0.0
dlgs_36_2023__articolo__2,dlgs_36_2023,dlgs_36_2023,articolo,2,ok,"[{""testo"": ""Il principio della fiducia"", ""layer"": ""L1"", ""motivo"": ""The provision states a general guiding principle for public procurement, which is characteristic of primary normative principles.""}, {""testo"": ""L’attribuzione e l’esercizio del potere nel settore dei contratti pubblici si fonda sul principio della reciproca fiducia"", ""layer"": ""L1"", ""motivo"": ""This sets a foundational legal standard for the exercise of public power, not an operational rule.""}, {""testo"": ""favorisce e valorizza l’iniziativa e l’autonomia decisionale dei funzionari pubblici"", ""layer"": ""L1"", ""motivo"": ""This is a broad normative orientation on administrative discretion, typical of framework-level principles.""}, {""testo"": ""costituisce colpa grave la violazione di norme di diritto e degli auto-vincoli amministrativi"", ""layer"": ""L2"", ""motivo"": ""This codifies a substantive legal criterion affecting administrative liability within the procurement regime.""}, {""testo"": ""Non costituisce colpa grave la violazione o l’omissione determinata dal riferimento a indirizzi giurisprudenziali prevalenti o a pareri delle autorità competenti"", ""layer"": ""L2"", ""motivo"": ""This establishes a general legal rule defining when conduct is excluded from grave fault, which is codificatory rather than merely implementing.""}]",85.0,15.0,0.0,0.0
dlgs_36_2023__articolo__3,dlgs_36_2023,dlgs_36_2023,articolo,3,ok,"[{""testo"": ""Principio dell’accesso al mercato"", ""layer"": ""L1"", ""motivo"": ""This is a foundational principle statement, which belongs to the primary normative level.""}, {""testo"": ""nel rispetto dei principi di concorrenza, di imparzialità, di non discriminazione, di pubblicità e trasparenza, di proporzionalità"", ""layer"": ""L1"", ""motivo"": ""The provision articulates general governing principles rather than operational rules or detailed procedures.""}, {""testo"": ""secondo le modalità indicate dal codice"", ""layer"": ""L1"", ""motivo"": ""This is an enabling reference to the code, confirming that the article sets a general framework and delegates implementation elsewhere.""}]",100.0,0.0,0.0,0.0
dlgs_36_2023__articolo__4,dlgs_36_2023,dlgs_36_2023,articolo,4,ok,"[{""testo"": ""\""Le disposizioni del codice si interpretano e si applicano\"""", ""layer"": ""L1"", ""motivo"": ""This sets a general interpretive rule for the whole code, which is a foundational normative principle rather than an operational provision.""}, {""testo"": ""\""in base ai principi\"""", ""layer"": ""L1"", ""motivo"": ""The provision expressly anchors interpretation and application in principles, indicating a primary-level normative function.""}, {""testo"": ""\""di cui agli articoli 1, 2 e 3\"""", ""layer"": ""L1"", ""motivo"": ""The reference to higher-order principles confirms that this article operates as a general framework clause, not as implementing or procedural detail.""}]",100.0,0.0,0.0,0.0
dlgs_36_2023__articolo__5,dlgs_36_2023,dlgs_36_2023,articolo,5,ok,"[{""testo"": ""principi di buona fede e di tutela dell'affidamento"", ""layer"": ""L1"", ""motivo"": ""This states general guiding principles that frame the legal relationship and operate at a foundational level.""}, {""testo"": ""le stazioni appaltanti, gli enti concedenti e gli operatori economici si comportano reciprocamente"", ""layer"": ""L1"", ""motivo"": ""This establishes a broad normative standard of conduct applicable to all parties, typical of primary principles.""}, {""testo"": ""sussiste un affidamento dell'operatore economico sul legittimo esercizio del potere"", ""layer"": ""L2"", ""motivo"": ""This codifies a substantive legal rule defining a protected position and the general legality framework within procurement procedure.""}, {""testo"": ""In caso di aggiudicazione annullata su ricorso di terzi o in autotutela"", ""layer"": ""L2"", ""motivo"": ""This sets out a general legal consequence for a defined procedural situation, characteristic of codified statutory norms.""}, {""testo"": ""l'affidamento non si considera incolpevole se l'illegittimità è agevolmente rilevabile"", ""layer"": ""L4"", ""motivo"": ""This introduces a concrete operational criterion for assessing fault, functioning as a detailed application rule.""}, {""testo"": ""il danno da lesione dell'affidamento è limitato ai pregiudizi economici effettivamente subiti e provati"", ""layer"": ""L4"", ""motivo"": ""This provides a specific remedial limitation and evidentiary requirement, which is procedural-operational in nature.""}, {""testo"": ""resta ferma la concorrente responsabilità"", ""layer"": ""L2"", ""motivo"": ""This establishes a general allocation of liability within the statutory framework rather than an implementing detail.""}]",35.0,55.0,0.0,10.0
dlgs_36_2023__articolo__6,dlgs_36_2023,dlgs_36_2023,articolo,6,ok,"[{""testo"": ""In attuazione dei principi di solidarietà sociale e di sussidiarietà orizzontale"", ""layer"": ""L1"", ""motivo"": ""The provision is grounded in constitutional-level guiding principles and frames the rule as an implementation of those foundational norms.""}, {""testo"": ""la pubblica amministrazione può apprestare ... modelli organizzativi di amministrazione condivisa"", ""layer"": ""L1"", ""motivo"": ""It establishes a general enabling framework for public administration action rather than detailed operational mechanics.""}, {""testo"": ""con gli enti del Terzo settore di cui al codice del Terzo settore"", ""layer"": ""L2"", ""motivo"": ""The reference to the Third Sector Code shows codified sectoral coordination and delimitation of the scope of the procurement code.""}, {""testo"": ""Non rientrano nel campo di applicazione del presente codice gli istituti disciplinati dal Titolo VII"", ""layer"": ""L2"", ""motivo"": ""This is a codification-level exclusion rule that defines the legal perimeter of the code by cross-reference to another legislative code.""}]",70.0,30.0,0.0,0.0
dlgs_36_2023__articolo__7,dlgs_36_2023,dlgs_36_2023,articolo,7,ok,"[{""testo"": ""Principio di auto-organizzazione amministrativa"", ""layer"": ""L1"", ""motivo"": ""This is a general foundational principle that frames the administrative freedom of public bodies, so it belongs to the primary-principles level.""}, {""testo"": ""nel rispetto della disciplina del codice e del diritto dell’Unione europea"", ""layer"": ""L1"", ""motivo"": ""This clause links the rule to higher-order legal sources and the general framework, indicating a norm-setting function rather than operational detail.""}, {""testo"": ""Le stazioni appaltanti e gli enti concedenti possono affidare direttamente a società in house"", ""layer"": ""L2"", ""motivo"": ""This establishes a substantive legal power and exception within the procurement system, which is characteristic of codifying legislation.""}, {""testo"": ""adottano per ciascun affidamento un provvedimento motivato"", ""layer"": ""L2"", ""motivo"": ""This creates a general legal obligation for contracting authorities, defining rights and duties at the code level.""}, {""testo"": ""In caso di prestazioni strumentali, il provvedimento si intende sufficientemente motivato"", ""layer"": ""L4"", ""motivo"": ""This is a detailed procedural rule on the sufficiency of motivation, which is typical of operational norms.""}, {""testo"": ""I vantaggi di economicità possono emergere anche mediante la comparazione"", ""layer"": ""L4"", ""motivo"": ""This specifies the method of demonstrating economic advantage through comparison, a concrete technical-procedural criterion.""}, {""testo"": ""L’affidamento in house di servizi di interesse economico generale di livello locale è disciplinato dal decreto legislativo 23 dicembre 2022, n. 201."", ""layer"": ""L3"", ""motivo"": ""This is a cross-reference to a sectoral implementing/codifying act that regulates a specific sub-area, placing it at the implementing-regulatory level.""}, {""testo"": ""La cooperazione tra stazioni appaltanti o enti concedenti ... non rientra nell’ambito di applicazione del codice"", ""layer"": ""L2"", ""motivo"": ""This sets a substantive exclusion from the code’s scope and defines the legal regime of cooperation, which is codifying in nature.""}, {""testo"": ""quando concorrono tutte le seguenti condizioni"", ""layer"": ""L4"", ""motivo"": ""This introduces a checklist of cumulative conditions for application, which is a detailed operational mechanism.""}, {""testo"": ""meno del 20 per cento"", ""layer"": ""L4"", ""motivo"": ""This numerical threshold is a classic procedural-operational rule and belongs squarely to the most detailed level.""}]",20.0,55.0,10.0,15.0
dlgs_36_2023__articolo__8,dlgs_36_2023,dlgs_36_2023,articolo,8,ok,"[{""testo"": ""“Le pubbliche amministrazioni sono dotate di autonomia contrattuale”"", ""layer"": ""L1"", ""motivo"": ""This states a general enabling principle that frames the contracting powers of public administrations at a foundational level.""}, {""testo"": ""“possono concludere qualsiasi contratto, anche gratuito”"", ""layer"": ""L1"", ""motivo"": ""This is a broad normative authorization establishing the general legal framework rather than detailed implementation.""}, {""testo"": ""“salvi i divieti espressamente previsti dal codice e da altre disposizioni di legge”"", ""layer"": ""L2"", ""motivo"": ""This refers to the codified statutory system that sets the operative legal limits and exceptions within the procurement framework.""}, {""testo"": ""“Le prestazioni d’opera intellettuale non possono essere rese dai professionisti gratuitamente”"", ""layer"": ""L2"", ""motivo"": ""This is a substantive statutory rule defining a general obligation and prohibition, typical of codification norms.""}, {""testo"": ""“salvo che in casi eccezionali e previa adeguata motivazione”"", ""layer"": ""L2"", ""motivo"": ""This creates a statutory exception regime with legal conditions, not merely an operational detail.""}, {""testo"": ""“la pubblica amministrazione garantisce comunque l’applicazione del principio dell’equo compenso”"", ""layer"": ""L2"", ""motivo"": ""This establishes a general legal duty and principle to be applied by administrations, characteristic of codified primary legislation.""}, {""testo"": ""“possono ricevere per donazione beni o prestazioni rispondenti all’interesse pubblico senza obbligo di gara”"", ""layer"": ""L2"", ""motivo"": ""This sets a general statutory rule and exception to competitive procedures, which belongs to the codifying level.""}, {""testo"": ""“Restano ferme le disposizioni del codice civile”"", ""layer"": ""L2"", ""motivo"": ""This cross-refers to ordinary statutory provisions and confirms the hierarchy of codified norms rather than implementing rules.""}]",20.0,80.0,0.0,0.0
dlgs_36_2023__articolo__9,dlgs_36_2023,dlgs_36_2023,articolo,9,ok,"[{""testo"": ""Principio di conservazione dell’equilibrio contrattuale"", ""layer"": ""L1"", ""motivo"": ""This is a general guiding principle that frames the legal regime and has a foundational, system-level function.""}, {""testo"": ""circostanze straordinarie e imprevedibili"", ""layer"": ""L1"", ""motivo"": ""The clause sets a broad normative standard for when the principle applies, rather than a detailed operational rule.""}, {""testo"": ""ha diritto alla rinegoziazione secondo buona fede"", ""layer"": ""L2"", ""motivo"": ""It creates a substantive legal entitlement and duty within the codified procurement framework.""}, {""testo"": ""la rinegoziazione si limita al ripristino dell’originario equilibrio del contratto"", ""layer"": ""L2"", ""motivo"": ""This defines the legal scope and limits of the remedy in a codified rule of general application.""}, {""testo"": ""Le stazioni appaltanti e gli enti concedenti favoriscono l’inserimento nel contratto di clausole di rinegoziazione"", ""layer"": ""L3"", ""motivo"": ""This is an implementing directive addressed to contracting authorities on how to operationalize the principle.""}, {""testo"": ""dandone pubblicità nel bando o nell’avviso di indizione della gara"", ""layer"": ""L4"", ""motivo"": ""This imposes a concrete procedural publication requirement with direct operational effect.""}, {""testo"": ""si applicano le disposizioni di cui agli articoli 60 e 120"", ""layer"": ""L2"", ""motivo"": ""This is a cross-reference to codified statutory provisions that integrate the general legal framework.""}]",35.0,45.0,15.0,5.0
dlgs_36_2023__articolo__10,dlgs_36_2023,dlgs_36_2023,articolo,10,ok,"[{""testo"": ""Principi di tassatività delle cause di esclusione e di massima partecipazione"", ""layer"": ""L1"", ""motivo"": ""This is a general guiding principle that frames the legal regime of exclusions and market access, rather than a detailed operational rule.""}, {""testo"": ""le cause di esclusione di cui agli articoli 94 e 95 sono tassative"", ""layer"": ""L2"", ""motivo"": ""It codifies a binding rule within the legislative framework of the procurement code, defining the legal effect of exclusion grounds.""}, {""testo"": ""integrano di diritto i bandi e le lettere di invito"", ""layer"": ""L2"", ""motivo"": ""This establishes a general normative integration mechanism for tender documents, characteristic of codifying legislation.""}, {""testo"": ""le clausole che prevedono cause ulteriori di esclusione sono nulle e si considerano non apposte"", ""layer"": ""L4"", ""motivo"": ""It contains a concrete legal consequence and enforcement effect for non-compliant clauses, which is a detailed procedural-operational norm.""}, {""testo"": ""possono introdurre requisiti speciali, di carattere economico-finanziario e tecnico-professionale"", ""layer"": ""L2"", ""motivo"": ""This allocates a general power and sets substantive conditions for qualification requirements within the code's framework.""}, {""testo"": ""attinenti e proporzionati all’oggetto del contratto"", ""layer"": ""L4"", ""motivo"": ""This is a concrete proportionality standard used to operationalize how special requirements may be set in practice.""}, {""testo"": ""favorendo ... l’accesso al mercato"", ""layer"": ""L1"", ""motivo"": ""This expresses a broad policy principle of maximizing competition and market access, typical of primary normative principles.""}]",15.0,70.0,0.0,15.0
