Source,Target,Type,start_year,end_year
32022R2560,32019R0452,CITES,2022.0,2019.0
32020D1502,32019R0452,CITES,2020.0,2019.0
32024R3104,32005R0184,BASED_ON,2024.0,2005.0
32021R2126,32019R0452,BASED_ON,2021.0,2019.0
32009R0707,32005R0184,BASED_ON,2009.0,2005.0
32014R0228,32005R0184,BASED_ON,2014.0,2005.0
32020R1298,32019R0452,BASED_ON,2020.0,2019.0
32023R1441,32022R2560,BASED_ON,2023.0,2022.0
32023R2414,32022R2560,BASED_ON,2023.0,2022.0
32008R1055,32005R0184,BASED_ON,2008.0,2005.0
32010R1227,32005R0184,BASED_ON,2010.0,2005.0
32019R0505,32005R0184,BASED_ON,2019.0,2005.0
32023R1472,32005R0184,BASED_ON,2023.0,2005.0
32021R2126,32019R0452,AMENDS,2021.0,2019.0
32016R1013,32005R0184,AMENDS,2016.0,2005.0
32019R0505,32005R0184,AMENDS,2019.0,2005.0
32010R1227,32008R1055,AMENDS,2010.0,2008.0
32023R1472,32008R1055,AMENDS,2023.0,2008.0
32024R3104,32005R0184,AMENDS,2024.0,2005.0
32023R2414,32023R1441,AMENDS,2023.0,2023.0
32020R1298,32019R0452,AMENDS,2020.0,2019.0
32009R0707,32005R0184,AMENDS,2009.0,2005.0
