celex,H_local,n_articles,n_segments,H_global,H_delta
32022R2560,0.8395,54,429,0.827,-0.0125
32020D1502,0.7429,9,40,0.748,0.0051
32005R0184,0.7265,13,21,0.7265,0.0
32012R1219,0.7144,17,54,0.7144,0.0
32019R0452,0.7092,17,94,0.7092,0.0
32016R1013,0.6359,2,32,0.6795,0.0436
32023R1441,0.6067,27,146,0.7302,0.1235
32010R1227,0.5,2,2,0.5959,0.0959
32008R1055,0.4922,3,3,0.6233,0.1311
32023R2414,0.4661,2,2,0.6897,0.2236
32014R0228,0.3581,2,2,0.5407,0.1826
32007D0414,0.0,2,2,0.0,0.0
32020D0787,0.0,2,2,0.0,0.0
32009R0707,0.0,1,1,0.4688,0.4688
32019R0505,0.0,1,1,0.4003,0.4003
32021R2126,0.0,2,2,0.3726,0.3726
32020R1298,0.0,2,4,0.4648,0.4648
32023R1472,0.0,2,2,0.4504,0.4504
32024R3104,0.0,2,2,0.4688,0.4688
