celex,pct_L1,pct_L2,pct_L3,pct_L4,dominant_level,n_articles,n_segments,title
32019R0505,0.0,100.0,0.0,0.0,L2,1,1,"COMMISSION DELEGATED REGULATION (EU) 2019/505 of 19 December 2018 amending Annex I to Regulation (EC) No 184/2005 of the European Parliament and of the Council, as regards the geographical breakdown levels (Text with EEA relevance)"
32021R2126,0.0,100.0,0.0,0.0,L2,2,2,COMMISSION DELEGATED REGULATION (EU) 2021/2126 of 29 September 2021 amending the Annex to Regulation (EU) 2019/452 of the European Parliament and of the Council establishing a framework for the screening of foreign direct investments into the Union
32014R0228,19.72,80.28,0.0,0.0,L2,2,2,"COMMISSION IMPLEMENTING REGULATION (EU) No 228/2014 of 10 March 2014 amending Regulation (EC) No 601/2006 implementing Regulation (EC) No 184/2005 of the European Parliament and of the Council on statistics concerning balance of payments, international trade in services and foreign direct investment, as regards the format and the procedure for the transmission of data"
32023R1441,25.0684,65.7864,0.0,9.1452,L2,27,146,COMMISSION IMPLEMENTING REGULATION (EU) 2023/1441 of 10 July 2023 on detailed arrangements for the conduct of proceedings by the Commission pursuant to Regulation (EU) 2022/2560 of the European Parliament and of the Council on foreign subsidies distorting the internal market
32019R0452,33.4694,55.8923,2.1277,8.5106,L2,17,94,REGULATION (EU) 2019/452 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 19 March 2019 establishing a framework for the screening of foreign direct investments into the Union
32012R1219,26.1211,55.3604,0.0,18.5185,L2,17,54,"REGULATION (EU) No 1219/2012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 12 December 2012 establishing transitional arrangements for bilateral investment agreements between Member States and third countries STATEMENT BY THE EUROPEAN PARLIAMENT, THE COUNCIL AND THE COMMISSION"
32005R0184,33.8429,50.0571,0.0,16.1,L2,13,21,"REGULATION (EC) No 184/2005 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 12 January 2005 on Community statistics concerning balance of payments, international trade in services and foreign direct investment"
32010R1227,50.0,50.0,0.0,0.0,L1,2,2,"COMMISSION REGULATION (EU) No 1227/2010 of 20 December 2010 amending Regulation (EC) No 1055/2008 implementing Regulation (EC) No 184/2005 of the European Parliament and of the Council, as regards quality criteria and quality reporting for balance of payments statistics"
32016R1013,50.3344,43.3875,0.0,6.2781,L1,2,32,"REGULATION (EU) 2016/1013 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 8 June 2016 amending Regulation (EC) No 184/2005 on Community statistics concerning balance of payments, international trade in services and foreign direct investment (Text with EEA relevance)"
32008R1055,57.3333,42.6667,0.0,0.0,L1,3,3,"COMMISSION REGULATION (EC) No 1055/2008 of 27 October 2008 implementing Regulation (EC) No 184/2005 of the European Parliament and of the Council, as regards quality criteria and quality reporting for balance of payments statistics"
32020D1502,43.1905,39.8865,0.0,16.923,L1,9,40,COMMISSION DECISION (EU) 2020/1502 of 15 October 2020 laying down internal rules concerning the provision of information to data subjects and the restriction of certain of their rights in the context of the processing of personal data by the Commission in the cooperation mechanism established by Regulation (EU) 2019/452 of the European Parliament and of the Council
32023R2414,65.215,34.785,0.0,0.0,L1,2,2,COMMISSION IMPLEMENTING REGULATION (EU) 2023/2414 of 25 October 2023 correcting Implementing Regulation (EU) 2023/1441 on detailed arrangements for the conduct of proceedings by the Commission pursuant to Regulation (EU) 2022/2560 of the European Parliament and of the Council on foreign subsidies distorting the internal market
32022R2560,32.1601,34.0823,1.6391,32.1185,L2,54,429,REGULATION (EU) 2022/2560 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 14 December 2022 on foreign subsidies distorting the internal market
32007D0414,100.0,0.0,0.0,0.0,L1,2,2,"COMMISSION DECISION of 21 February 2007 on State aid — C 36/2004 (ex N 220/2004) — Portugal — Foreign direct investment aid for CORDEX, Companhia Industrial Têxtil S.A. (notified under document number C(2007) 474) (Only the Portuguese text is authentic) (Text with EEA relevance) (2007/414/EC)"
32009R0707,100.0,0.0,0.0,0.0,L1,1,1,"COMMISSION REGULATION (EC) No 707/2009 of 5 August 2009 amending Regulation (EC) No 184/2005 of the European Parliament and of the Council on Community statistics concerning balance of payments, international trade in services and foreign direct investment, as regards the update of data requirements"
32020D0787,100.0,0.0,0.0,0.0,L1,2,2,COMMISSION DECISION (EU) 2020/787 of 16 June 2020 extending the transitional period concerning the acquisition of agricultural land in Croatia (Text with EEA relevance)
32020R1298,100.0,0.0,0.0,0.0,L1,2,4,COMMISSION DELEGATED REGULATION (EU) 2020/1298 of 13 July 2020 amending the Annex to Regulation (EU) 2019/452 of the European Parliament and of the Council establishing a framework for the screening of foreign direct investments into the Union
32023R1472,100.0,0.0,0.0,0.0,L1,2,2,COMMISSION IMPLEMENTING REGULATION (EU) 2023/1472 of 17 July 2023 amending Regulation (EC) No 1055/2008 as regards the frequency with which the Member States supply their quality report (Text with EEA relevance)
32024R3104,100.0,0.0,0.0,0.0,L1,2,2,"COMMISSION DELEGATED REGULATION (EU) 2024/3104 of 2 September 2024 amending Regulation (EC) No 184/2005 of the European Parliament and of the Council, as regards references to the statistical classification of economic activities NACE established by Regulation (EC) No 1893/2006 of the European Parliament and of the Council (Text with EEA relevance)"
