segment_id,celex,node_id,articolo_id,llm_status,pct__Scope_and_applicability_provisions,pct__Empowering_and_enabling_provisions,pct__Delegation_and_empowerment_clauses,pct__Scope-limiting_exceptions,pct__Incorporation_by_reference_clauses,pct__Procedural_coordination_and_consultation_clauses,pct__Procedural_safeguards_and_confidentiality,pct__Operational_flexibility_and_derogation_clauses,pct__Procedural_notification_and_reporting_clauses,pct__Implementation_and_reporting_duties,pct__Operational_procedural_provisions
32010R1227__articolo__1,32010R1227,32010R1227,1,ok,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,40.0,40.0,0.0
32010R1227__articolo__2,32010R1227,32010R1227,2,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
32020R1298__articolo__1_p1,32020R1298,32020R1298,1_p1,ok,40.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
32020R1298__articolo__1_p2,32020R1298,32020R1298,1_p2,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32020R1298__articolo__1_p3,32020R1298,32020R1298,1_p3,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32020R1298__articolo__2,32020R1298,32020R1298,2,ok,0.0,0.0,0.0,0.0,35.0,15.0,0.0,0.0,25.0,0.0,25.0
32016R1013__articolo__1_p1,32016R1013,32016R1013,1_p1,ok,0.0,0.0,95.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0
32016R1013__articolo__1_p2,32016R1013,32016R1013,1_p2,ok,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
32016R1013__articolo__1_p3,32016R1013,32016R1013,1_p3,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
32016R1013__articolo__1_p4,32016R1013,32016R1013,1_p4,ok,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32016R1013__articolo__1_p5,32016R1013,32016R1013,1_p5,ok,0.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,20.0,50.0,0.0
32016R1013__articolo__1_p6,32016R1013,32016R1013,1_p6,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0
32016R1013__articolo__1_p7,32016R1013,32016R1013,1_p7,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0
32016R1013__articolo__1_p8,32016R1013,32016R1013,1_p8,ok,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32016R1013__articolo__1_p9,32016R1013,32016R1013,1_p9,ok,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32016R1013__articolo__1_p10,32016R1013,32016R1013,1_p10,ok,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32016R1013__articolo__1_p11,32016R1013,32016R1013,1_p11,ok,0.0,10.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,55.0,0.0
32016R1013__articolo__1_p12,32016R1013,32016R1013,1_p12,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
32016R1013__articolo__1_p13,32016R1013,32016R1013,1_p13,ok,0.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
32016R1013__articolo__1_p14,32016R1013,32016R1013,1_p14,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
32016R1013__articolo__1_p15,32016R1013,32016R1013,1_p15,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0
32016R1013__articolo__1_p16,32016R1013,32016R1013,1_p16,ok,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32016R1013__articolo__1_p17,32016R1013,32016R1013,1_p17,ok,0.0,15.0,10.0,5.0,10.0,0.0,0.0,5.0,15.0,20.0,20.0
32016R1013__articolo__1_p18,32016R1013,32016R1013,1_p18,ok,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,40.0,40.0,0.0
32016R1013__articolo__1_p19,32016R1013,32016R1013,1_p19,ok,0.0,0.0,80.0,5.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0
32016R1013__articolo__1_p20,32016R1013,32016R1013,1_p20,ok,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32016R1013__articolo__1_p21,32016R1013,32016R1013,1_p21,ok,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32016R1013__articolo__1_p22,32016R1013,32016R1013,1_p22,ok,0.0,0.0,70.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0
32016R1013__articolo__1_p23,32016R1013,32016R1013,1_p23,ok,0.0,0.0,55.0,20.0,10.0,0.0,0.0,10.0,5.0,0.0,0.0
32016R1013__articolo__1_p24,32016R1013,32016R1013,1_p24,ok,0.0,0.0,15.0,0.0,20.0,65.0,0.0,0.0,0.0,0.0,0.0
32016R1013__articolo__1_p25,32016R1013,32016R1013,1_p25,ok,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0
32016R1013__articolo__1_p26,32016R1013,32016R1013,1_p26,ok,0.0,0.0,70.0,10.0,0.0,10.0,0.0,5.0,5.0,0.0,0.0
32016R1013__articolo__1_p27,32016R1013,32016R1013,1_p27,ok,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0
32016R1013__articolo__1_p28,32016R1013,32016R1013,1_p28,ok,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,60.0,0.0
32016R1013__articolo__1_p29,32016R1013,32016R1013,1_p29,ok,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32016R1013__articolo__1_p30,32016R1013,32016R1013,1_p30,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
32016R1013__articolo__1_p31,32016R1013,32016R1013,1_p31,ok,5.0,0.0,0.0,0.0,30.0,65.0,0.0,0.0,0.0,0.0,0.0
