celex,H_local,H_global,H_delta,lamf_glob_L1,lamf_glob_L2,lamf_glob_L3,lamf_glob_L4
32022R2560,0.8395,0.827,-0.0125,32.6,41.35,1.8,24.25
32020D1502,0.7429,0.748,0.0051,39.95,45.22,0.71,14.12
32005R0184,0.7265,0.7265,0.0,33.84,50.06,0.0,16.1
32012R1219,0.7144,0.7144,0.0,26.12,55.36,0.0,18.52
32019R0452,0.7092,0.7092,0.0,33.47,55.89,2.13,8.51
32016R1013,0.6359,0.6795,0.0436,44.84,45.61,0.0,9.55
32023R1441,0.6067,0.7302,0.1235,28.29,55.31,0.77,15.62
32010R1227,0.5,0.5959,0.0959,47.4,48.88,0.0,3.72
32008R1055,0.4922,0.6233,0.1311,49.5,45.13,0.0,5.37
32023R2414,0.4661,0.6897,0.2236,49.55,41.1,0.56,8.79
32014R0228,0.3581,0.5407,0.1826,24.43,70.21,0.0,5.37
32007D0414,0.0,0.0,0.0,100.0,0.0,0.0,0.0
32020D0787,0.0,0.0,0.0,100.0,0.0,0.0,0.0
32009R0707,0.0,0.4688,0.4688,77.95,16.69,0.0,5.37
32019R0505,0.0,0.4003,0.4003,11.28,83.35,0.0,5.37
32021R2126,0.0,0.3726,0.3726,11.16,85.3,0.71,2.84
32020R1298,0.0,0.4648,0.4648,77.82,18.63,0.71,2.84
32023R1472,0.0,0.4504,0.4504,78.17,18.12,0.0,3.72
32024R3104,0.0,0.4688,0.4688,77.95,16.69,0.0,5.37
