celex,hybridity_score,hybridity_score_old,hybridity_std,hybridity_max,n_articles,dominant_lamf,dom,dominant_lamf_pct,most_hybrid_article,lamf_L1,lamf_L2,lamf_L3,lamf_L4,Id,title
32022R2560,0.8395490798505421,0.043050656820375045,0.13384837424698473,0.499999998557305,429,L2,Level 2 — Operational rules,34.032634032634036,12_p3,32.16006993006993,34.082331002331,1.6390675990675994,32.118531468531465,32022R2560,REGULATION (EU) 2022/2560 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 14 December 2022 on foreign subsidies distorting the internal market
32020D1502,0.7428810982540521,0.06972010860064234,0.1550670404828751,0.4637834026783978,40,L1,Level 1 — Framework principles,42.5,2_p6,43.1905,39.8865,0.0,16.923000000000002,32020D1502,COMMISSION DECISION (EU) 2020/1502 of 15 October 2020 laying down internal rules concerning the provision of information to data subjects and the restriction of certain of their rights in the context of the processing of personal data by the Commission in the cooperation mechanism established by Regulation (EU) 2019/452 of the European Parliament and of the Council
32005R0184,0.7264750155934665,0.10577007354256805,0.19682493258433578,0.49994806028927263,21,L2,Level 2 — Operational rules,52.38095238095239,11,33.84285714285714,50.05714285714286,0.0,16.1,32005R0184,"REGULATION (EC) No 184/2005 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 12 January 2005 on Community statistics concerning balance of payments, international trade in services and foreign direct investment"
32012R1219,0.7143519427640521,0.025789305853769345,0.10749791683523029,0.49970494161658435,54,L2,Level 2 — Operational rules,57.407407407407405,13_p1,26.12111111111111,55.36037037037037,0.0,18.51851851851852,32012R1219,"REGULATION (EU) No 1219/2012 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 12 December 2012 establishing transitional arrangements for bilateral investment agreements between Member States and third countries STATEMENT BY THE EUROPEAN PARLIAMENT, THE COUNCIL AND THE COMMISSION"
32019R0452,0.7091515681610138,0.030446699672330164,0.11174609109622714,0.4997212195333802,94,L2,Level 2 — Operational rules,54.25531914893617,7_p3,33.46936170212766,55.892340425531906,2.127659574468085,8.51063829787234,32019R0452,REGULATION (EU) 2019/452 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 19 March 2019 establishing a framework for the screening of foreign direct investments into the Union
32016R1013,0.635944448273355,0.07796873839608935,0.17404729051999346,0.5514465883591522,32,L1,Level 1 — Framework principles,50.0,1_p31,50.33437500000001,43.3875,0.0,6.278124999999999,32016R1013,"REGULATION (EU) 2016/1013 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 8 June 2016 amending Regulation (EC) No 184/2005 on Community statistics concerning balance of payments, international trade in services and foreign direct investment (Text with EEA relevance)"
32023R1441,0.6067039084279233,0.03459694185640874,0.11794538159553271,0.49970494161658435,146,L2,Level 2 — Operational rules,66.43835616438356,23_p9,25.068424657534244,65.7863698630137,0.0,9.145205479452056,32023R1441,COMMISSION IMPLEMENTING REGULATION (EU) 2023/1441 of 10 July 2023 on detailed arrangements for the conduct of proceedings by the Commission pursuant to Regulation (EU) 2022/2560 of the European Parliament and of the Council on foreign subsidies distorting the internal market
32010R1227,0.499999998557305,0.0,0.0,0.0,2,L1,Level 1 — Framework principles,50.0,2,50.0,50.0,0.0,0.0,32010R1227,"COMMISSION REGULATION (EU) No 1227/2010 of 20 December 2010 amending Regulation (EC) No 1055/2008 implementing Regulation (EC) No 184/2005 of the European Parliament and of the Council, as regards quality criteria and quality reporting for balance of payments statistics"
32008R1055,0.49221344745731066,0.14257513461245677,0.2469473770447471,0.4277254038373703,3,L1,Level 1 — Framework principles,66.66666666666666,1,57.333333333333336,42.666666666666664,0.0,0.0,32008R1055,"COMMISSION REGULATION (EC) No 1055/2008 of 27 October 2008 implementing Regulation (EC) No 184/2005 of the European Parliament and of the Council, as regards quality criteria and quality reporting for balance of payments statistics"
32023R2414,0.46606662471357496,0.2216209606490337,0.31341936825601746,0.4432419212980674,2,L1,Level 1 — Framework principles,50.0,1,65.215,34.785,0.0,0.0,32023R2414,COMMISSION IMPLEMENTING REGULATION (EU) 2023/2414 of 25 October 2023 correcting Implementing Regulation (EU) 2023/1441 on detailed arrangements for the conduct of proceedings by the Commission pursuant to Regulation (EU) 2022/2560 of the European Parliament and of the Council on foreign subsidies distorting the internal market
