Id,Label,Year,LegalType,Era,Decade,PipelineLevel,SeedConceptCount,AvgConceptSimilarity,title,preamble,articles,annexes,full_text,segments,n_segments,sections_found,text_status,text_length
32010R1227,32010R1227,2010.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,2,0.6171,"COMMISSION REGULATION (EU) No 1227/2010 of 20 December 2010 amending Regulation (EC) No 1055/2008 implementing Regulation (EC) No 184/2005 of the European Parliament and of the Council, as regards quality criteria and quality reporting for balance of payments statistics","THE EUROPEAN COMMISSION, Having regard to the Treaty on the Functioning of the European Union, Having regard to Regulation (EC) No 184/2005 of the European Parliament and of the Council of 12 January 2005 on Community statistics concerning balance of payments, international trade in services and foreign direct investment ( 1 ) , and in particular Article 4 
 Regulation (EC) No 184/2005 establishes a common framework for the systematic production of Community statistics concerning balance of payments, international trade in services and foreign direct investment. 
 Commission Regulation (EC) No 1055/2008 ( 2 ) laid down the common quality criteria and the periodicity of quality reports for balance-of-payments statistics. 
 The common quality criteria and the periodicity of the quality reports for balance-of-payments statistics need to be adapted, in order to reflect the quality criteria laid down in Article 12 
 of Regulation (EC) No 223/2009 of the European Parliament and of the Council ( 3 ) on European statistics. 
 Regulation (EC) No 1055/2008 should therefore be amended accordingly. 
 The measures provided for in this Regulation are in accordance with the opinion of the Balance of Payments Committee,","Article 1 Regulation (EC) No 1055/2008 is amended as follows: 1. Article 2 is replaced by the following: ‘Member States shall supply their quality report not later than 31 May every year.’; 2. the Annex is replaced by the Annex to this Regulation. 

 Article 2 This Regulation shall enter into force on the 20th day following its publication in the Official Journal of the European Union .",,"[TITLE] COMMISSION REGULATION (EU) No 1227/2010 of 20 December 2010 amending Regulation (EC) No 1055/2008 implementing Regulation (EC) No 184/2005 of the European Parliament and of the Council, as regards quality criteria and quality reporting for balance of payments statistics 

 [PREAMBLE] THE EUROPEAN COMMISSION, Having regard to the Treaty on the Functioning of the European Union, Having regard to Regulation (EC) No 184/2005 of the European Parliament and of the Council of 12 January 2005 on Community statistics concerning balance of payments, international trade in services and foreign direct investment ( 1 ) , and in particular Article 4 
 Regulation (EC) No 184/2005 establishes a common framework for the systematic production of Community statistics concerning balance of payments, international trade in services and foreign direct investment. 
 Commission Regulation (EC) No 1055/2008 ( 2 ) laid down the common quality criteria and the periodicity of quality reports for balance-of-payments statistics. 
 The common quality criteria and the periodicity of the quality reports for balance-of-payments statistics need to be adapted, in order to reflect the quality criteria laid down in Article 12 
 of Regulation (EC) No 223/2009 of the European Parliament and of the Council ( 3 ) on European statistics. 
 Regulation (EC) No 1055/2008 should therefore be amended accordingly. 
 The measures provided for in this Regulation are in accordance with the opinion of the Balance of Payments Committee, 

 [ARTICLES] Article 1 Regulation (EC) No 1055/2008 is amended as follows: 1. Article 2 is replaced by the following: ‘Member States shall supply their quality report not later than 31 May every year.’; 2. the Annex is replaced by the Annex to this Regulation. 

 Article 2 This Regulation shall enter into force on the 20th day following its publication in the Official Journal of the European Union .","[{""tipo"": ""preambolo_header"", ""identificatore"": ""0"", ""testo"": ""THE EUROPEAN COMMISSION, Having regard to the Treaty on the Functioning of the European Union, Having regard to Regulation (EC) No 184/2005 of the European Parliament and of the Council of 12 January 2005 on Community statistics concerning balance of payments, international trade in services and foreign direct investment ( 1 ) , and in particular Article 4"", ""segment_id"": 0}, {""tipo"": ""considerando"", ""identificatore"": ""1"", ""testo"": ""Regulation (EC) No 184/2005 establishes a common framework for the systematic production of Community statistics concerning balance of payments, international trade in services and foreign direct investment."", ""segment_id"": 1}, {""tipo"": ""considerando"", ""identificatore"": ""2"", ""testo"": ""Commission Regulation (EC) No 1055/2008 ( 2 ) laid down the common quality criteria and the periodicity of quality reports for balance-of-payments statistics."", ""segment_id"": 2}, {""tipo"": ""considerando"", ""identificatore"": ""3"", ""testo"": ""The common quality criteria and the periodicity of the quality reports for balance-of-payments statistics need to be adapted, in order to reflect the quality criteria laid down in Article 12"", ""segment_id"": 3}, {""tipo"": ""considerando"", ""identificatore"": ""1"", ""testo"": ""of Regulation (EC) No 223/2009 of the European Parliament and of the Council ( 3 ) on European statistics."", ""segment_id"": 4}, {""tipo"": ""considerando"", ""identificatore"": ""4"", ""testo"": ""Regulation (EC) No 1055/2008 should therefore be amended accordingly."", ""segment_id"": 5}, {""tipo"": ""considerando"", ""identificatore"": ""5"", ""testo"": ""The measures provided for in this Regulation are in accordance with the opinion of the Balance of Payments Committee,"", ""segment_id"": 6}, {""tipo"": ""articolo"", ""identificatore"": ""1"", ""testo"": ""Article 1 Regulation (EC) No 1055/2008 is amended as follows: 1. Article 2 is replaced by the following: ‘Member States shall supply their quality report not later than 31 May every year.’; 2. the Annex is replaced by the Annex to this Regulation."", ""segment_id"": 7}, {""tipo"": ""articolo"", ""identificatore"": ""2"", ""testo"": ""Article 2 This Regulation shall enter into force on the 20th day following its publication in the Official Journal of the European Union ."", ""segment_id"": 8}]",9,"title,preamble,articles",ok,1920
32020R1298,32020R1298,2020.0,Regulation,2020s,2020.0,L2_seed_eurovoc,2,0.6171,COMMISSION DELEGATED REGULATION (EU) 2020/1298 of 13 July 2020 amending the Annex to Regulation (EU) 2019/452 of the European Parliament and of the Council establishing a framework for the screening of foreign direct investments into the Union,"THE EUROPEAN COMMISSION, Having regard to the Treaty on the Functioning of the European Union, Having regard to Regulation (EU) 2019/452 of the European Parliament and of the Council of 19 March 2019 establishing a framework for the screening of foreign direct investments into the Union ( 1 ) , and in particular Article 8 
 of Regulation (EU) 2019/452 provides that projects or programmes of Union interest are to include those projects and programmes which involve a substantial amount or a significant share of Union funding, or which are covered by Union law regarding critical infrastructure, critical technologies or critical inputs which are essential for security or public order. 
 The list of projects or programmes of Union interest referred to in point 
 is set out in the Annex to Regulation (EU) 2019/452. 
 The Commission has found that there are several other projects and programmes which involve a substantial amount or a significant share of Union funding, or which are covered by Union law regarding critical infrastructure, critical technologies or critical inputs which are essential for security or public order, and which should therefore also be included in the aforementioned list. 
 It is appropriate to expressly mention partnerships under Horizon 2020 taking the form of Union participation in programmes undertaken by several Member States, instruments such as Joint Undertakings or bodies such as the European Institute of Innovation and Technology. These partnerships play an important role in EU actions addressing healthcare emergencies such as the COVID-19 pandemic as they support, among other areas, research and innovation related to public health, initiatives improving the efficiency, effectiveness and quality of the drug development process and partnerships between the private sector and academia for improving the sustainability of healthcare systems. 
 The Annex to Regulation (EU) 2019/452 should therefore be amended accordingly,","Article 1 The Annex to Regulation (EU) 2019/452 is amended as follows: (1) Point 3 is replaced by the following: ‘3. Horizon 2020 including research and development programmes pursuant to Article 185 TFEU, and joint undertakings or any other structure set up pursuant to Article 187 TFEU: Regulation (EU) No 1291/2013 of the European Parliament and of the Council of 11 December 2013 establishing Horizon 2020 – the Framework Programme for Research and Innovation (2014-2020) and repealing Decision No 1982/2006/EC ( OJ L 347, 20.12.2013, p. 104 ), including actions therein relating to Key Enabling Technologies such as artificial intelligence, robotics, semiconductors and cybersecurity.’ (2) Point 8 is replaced by the following: ‘8. Permanent structured cooperation (PESCO): Council Decision (CFSP) 2018/340 of 6 March 2018 establishing the list of projects to be developed under PESCO ( OJ L 65, 8.3.2018, p. 24 ). Council Decision (CFSP) 2018/1797 of 19 November 2018 amending and updating Decision (CFSP) 2018/340 establishing the list of projects to be developed under PESCO ( OJ L 294, 21.11.2018, p. 18 ). Council Decision (CFSP) 2019/1909 of 12 November 2019 amending and updating Decision (CFSP) 2018/340 establishing the list of projects to be developed under PESCO ( OJ L 293, 14.11.2019, p. 113 ).’ (3) The following points 9, 10 and 11 are added: ‘9. Preparatory Action on Preparing the new EU GOVSATCOM programme: Regulation (EU, Euratom) 2018/1046 of the European Parliament and of the Council of 18 July 2018 on the financial rules applicable to the general budget of the Union, amending Regulations (EU) No 1296/2013, (EU) No 1301/2013, (EU) No 1303/2013, (EU) No 1304/2013, (EU) No 1309/2013, (EU) No 1316/2013, (EU) No 223/2014, (EU) No 283/2014, and Decision No 541/2014/EU and repealing Regulation (EU, Euratom) No 966/2012, and in particular Article 58(2)(b) thereof ( OJ L 193, 30.7.2018, p. 1 ). 10. Preparatory Action on Defence Research: Regulation (EU, Euratom) 2018/1046 of the European Parliament and of the Council of 18 July 2018 on the financial rules applicable to the general budget of the Union, amending Regulations (EU) No 1296/2013, (EU) No 1301/2013, (EU) No 1303/2013, (EU) No 1304/2013, (EU) No 1309/2013, (EU) No 1316/2013, (EU) No 223/2014, (EU) No 283/2014, and Decision No 541/2014/EU and repealing Regulation (EU, Euratom) No 966/2012, and in particular Article 58(2)(b) thereof ( OJ L 193, 30.7.2018, p. 1 ). 11. European Joint Undertaking for ITER: Council Decision (Euratom) 2007/198 of 27 March 2007 establishing the European Joint Undertaking for ITER and the Development of Fusion Energy and conferring advantages upon it ( OJ L 90, 30.3.2007, p. 58 ).’ 

 Article 2 This Regulation shall enter into force on the day following that of its publication in the Official Journal of the European Union . This Regulation shall be published in the Official Journal of the European Union once the period for objection by either the European Parliament or the Council has expired, or the European Parliament and the Council have both informed the Commission that they will not object, pursuant to Article 16(6) of Regulation (EU) 2019/452.",,"[TITLE] COMMISSION DELEGATED REGULATION (EU) 2020/1298 of 13 July 2020 amending the Annex to Regulation (EU) 2019/452 of the European Parliament and of the Council establishing a framework for the screening of foreign direct investments into the Union 

 [PREAMBLE] THE EUROPEAN COMMISSION, Having regard to the Treaty on the Functioning of the European Union, Having regard to Regulation (EU) 2019/452 of the European Parliament and of the Council of 19 March 2019 establishing a framework for the screening of foreign direct investments into the Union ( 1 ) , and in particular Article 8 
 of Regulation (EU) 2019/452 provides that projects or programmes of Union interest are to include those projects and programmes which involve a substantial amount or a significant share of Union funding, or which are covered by Union law regarding critical infrastructure, critical technologies or critical inputs which are essential for security or public order. 
 The list of projects or programmes of Union interest referred to in point 
 is set out in the Annex to Regulation (EU) 2019/452. 
 The Commission has found that there are several other projects and programmes which involve a substantial amount or a significant share of Union funding, or which are covered by Union law regarding critical infrastructure, critical technologies or critical inputs which are essential for security or public order, and which should therefore also be included in the aforementioned list. 
 It is appropriate to expressly mention partnerships under Horizon 2020 taking the form of Union participation in programmes undertaken by several Member States, instruments such as Joint Undertakings or bodies such as the European Institute of Innovation and Technology. These partnerships play an important role in EU actions addressing healthcare emergencies such as the COVID-19 pandemic as they support, among other areas, research and innovation related to public health, initiatives improving the efficiency, effectiveness and quality of the drug development process and partnerships between the private sector and academia for improving the sustainability of healthcare systems. 
 The Annex to Regulation (EU) 2019/452 should therefore be amended accordingly, 

 [ARTICLES] Article 1 The Annex to Regulation (EU) 2019/452 is amended as follows: (1) Point 3 is replaced by the following: ‘3. Horizon 2020 including research and development programmes pursuant to Article 185 TFEU, and joint undertakings or any other structure set up pursuant to Article 187 TFEU: Regulation (EU) No 1291/2013 of the European Parliament and of the Council of 11 December 2013 establishing Horizon 2020 – the Framework Programme for Research and Innovation (2014-2020) and repealing Decision No 1982/2006/EC ( OJ L 347, 20.12.2013, p. 104 ), including actions therein relating to Key Enabling Technologies such as artificial intelligence, robotics, semiconductors and cybersecurity.’ (2) Point 8 is replaced by the following: ‘8. Permanent structured cooperation (PESCO): Council Decision (CFSP) 2018/340 of 6 March 2018 establishing the list of projects to be developed under PESCO ( OJ L 65, 8.3.2018, p. 24 ). Council Decision (CFSP) 2018/1797 of 19 November 2018 amending and updating Decision (CFSP) 2018/340 establishing the list of projects to be developed under PESCO ( OJ L 294, 21.11.2018, p. 18 ). Council Decision (CFSP) 2019/1909 of 12 November 2019 amending and updating Decision (CFSP) 2018/340 establishing the list of projects to be developed under PESCO ( OJ L 293, 14.11.2019, p. 113 ).’ (3) The following points 9, 10 and 11 are added: ‘9. Preparatory Action on Preparing the new EU GOVSATCOM programme: Regulation (EU, Euratom) 2018/1046 of the European Parliament and of the Council of 18 July 2018 on the financial rules applicable to the general budget of the Union, amending Regulations (EU) No 1296/2013, (EU) No 1301/2013, (EU) No 1303/2013, (EU) No 1304/2013, (EU) No 1309/2013, (EU) No 1316/2013, (EU) No 223/2014, (EU) No 283/2014, and Decision No 541/2014/EU and repealing Regulation (EU, Euratom) No 966/2012, and in particular Article 58(2)(b) thereof ( OJ L 193, 30.7.2018, p. 1 ). 10. Preparatory Action on Defence Research: Regulation (EU, Euratom) 2018/1046 of the European Parliament and of the Council of 18 July 2018 on the financial rules applicable to the general budget of the Union, amending Regulations (EU) No 1296/2013, (EU) No 1301/2013, (EU) No 1303/2013, (EU) No 1304/2013, (EU) No 1309/2013, (EU) No 1316/2013, (EU) No 223/2014, (EU) No 283/2014, and Decision No 541/2014/EU and repealing Regulation (EU, Euratom) No 966/2012, and in particular Article 58(2)(b) thereof ( OJ L 193, 30.7.2018, p. 1 ). 11. European Joint Undertaking for ITER: Council Decision (Euratom) 2007/198 of 27 March 2007 establishing the European Joint Undertaking for ITER and the Development of Fusion Energy and conferring advantages upon it ( OJ L 90, 30.3.2007, p. 58 ).’ 

 Article 2 This Regulation shall enter into force on the day following that of its publication in the Official Journal of the European Union . This Regulation shall be published in the Official Journal of the European Union once the period for objection by either the European Parliament or the Council has expired, or the European Parliament and the Council have both informed the Commission that they will not object, pursuant to Article 16(6) of Regulation (EU) 2019/452.","[{""tipo"": ""preambolo_header"", ""identificatore"": ""0"", ""testo"": ""THE EUROPEAN COMMISSION, Having regard to the Treaty on the Functioning of the European Union, Having regard to Regulation (EU) 2019/452 of the European Parliament and of the Council of 19 March 2019 establishing a framework for the screening of foreign direct investments into the Union ( 1 ) , and in particular Article 8"", ""segment_id"": 0}, {""tipo"": ""considerando"", ""identificatore"": ""3"", ""testo"": ""of Regulation (EU) 2019/452 provides that projects or programmes of Union interest are to include those projects and programmes which involve a substantial amount or a significant share of Union funding, or which are covered by Union law regarding critical infrastructure, critical technologies or critical inputs which are essential for security or public order."", ""segment_id"": 1}, {""tipo"": ""considerando"", ""identificatore"": ""2"", ""testo"": ""The list of projects or programmes of Union interest referred to in point"", ""segment_id"": 2}, {""tipo"": ""considerando"", ""identificatore"": ""1"", ""testo"": ""is set out in the Annex to Regulation (EU) 2019/452."", ""segment_id"": 3}, {""tipo"": ""considerando"", ""identificatore"": ""3"", ""testo"": ""The Commission has found that there are several other projects and programmes which involve a substantial amount or a significant share of Union funding, or which are covered by Union law regarding critical infrastructure, critical technologies or critical inputs which are essential for security or public order, and which should therefore also be included in the aforementioned list."", ""segment_id"": 4}, {""tipo"": ""considerando"", ""identificatore"": ""4"", ""testo"": ""It is appropriate to expressly mention partnerships under Horizon 2020 taking the form of Union participation in programmes undertaken by several Member States, instruments such as Joint Undertakings or bodies such as the European Institute of Innovation and Technology. These partnerships play an important role in EU actions addressing healthcare emergencies such as the COVID-19 pandemic as they support, among other areas, research and innovation related to public health, initiatives improving the efficiency, effectiveness and quality of the drug development process and partnerships between the private sector and academia for improving the sustainability of healthcare systems."", ""segment_id"": 5}, {""tipo"": ""considerando"", ""identificatore"": ""5"", ""testo"": ""The Annex to Regulation (EU) 2019/452 should therefore be amended accordingly,"", ""segment_id"": 6}, {""tipo"": ""articolo"", ""identificatore"": ""1_p1"", ""testo"": ""Article 1 The Annex to Regulation (EU) 2019/452 is amended as follows: (1) Point 3 is replaced by the following: ‘3. Horizon 2020 including research and development programmes pursuant to Article 185 TFEU, and joint undertakings or any other structure set up pursuant to Article 187 TFEU: Regulation (EU) No 1291/2013 of the European Parliament and of the Council of 11 December 2013 establishing Horizon 2020 – the Framework Programme for Research and Innovation (2014-2020) and repealing Decision No 1982/2006/EC ( OJ L 347, 20.12.2013, p. 104 ), including actions therein relating to Key Enabling Technologies such as artificial intelligence, robotics, semiconductors and cybersecurity.’ (2) Point 8 is replaced by the following: ‘8. Permanent structured cooperation (PESCO): Council Decision (CFSP) 2018/340 of 6 March 2018 establishing the list of projects to be developed under PESCO ( OJ L 65, 8.3.2018, p. 24 ). Council Decision (CFSP) 2018/1797 of 19 November 2018 amending and updating Decision (CFSP) 2018/340 establishing the list of projects to be developed under PESCO ( OJ L 294, 21.11.2018, p. 18 ). Council Decision (CFSP) 2019/1909 of 12 November 2019 amending and updating Decision (CFSP) 2018/340 establishing the list of projects to be developed under PESCO ( OJ L 293, 14.11.2019, p. 113 ).’ (3) The following points 9, 10 and 11 are added: ‘9. Preparatory Action on Preparing the new EU GOVSATCOM programme: Regulation (EU, Euratom) 2018/1046 of the European Parliament and of the Council of 18 July 2018 on the financial rules applicable to the general budget of the Union, amending Regulations (EU) No 1296/2013, (EU) No 1301/2013, (EU) No 1303/2013, (EU) No 1304/2013, (EU) No 1309/2013, (EU) No 1316/2013, (EU) No 223/2014, (EU) No 283/2014, and Decision No 541/2014/EU and repealing Regulation (EU, Euratom) No 966/2012, and in particular Article 58(2)(b) thereof ( OJ L 193, 30.7.2018, p. 1 )."", ""segment_id"": 7}, {""tipo"": ""articolo"", ""identificatore"": ""1_p2"", ""testo"": ""10. Preparatory Action on Defence Research: Regulation (EU, Euratom) 2018/1046 of the European Parliament and of the Council of 18 July 2018 on the financial rules applicable to the general budget of the Union, amending Regulations (EU) No 1296/2013, (EU) No 1301/2013, (EU) No 1303/2013, (EU) No 1304/2013, (EU) No 1309/2013, (EU) No 1316/2013, (EU) No 223/2014, (EU) No 283/2014, and Decision No 541/2014/EU and repealing Regulation (EU, Euratom) No 966/2012, and in particular Article 58(2)(b) thereof ( OJ L 193, 30.7.2018, p. 1 )."", ""segment_id"": 8}, {""tipo"": ""articolo"", ""identificatore"": ""1_p3"", ""testo"": ""11. European Joint Undertaking for ITER: Council Decision (Euratom) 2007/198 of 27 March 2007 establishing the European Joint Undertaking for ITER and the Development of Fusion Energy and conferring advantages upon it ( OJ L 90, 30.3.2007, p. 58 ).’"", ""segment_id"": 9}, {""tipo"": ""articolo"", ""identificatore"": ""2"", ""testo"": ""Article 2 This Regulation shall enter into force on the day following that of its publication in the Official Journal of the European Union . This Regulation shall be published in the Official Journal of the European Union once the period for objection by either the European Parliament or the Council has expired, or the European Parliament and the Council have both informed the Commission that they will not object, pursuant to Article 16(6) of Regulation (EU) 2019/452."", ""segment_id"": 10}]",11,"title,preamble,articles",ok,5443
