celex,hybridity_score,hybridity_std,hybridity_max,n_articles,dominant_lamf,dom,dominant_lamf_pct,most_hybrid_article,lamf_L1,lamf_L2,lamf_L3,lamf_L4,title,H_global,H_local_diffusion
32019R0452,0.8685915037962111,0.24336384506602537,0.642282389020032,17,L2,Level 2 — Operational rules,47.05882352941176,6,38.043807297748614,41.017547721073115,11.764705882352942,9.173939098825334,32019R0452,0.8685915037962111,0.8685915037962111
32022R2560,0.8595481788166477,0.260167374961859,0.883094594619287,54,L4,Level 4 — Enforcement,38.88888888888889,36,31.04679786887584,30.842791459555677,2.719715364621197,35.390695306947286,32022R2560,0.9013781929656595,0.8595481788166477
32020D1502,0.7922365640865221,0.33314302290773695,0.7316636228259306,9,L2,Level 2 — Operational rules,44.44444444444444,7,34.53451366484837,32.964890347607536,0.0,32.500595987544095,32020D1502,0.8713321386798842,0.7922365640865221
32012R1219,0.6572258959476301,0.2944229335556389,0.7843667873949923,17,L2,Level 2 — Operational rules,64.70588235294117,9,35.302265056195225,55.65059026048167,0.0,9.04714468332311,32012R1219,0.65722589594763,0.65722589594763
32005R0184,0.6076188288671939,0.25201791283856934,0.59164705619941,13,L2,Level 2 — Operational rules,61.53846153846154,4,36.26801077264492,58.228095085498914,0.0,5.503894141856164,32005R0184,0.6076188288671939,0.6076188288671939
32023R1441,0.5238573819756213,0.2665591058995633,0.7832636311952721,27,L2,Level 2 — Operational rules,77.77777777777779,20,20.25825643003775,73.36391329025071,0.0,6.3778302797115485,32023R1441,0.7561469194780369,0.5238573819756213
32010R1227,0.499999998557305,0.0,0.0,2,L1,Level 1 — Framework principles,50.0,1,50.0,50.0,0.0,0.0,32010R1227,0.5424661715695953,0.499999998557305
32008R1055,0.49221344745731066,0.24694737704474712,0.4277254038373703,3,L1,Level 1 — Framework principles,66.66666666666666,1,57.333333333333336,42.666666666666664,0.0,0.0,32008R1055,0.5566309264069842,0.49221344745731066
32016R1013,0.490531376929059,0.4798374198149606,0.6785925868364298,2,L1,Level 1 — Framework principles,100.0,1,75.55948174322732,19.434628975265017,0.0,5.005889281507656,32016R1013,0.5859129971519101,0.490531376929059
32023R2414,0.46605578236564227,0.31343953753669856,0.44327044496834994,2,L1,Level 1 — Framework principles,50.0,1,65.21739130434783,34.78260869565217,0.0,0.0,32023R2414,0.7258565275135769,0.46605578236564227
32014R0228,0.35812919411107746,0.3420839344069207,0.4837797395082155,2,L2,Level 2 — Operational rules,100.0,1,19.718309859154928,80.28169014084507,0.0,0.0,32014R0228,0.4696255875398363,0.35812919411107746
32007D0414,0.0,0.0,0.0,2,L1,Level 1 — Framework principles,100.0,1,100.0,0.0,0.0,0.0,32007D0414,0.0,0.0
32020D0787,0.0,0.0,0.0,2,L1,Level 1 — Framework principles,100.0,1,100.0,0.0,0.0,0.0,32020D0787,0.0,0.0
32009R0707,0.0,,0.0,1,L1,Level 1 — Framework principles,100.0,1,100.0,0.0,0.0,0.0,32009R0707,0.41811912013097424,0.0
32019R0505,0.0,,0.0,1,L2,Level 2 — Operational rules,100.0,1,0.0,100.0,0.0,0.0,32019R0505,0.3302656246751662,0.0
32021R2126,0.0,0.0,0.0,2,L2,Level 2 — Operational rules,100.0,1,0.0,100.0,0.0,0.0,32021R2126,0.4843112568044823,0.0
32020R1298,0.0,0.0,0.0,2,L1,Level 1 — Framework principles,100.0,1,100.0,0.0,0.0,0.0,32020R1298,0.49719497185016337,0.0
32023R1472,0.0,0.0,0.0,2,L1,Level 1 — Framework principles,100.0,1,100.0,0.0,0.0,0.0,32023R1472,0.4080238856246802,0.0
32024R3104,0.0,0.0,0.0,2,L1,Level 1 — Framework principles,100.0,1,100.0,0.0,0.0,0.0,32024R3104,0.41811912013097424,0.0
