celex,articolo_id,lamf_L1,lamf_L2,lamf_L3,lamf_L4,n_tokens_labeled,n_fragments,entropy,dominant_lamf
32005R0184,1,100.0,0.0,0.0,0.0,35,1,0.0,L1
32005R0184,10,50.76923076923077,49.23076923076923,0.0,0.0,65,1,0.4999146286190017,L1
32005R0184,11,49.397590361445786,50.602409638554214,0.0,0.0,83,1,0.4999476422666146,L2
32005R0184,12,26.923076923076923,73.07692307692308,0.0,0.0,104,1,0.4201793343618635,L2
32005R0184,13,100.0,0.0,0.0,0.0,27,1,0.0,L1
32005R0184,2,0.0,100.0,0.0,0.0,42,1,0.0,L2
32005R0184,3,0.0,100.0,0.0,0.0,94,1,0.0,L2
32005R0184,4,8.955223880597014,67.66169154228855,0.0,23.383084577114428,201,6,0.59164705619941,L2
32005R0184,5,83.60655737704919,16.39344262295082,0.0,0.0,61,1,0.32181970513038827,L1
32005R0184,6,0.0,100.0,0.0,0.0,28,1,0.0,L2
32005R0184,7,0.0,100.0,0.0,0.0,35,1,0.0,L2
32005R0184,8,51.832460732984295,0.0,0.0,48.167539267015705,191,4,0.49951544570312034,L1
32005R0184,9,0.0,100.0,0.0,0.0,26,1,0.0,L2
32007D0414,1,100.0,0.0,0.0,0.0,35,1,0.0,L1
32007D0414,2,100.0,0.0,0.0,0.0,10,1,0.0,L1
32008R1055,1,72.0,28.0,0.0,0.0,25,1,0.4277254038373703,L1
32008R1055,2,0.0,100.0,0.0,0.0,14,1,0.0,L2
32008R1055,3,100.0,0.0,0.0,0.0,24,1,0.0,L1
32009R0707,1,100.0,0.0,0.0,0.0,20,1,0.0,L1
32010R1227,1,0.0,100.0,0.0,0.0,43,1,0.0,L2
32010R1227,2,100.0,0.0,0.0,0.0,24,1,0.0,L1
32012R1219,1,100.0,0.0,0.0,0.0,95,1,0.0,L1
32012R1219,10,0.0,100.0,0.0,0.0,53,1,0.0,L2
32012R1219,11,19.10828025477707,43.63057324840764,0.0,37.261146496815286,314,9,0.7545133925152716,L2
32012R1219,12,4.383561643835616,82.73972602739725,0.0,12.876712328767123,365,10,0.4023641229319449,L2
32012R1219,13,5.537459283387622,65.14657980456026,0.0,29.315960912052116,307,4,0.5764466307394975,L2
32012R1219,14,0.0,100.0,0.0,0.0,45,1,0.0,L2
32012R1219,15,30.48780487804878,69.51219512195122,0.0,0.0,82,1,0.44358614994099077,L2
32012R1219,16,100.0,0.0,0.0,0.0,47,1,0.0,L1
32012R1219,17,100.0,0.0,0.0,0.0,29,1,0.0,L1
32012R1219,2,0.0,100.0,0.0,0.0,98,1,0.0,L2
32012R1219,3,100.0,0.0,0.0,0.0,61,1,0.0,L1
32012R1219,4,0.0,100.0,0.0,0.0,73,1,0.0,L2
32012R1219,5,0.0,100.0,0.0,0.0,61,1,0.0,L2
32012R1219,6,0.0,52.06185567010309,0.0,47.93814432989691,194,3,0.4993864990555642,L2
32012R1219,7,100.0,0.0,0.0,0.0,48,1,0.0,L1
32012R1219,8,3.5294117647058822,96.47058823529412,0.0,0.0,170,6,0.11014163203294215,L2
32012R1219,9,37.0919881305638,36.49851632047478,0.0,26.409495548961424,337,11,0.7843667873949923,L1
32014R0228,1,39.436619718309856,60.563380281690144,0.0,0.0,71,1,0.4837797395082155,L2
32014R0228,2,0.0,100.0,0.0,0.0,33,1,0.0,L2
32016R1013,1,51.11896348645465,38.869257950530034,0.0,10.011778563015312,1698,31,0.6785925868364298,L1
32016R1013,2,100.0,0.0,0.0,0.0,26,1,0.0,L1
32019R0452,1,100.0,0.0,0.0,0.0,154,4,0.0,L1
32019R0452,10,0.0,0.0,0.0,100.0,88,1,0.0,L4
32019R0452,11,63.63636363636363,36.36363636363637,0.0,0.0,66,1,0.47283015085762503,L1
32019R0452,12,0.0,0.0,100.0,0.0,101,1,0.0,L3
32019R0452,13,0.0,0.0,100.0,0.0,35,1,0.0,L3
32019R0452,14,0.0,100.0,0.0,0.0,89,1,0.0,L2
32019R0452,15,23.376623376623378,76.62337662337663,0.0,0.0,77,1,0.39225956800663714,L2
32019R0452,16,68.22033898305085,31.779661016949152,0.0,0.0,236,7,0.4509846182305044,L1
32019R0452,17,100.0,0.0,0.0,0.0,29,1,0.0,L1
32019R0452,2,100.0,0.0,0.0,0.0,235,1,0.0,L1
32019R0452,3,20.955882352941178,79.04411764705883,0.0,0.0,272,10,0.3703192988348198,L2
32019R0452,4,48.18481848184818,51.81518151815182,0.0,0.0,303,11,0.49952454281446035,L2
32019R0452,5,17.8343949044586,82.1656050955414,0.0,0.0,157,4,0.3382203928527596,L2
32019R0452,6,7.7611940298507465,56.11940298507463,0.0,36.11940298507463,670,15,0.642282389020032,L2
32019R0452,7,17.05790297339593,71.51799687010954,0.0,11.424100156494523,639,12,0.5693319139741932,L2
32019R0452,8,70.34220532319392,29.657794676806084,0.0,0.0,263,8,0.43853374554799396,L1
32019R0452,9,9.375,82.21153846153847,0.0,8.413461538461538,416,15,0.42646847202708216,L2
32019R0505,1,0.0,100.0,0.0,0.0,18,1,0.0,L2
32020D0787,1,100.0,0.0,0.0,0.0,35,1,0.0,L1
32020D0787,2,100.0,0.0,0.0,0.0,23,1,0.0,L1
32020D1502,1,100.0,0.0,0.0,0.0,171,4,0.0,L1
32020D1502,2,39.40809968847352,55.14018691588785,0.0,5.451713395638629,642,15,0.6158980399016921,L2
32020D1502,3,5.442176870748299,94.5578231292517,0.0,0.0,147,3,0.15244566380348873,L2
32020D1502,4,46.26168224299065,45.32710280373832,0.0,8.411214953271028,214,7,0.666162226770189,L1
32020D1502,5,0.0,0.0,0.0,100.0,51,1,0.0,L4
32020D1502,6,4.022988505747127,55.172413793103445,0.0,40.804597701149426,174,4,0.5937707974601301,L2
32020D1502,7,15.675675675675675,46.486486486486484,0.0,37.83783783783784,185,4,0.7316636228259306,L2
32020D1502,8,0.0,0.0,0.0,100.0,114,1,0.0,L4
