celex,hybridity_score_before,n_articles_reali,eligible,outcome,H_before,H_after,delta_H,H_improvement,n_blocks
32019R0452,0.8686,17,True,rejected,0.8686,,,,
32022R2560,0.8595,54,True,accepted,0.8595,0.5584,0.3011,0.3503,3.0
32020D1502,0.7922,9,True,rejected,0.7922,,,,
32012R1219,0.6572,17,True,accepted,0.6572,0.37,0.2872,0.437,2.0
32005R0184,0.6076,13,True,accepted,0.6076,0.3996,0.208,0.3424,2.0
32023R1441,0.5239,27,True,accepted,0.5239,0.3629,0.161,0.3073,2.0
32010R1227,0.5,2,False,not_eligible,0.5,,,,
32008R1055,0.4922,3,False,not_eligible,0.4922,,,,
32016R1013,0.4905,2,False,not_eligible,0.4905,,,,
32023R2414,0.4661,2,False,not_eligible,0.4661,,,,
32014R0228,0.3581,2,False,not_eligible,0.3581,,,,
32007D0414,0.0,2,False,not_eligible,0.0,,,,
32020D0787,0.0,2,False,not_eligible,0.0,,,,
32009R0707,0.0,1,False,not_eligible,0.0,,,,
32019R0505,0.0,1,False,not_eligible,0.0,,,,
32021R2126,0.0,2,False,not_eligible,0.0,,,,
32020R1298,0.0,2,False,not_eligible,0.0,,,,
32023R1472,0.0,2,False,not_eligible,0.0,,,,
32024R3104,0.0,2,False,not_eligible,0.0,,,,
__SUMMARY__,0.3482,162,,network_summary,0.3482,0.3306,0.0176,0.0506,4.0
