Id,layer,confidence,motivation,input_source,classification_status,dominant_layer,purity,G1,G2,G3,G4,G5
32009D0489,,,Decisione tecnica con allegati specifici,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32010D0212,,,Principi fondanti e quadro legislativo,preamble,ok,G2,0.6,40.0,60.0,0.0,0.0,0.0
32010H0167,,,Regolamento tecnico con riferimenti a principi e quadro,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32011L0076R(01),,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,20.0,70.0,5.0,5.0,0.0
32013D1313R(03),,,Legge quadro con principi e dettagli tecnici,preamble,ok,G2,0.7,15.0,70.0,10.0,5.0,0.0
32014R0513R(01),,,Legge quadro con principi fondanti e dettagli tecnici,preamble,ok,G2,0.7,20.0,70.0,5.0,5.0,0.0
32014R1299R(02),,,Regolamento tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32015D1835,,,Decisione quadro con principi e regole operative,preamble,ok,G2,0.7,20.0,70.0,5.0,5.0,0.0
32015L2366,,,Legge quadro con riferimenti a principi e dettagli,preamble,ok,G2,0.8,10.0,80.0,5.0,5.0,0.0
32015R0020,,,Regolamento tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32016D0209,,,Atto tecnico basato su regolamento quadro,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32016D0339R(01),,,Atto tecnico con riferimenti a principi e quadro,preamble,ok,G3,0.5,10.0,30.0,50.0,10.0,0.0
32016D0422,,,Atto tecnico con riferimenti a regolamenti,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32016R1710,,,Regolamento quadro con riferimenti ai trattati e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,20.0,0.0,0.0
32016R1719R(03),,,Regolamento tecnico con riferimenti a principi e quadro,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32016R2214,,,Regolamento tecnico con riferimenti a principi e quadro,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32017D2378,,,Atto tecnico con riferimenti a regolamenti,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32017L2455R(04),,,"Direttiva con principi, regole e dettagli tecnici",preamble,ok,G2,0.7,10.0,70.0,15.0,5.0,0.0
32017L2455R(07),,,Direttiva con principi e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,15.0,5.0,0.0
32017R0006,,,Regolamento tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32017R0393,,,Regolamento tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32017R1084,,,Regolamento delegato con riferimenti ai trattati,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32017R1084R(04),,,Regolamento delegato con riferimenti a trattati e linee guida,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32017R1538R(01),,,Atto tecnico con riferimenti a regolamenti quadro,preamble,ok,G3,0.5,10.0,30.0,50.0,10.0,0.0
32017R1538R(02),,,Atto tecnico con riferimenti a regolamenti quadro,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32017R1800,,,Regolamento delegato con dettagli tecnici e riferimenti ai trattati.,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32018D0860R(01),,,Decisione di infrazione con dettagli procedurali e tecnici,preamble,ok,G5,0.4,10.0,20.0,30.0,0.0,40.0
32018D1723,,,Regolamento tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32018L1972R(03),,,Legge quadro con riferimenti ai trattati,preamble,ok,G2,0.8,10.0,80.0,5.0,5.0,0.0
32018R0414,,,Regolamento delegato con riferimenti a trattati e direttive,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32018R1100,,,"Atto tecnico con allegati, basato su regolamento quadro.",preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32019D0232,,,Decisione quadro con riferimenti ai trattati,preamble,ok,G2,0.6,20.0,60.0,10.0,10.0,0.0
32019D0784,,,Regolamento tecnico con riferimenti a principi e linee guida,preamble,ok,G3,0.5,10.0,20.0,50.0,20.0,0.0
32019D1274,,,Atto tecnico con riferimenti a principi e quadro,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32019D1276,,,Decisione di esecuzione tecnica con riferimenti ai trattati,preamble,ok,G3,0.8,10.0,0.0,80.0,10.0,0.0
32019D1278,,,Decisione di esecuzione con riferimenti a regolamenti e condizioni tecniche,preamble,ok,G3,0.6,10.0,20.0,60.0,10.0,0.0
32019D1577,,,Legge quadro con riferimenti a trattati e allegati tecnici,preamble,ok,G2,0.6,20.0,60.0,10.0,10.0,0.0
32019D1909,,,Decisione quadro con riferimenti a trattati e raccomandazioni,preamble,ok,G2,0.8,10.0,80.0,5.0,5.0,0.0
32019R0503,,,Legge quadro con riferimenti ai trattati,preamble,ok,G2,0.8,10.0,80.0,5.0,5.0,0.0
32019R2175R(02),,,Legge quadro con riferimenti a principi e dettagli tecnici,preamble,ok,G2,0.7,10.0,70.0,15.0,5.0,0.0
32020D0373R(01),,,Decisione del Consiglio con riferimenti ai Trattati e aggiornamenti tecnici,preamble,ok,G2,0.8,10.0,80.0,5.0,0.0,5.0
32020D2228,,,Legge quadro con riferimenti ai trattati,preamble,ok,G2,0.8,20.0,80.0,0.0,0.0,0.0
32021D0509,,,Principi e regole quadro in atto legislativo,preamble,ok,G2,0.6,40.0,60.0,0.0,0.0,0.0
