Source,Target,Type,start_year,end_year
31996D0546,31995M0595,CITES,1996.0,1995.0
31996D0546,11992E086,CITES,1996.0,1992.0
31996D0546,31990L0388,CITES,1996.0,1990.0
31996D0546,31994D0579,CITES,1996.0,1994.0
31996D0546,31994D0896,CITES,1996.0,1994.0
31996D0546,31994D0322,CITES,1996.0,1994.0
31996D0546,31993D0403,CITES,1996.0,1993.0
31996D0546,31996D0547,CITES,1996.0,1996.0
31996D0546,11992E085,CITES,1996.0,1992.0
31996D0546,31992L0044,CITES,1996.0,1992.0
31996D0546,31994D0663,CITES,1996.0,1994.0
31996D0546,31995M0618,CITES,1996.0,1995.0
31996D0546,31990L0387,CITES,1996.0,1990.0
31996D0546,31993D0049,CITES,1996.0,1993.0
31996D0546,31994D0895,CITES,1996.0,1994.0
31996D0546,31989R4064,CITES,1996.0,1989.0
31996D0546,31996L0019,CITES,1996.0,1996.0
31996D0546,31996M0689,CITES,1996.0,1996.0
31996D0546,31994D0594,CITES,1996.0,1994.0
32001D0718,31999D0242,CITES,2001.0,1999.0
32001D0718,32001D0098,CITES,2001.0,2001.0
32003D0081,31998Y1210(01),CITES,2003.0,1998.0
32003D0081,61985CJ0265,CITES,2003.0,1985.0
32003D0081,31999R0659,CITES,2003.0,1999.0
32003D0081,11997E087,CITES,2003.0,1997.0
32003D0707,61983CJ0041,CITES,2003.0,1983.0
32003D0707,61997TJ0228,CITES,2003.0,1997.0
32003D0707,31997D0310,CITES,2003.0,1997.0
32003D0707,61995CJ0359,CITES,2003.0,1995.0
32003D0707,61986CJ0062,CITES,2003.0,1986.0
32003D0707,31998L0010,CITES,2003.0,1998.0
32003D0707,12002E086,CITES,2003.0,2002.0
32003D0707,31998Y0114(01),CITES,2003.0,1998.0
32003D0707,32002L0019,CITES,2003.0,2002.0
32003D0707,32002L0022,CITES,2003.0,2002.0
32003D0707,31990L0387,CITES,2003.0,1990.0
32003D0707,61976CJ0085,CITES,2003.0,1976.0
32003D0707,31997D0568,CITES,2003.0,1997.0
32003D0707,61993TJ0513,CITES,2003.0,1993.0
32003D0707,31997D0603,CITES,2003.0,1997.0
32003D0707,31998R2842,CITES,2003.0,1998.0
32003D0707,61995CJ0379,CITES,2003.0,1995.0
32003D0707,31997D0114,CITES,2003.0,1997.0
32003D0707,31998L0061,CITES,2003.0,1998.0
32003D0707,31997L0033,CITES,2003.0,1997.0
32003D0707,32000Y0923(02),CITES,2003.0,2000.0
32003D0707,61995CJ0242,CITES,2003.0,1995.0
32003D0707,61991CJ0320,CITES,2003.0,1991.0
32003D0707,31997D0607,CITES,2003.0,1997.0
32003D0707,31990L0388,CITES,2003.0,1990.0
32003D0707,12002E256,CITES,2003.0,2002.0
32003D0707,32000R2887,CITES,2003.0,2000.0
32003D0707,12002E082,CITES,2003.0,2002.0
32003D0707,61991TJ0083,CITES,2003.0,1991.0
32002D0164,31996L0092,CITES,2002.0,1996.0
32002D0164,32001D0519,CITES,2002.0,2001.0
32003D0668,31998L0030,CITES,2003.0,1998.0
32003D0668,32001D0519,CITES,2003.0,2001.0
32003D0668,32002D0164,CITES,2003.0,2002.0
32014R0651R(05),32008L0001,CITES,2014.0,2008.0
32014R0651R(05),32006R1013R(05),CITES,2014.0,2006.0
32014R0651R(05),32003L0096R(08),CITES,2014.0,2003.0
32014R0651R(05),32009R0715,CITES,2014.0,2009.0
32014R0651R(05),32013R1379R(03),CITES,2014.0,2013.0
32014R0651R(05),32010L0075R(11),CITES,2014.0,2010.0
32014R0651R(05),12012E107,CITES,2014.0,2012.0
32014R0651R(05),32009L0125R(02),CITES,2014.0,2009.0
32014R0651R(05),32000L0060R(01),CITES,2014.0,2000.0
32014R0651R(05),31999R0659,CITES,2014.0,1999.0
32014R0651R(05),32012L0027R(01),CITES,2014.0,2012.0
32014R0651R(05),32004L0008,CITES,2014.0,2004.0
32014R0651R(05),32013R1303R(04),CITES,2014.0,2013.0
32014R0651R(05),32006R1893R(02),CITES,2014.0,2006.0
32014R0651R(05),32009L0031R(02),CITES,2014.0,2009.0
32014R0651R(05),32009R0713,CITES,2014.0,2009.0
32014R0651R(05),31985L0337,CITES,2014.0,1985.0
32014R0651R(05),32006L0032,CITES,2014.0,2006.0
32014R0651R(05),32009L0073,CITES,2014.0,2009.0
32014R0651R(05),32003H0361,CITES,2014.0,2003.0
32014R0651R(05),32004L0035,CITES,2014.0,2004.0
32014R0651R(05),32009R0714,CITES,2014.0,2009.0
32014R0651R(05),32013L0034R(07),CITES,2014.0,2013.0
32014R0651R(05),32009L0028,CITES,2014.0,2009.0
32014R0651R(05),32001L0077,CITES,2014.0,2001.0
32014R0651R(05),32013R1407,CITES,2014.0,2013.0
32014R0651R(05),32004L0039,CITES,2014.0,2004.0
32014R0651R(05),32003L0087R(05),CITES,2014.0,2003.0
32014R0651R(05),32009L0072,CITES,2014.0,2009.0
32014R0651R(05),32010D0787,CITES,2014.0,2010.0
32014R0651R(05),31998L0070,CITES,2014.0,1998.0
32014R0651R(05),32003L0098,CITES,2014.0,2003.0
32012D0243,32002L0020,CITES,2012.0,2002.0
32012D0243,32009H0848,CITES,2012.0,2009.0
32012D0243,32002L0019,CITES,2012.0,2002.0
32012D0243,32008R0683,CITES,2012.0,2008.0
32012D0243,32002D0676R(01),CITES,2012.0,2002.0
32012D0243,32010R0911,CITES,2012.0,2010.0
32012D0243,32002L0021,CITES,2012.0,2002.0
32012D0243,32011R0182R(02),CITES,2012.0,2011.0
32012D0243,32008D0411,CITES,2012.0,2008.0
32012D0243,31999H0519R(01),CITES,2012.0,1999.0
32012D0243,31987L0372R(01),CITES,2012.0,1987.0
32012D0243,32008D0477R(01),CITES,2012.0,2008.0
32012D0243,32007D0344,CITES,2012.0,2007.0
32012D0243,32002D0622,CITES,2012.0,2002.0
32012D0243,32010D0267,CITES,2012.0,2010.0
32012D0243,31999L0005,CITES,2012.0,1999.0
