Source,Target,Type,start_year,end_year
32014R0651R(05),32008L0001,CITES,2014.0,2008.0
32014R0651R(05),32006R1013R(05),CITES,2014.0,2006.0
32014R0651R(05),32009R0715,CITES,2014.0,2009.0
32014R0651R(05),32013R1379R(03),CITES,2014.0,2013.0
32014R0651R(05),32010L0075R(11),CITES,2014.0,2010.0
32014R0651R(05),32009L0125R(02),CITES,2014.0,2009.0
32014R0651R(05),32012L0027R(01),CITES,2014.0,2012.0
32014R0651R(05),32013R1303R(04),CITES,2014.0,2013.0
32014R0651R(05),32006R1893R(02),CITES,2014.0,2006.0
32014R0651R(05),32009L0031R(02),CITES,2014.0,2009.0
32014R0651R(05),32009R0713,CITES,2014.0,2009.0
32014R0651R(05),32006L0032,CITES,2014.0,2006.0
32014R0651R(05),32009L0073,CITES,2014.0,2009.0
32014R0651R(05),32009R0714,CITES,2014.0,2009.0
32014R0651R(05),32013L0034R(07),CITES,2014.0,2013.0
32014R0651R(05),32009L0028,CITES,2014.0,2009.0
32014R0651R(05),32013R1407,CITES,2014.0,2013.0
32014R0651R(05),32009L0072,CITES,2014.0,2009.0
32014R0651R(05),32010D0787,CITES,2014.0,2010.0
32012D0243,32009H0848,CITES,2012.0,2009.0
32012D0243,32008R0683,CITES,2012.0,2008.0
32012D0243,32010R0911,CITES,2012.0,2010.0
32012D0243,32011R0182R(02),CITES,2012.0,2011.0
32012D0243,32008D0411,CITES,2012.0,2008.0
32012D0243,32008D0477R(01),CITES,2012.0,2008.0
32012D0243,32007D0344,CITES,2012.0,2007.0
32012D0243,32010D0267,CITES,2012.0,2010.0
32012D0243,32009D0766,CITES,2012.0,2009.0
32019R0817,32018R1862R(03),CITES,2019.0,2018.0
32019R0817,32018R1046,CITES,2019.0,2018.0
32019R0817,32019R0816R(02),CITES,2019.0,2019.0
32019R0817,32016R0679R(02),CITES,2019.0,2016.0
32019R0817,32014R0515R(03),CITES,2019.0,2014.0
32019R0817,32018R1725R(02),CITES,2019.0,2018.0
32019R0817,32016R0794R(05),CITES,2019.0,2016.0
32019R0817,32017L0541,CITES,2019.0,2017.0
32019R0817,32011R0182R(02),CITES,2019.0,2011.0
32019R0817,32016L0680R(03),CITES,2019.0,2016.0
32019R0817,32008D0146,CITES,2019.0,2008.0
32019R0817,32019R0818R(01),CITES,2019.0,2019.0
32019R0817,32011D0350,CITES,2019.0,2011.0
32014D0585,32013R0305,CITES,2014.0,2013.0
32014D0585,32010L0040,CITES,2014.0,2010.0
32012D0462,32008D0232,CITES,2012.0,2008.0
32012D0462,32011D0665,CITES,2012.0,2011.0
32012D0462,32008D0284,CITES,2012.0,2008.0
32012D0462,32008D0217,CITES,2012.0,2008.0
32012D0462,32006D0679,CITES,2012.0,2006.0
32012D0462,32011D0633,CITES,2012.0,2011.0
32012D0462,32011D0229,CITES,2012.0,2011.0
32022L0362R(04),32011R0182R(02),CITES,2022.0,2011.0
32022L0362R(04),32018R0858R(08),CITES,2022.0,2018.0
32022L0362R(04),32014L0045R(06),CITES,2022.0,2014.0
32022L0362R(04),32019R1242R(01),CITES,2022.0,2019.0
32022L0362R(04),32020R0683,CITES,2022.0,2020.0
32022L0362R(04),32013R1315,CITES,2022.0,2013.0
32022L0362R(04),32014L0023R(05),CITES,2022.0,2014.0
32022L0362R(04),32017R2400R(03),CITES,2022.0,2017.0
32022L0362R(04),32019R0631R(01),CITES,2022.0,2019.0
32022L0362R(04),32008L0050R(05),CITES,2022.0,2008.0
32022L0362R(04),32017R1151R(04),CITES,2022.0,2017.0
32022L0362R(04),32018R0956,CITES,2022.0,2018.0
32022L0362R(04),32014R0165R(01),CITES,2022.0,2014.0
32014R1301R(05),32010D0713,CITES,2014.0,2010.0
32018R1139R(04),32011R1178R(10),CITES,2018.0,2011.0
32018R1139R(04),32012R0748R(15),CITES,2018.0,2012.0
32018R1139R(04),32015D0443,CITES,2018.0,2015.0
32018R1139R(04),32009D0320,CITES,2018.0,2009.0
32018R1139R(04),32014R1321R(03),CITES,2018.0,2014.0
32018R1139R(04),32012R0966,CITES,2018.0,2012.0
32018R1139R(04),32013R1271,CITES,2018.0,2013.0
32018R1139R(04),32008R0300R(04),CITES,2018.0,2008.0
32018R1139R(04),32015D1835R(01),CITES,2018.0,2015.0
32018R1139R(04),32013R1285,CITES,2018.0,2013.0
32018R1139R(04),32008R0765R(03),CITES,2018.0,2008.0
32018R1139R(04),32016R0679R(02),CITES,2018.0,2016.0
32018R1139R(04),32012R0965R(04),CITES,2018.0,2012.0
32018R1139R(04),32008D0768R(02),CITES,2018.0,2008.0
32018R1139R(04),32011R0182R(02),CITES,2018.0,2011.0
32018R1139R(04),32015D0444,CITES,2018.0,2015.0
32018R1139R(04),32013R0883R(02),CITES,2018.0,2013.0
32009L0125R(02),32008R0106,CITES,2009.0,2008.0
32025R0041,32013R0952R(10),CITES,2025.0,2013.0
32025R0041,32018R1862R(03),CITES,2025.0,2018.0
32025R0041,32009L0043,CITES,2025.0,2009.0
32025R0041,32008E0944,CITES,2025.0,2008.0
32025R0041,32009F0315R(03),CITES,2025.0,2009.0
32025R0041,32021D0038,CITES,2025.0,2021.0
32025R0041,32018R1725R(02),CITES,2025.0,2018.0
32025R0041,32021L0555R(01),CITES,2025.0,2021.0
32025R0041,32011R0182R(02),CITES,2025.0,2011.0
32025R0041,32015R2446R(12),CITES,2025.0,2015.0
32025R0041,32016R0794R(05),CITES,2025.0,2016.0
32025R0041,32019L1937R(01),CITES,2025.0,2019.0
32025R0041,32016R0679R(02),CITES,2025.0,2016.0
32025R0041,32014D0164,CITES,2025.0,2014.0
32025R0041,32021R0821R(03),CITES,2025.0,2021.0
32025R0041,32015R2447R(13),CITES,2025.0,2015.0
32025R0041,32022R2399,CITES,2025.0,2022.0
32024R1735R(01),32014L0023R(05),CITES,2024.0,2014.0
32024R1735R(01),32009L0147R(01),CITES,2024.0,2009.0
32024R1735R(01),32021R0523,CITES,2024.0,2021.0
32024R1735R(01),32024R1781R(01),CITES,2024.0,2024.0
32024R1735R(01),32021R1056,CITES,2024.0,2021.0
32024R1735R(01),32014L0024R(15),CITES,2024.0,2014.0
32024R1735R(01),32022R1031,CITES,2024.0,2022.0
32024R1735R(01),32018R1999R(06),CITES,2024.0,2018.0
32024R1735R(01),32022R1214R(01),CITES,2024.0,2022.0
32024R1735R(01),32009L0031R(02),CITES,2024.0,2009.0
32024R1735R(01),32021R0240R(01),CITES,2024.0,2021.0
32024R1735R(01),32023R0435,CITES,2024.0,2023.0
32024R1735R(01),32011L0092R(02),CITES,2024.0,2011.0
32024R1735R(01),32021R1119,CITES,2024.0,2021.0
32024R1735R(01),32005L0036R(07),CITES,2024.0,2005.0
32024R1735R(01),32016D1841,CITES,2024.0,2016.0
32024R1735R(01),32018L2001R(10),CITES,2024.0,2018.0
32024R1735R(01),32014D0115,CITES,2024.0,2014.0
32024R1735R(01),32021R1058,CITES,2024.0,2021.0
32024R1735R(01),32022R2560R(02),CITES,2024.0,2022.0
32024R1735R(01),32023R1805,CITES,2024.0,2023.0
32024R1735R(01),32021R0696R(01),CITES,2024.0,2021.0
32024R1735R(01),32014L0089R(01),CITES,2024.0,2014.0
32024R1735R(01),32023R0955,CITES,2024.0,2023.0
32024R1735R(01),32023R1542R(01),CITES,2024.0,2023.0
32024R1735R(01),32023R2405R(02),CITES,2024.0,2023.0
32024R1735R(01),32023L2413,CITES,2024.0,2023.0
32024R1735R(01),32012L0018R(03),CITES,2024.0,2012.0
32024R1735R(01),32010L0075R(11),CITES,2024.0,2010.0
32024R1735R(01),32021R0241R(02),CITES,2024.0,2021.0
32024R1735R(01),32024R1252R(01),CITES,2024.0,2024.0
32024R1735R(01),32024R0795R(01),CITES,2024.0,2024.0
32024R1735R(01),32021R1057,CITES,2024.0,2021.0
32024R1735R(01),32013R0952R(10),CITES,2024.0,2013.0
32024R1735R(01),32014L0025R(07),CITES,2024.0,2014.0
32024R1735R(01),32012R1025,CITES,2024.0,2012.0
32024R1735R(01),32009L0081R(01),CITES,2024.0,2009.0
32024R1735R(01),32017R1369R(01),CITES,2024.0,2017.0
32024R1735R(01),32021R0695R(03),CITES,2024.0,2021.0
32024R1735R(01),32023R1781,CITES,2024.0,2023.0
32024R1735R(01),32021R1060R(05),CITES,2024.0,2021.0
32018R1971R(01),32018R1725R(02),CITES,2018.0,2018.0
32018R1971R(01),32013R0883R(02),CITES,2018.0,2013.0
32018R1971R(01),32013R0526,CITES,2018.0,2013.0
32018R1971R(01),32004R2006,CITES,2018.0,2004.0
32018R1971R(01),32016R0679R(02),CITES,2018.0,2016.0
32018R1971R(01),32018R1046,CITES,2018.0,2018.0
32018R1971R(01),32010L0013R(03),CITES,2018.0,2010.0
32018R1971R(01),32015D0443,CITES,2018.0,2015.0
32018R1971R(01),32010R0912,CITES,2018.0,2010.0
32018R1971R(01),32013R1271,CITES,2018.0,2013.0
32018R1971R(01),32018L1972R(04),CITES,2018.0,2018.0
32018R1971R(01),32012R0531,CITES,2018.0,2012.0
32018R1971R(01),32015D0444,CITES,2018.0,2015.0
32018R1971R(01),42010D0349,CITES,2018.0,2010.0
32021R2139R(01),32010L0075R(11),CITES,2021.0,2010.0
32021R2139R(01),32006R1893R(02),CITES,2021.0,2006.0
32021R2139R(01),32013L0034R(07),CITES,2021.0,2013.0
32021R2139R(01),32018L2001R(10),CITES,2021.0,2018.0
32018L2001R(10),32005L0036R(07),CITES,2018.0,2005.0
32018L2001R(10),32010L0031R(03),CITES,2018.0,2010.0
32018L2001R(10),32013R0525,CITES,2018.0,2013.0
32018L2001R(10),32008R1099,CITES,2018.0,2008.0
32018L2001R(10),32008L0098R(03),CITES,2018.0,2008.0
32018L2001R(10),32009L0072,CITES,2018.0,2009.0
32018L2001R(10),32018R1046,CITES,2018.0,2018.0
32018L2001R(10),32009L0073,CITES,2018.0,2009.0
32018L2001R(10),32018R1999R(06),CITES,2018.0,2018.0
32018L2001R(10),32011R0182R(02),CITES,2018.0,2011.0
32018L2001R(10),32012L0027R(01),CITES,2018.0,2012.0
32010L0075R(11),32009R1221R(01),CITES,2010.0,2009.0
32010D0368,32008D0432,CITES,2010.0,2008.0
32010D0368,32009D0381,CITES,2010.0,2009.0
32011D0829,32010D0368,CITES,2011.0,2010.0
32011D0829,32008D0432,CITES,2011.0,2008.0
32011D0829,32009D0381,CITES,2011.0,2009.0
32021R1134R(04),32019R0818R(01),CITES,2021.0,2019.0
32021R1134R(04),32016R0679R(02),CITES,2021.0,2016.0
32021R1134R(04),32017L0541,CITES,2021.0,2017.0
32021R1134R(04),32011R0182R(02),CITES,2021.0,2011.0
32021R1134R(04),32011D0350,CITES,2021.0,2011.0
32021R1134R(04),32016R0794R(05),CITES,2021.0,2016.0
32021R1134R(04),32009F0315R(03),CITES,2021.0,2009.0
32021R1134R(04),32008D0149,CITES,2021.0,2008.0
32021R1134R(04),32021R1134R(04),CITES,2021.0,2021.0
32021R1134R(04),32017D1908R(01),CITES,2021.0,2017.0
32021R1134R(04),32016L0680R(03),CITES,2021.0,2016.0
32021R1134R(04),32008D0146,CITES,2021.0,2008.0
32021R1134R(04),32018R1725R(02),CITES,2021.0,2018.0
32014L0053R(02),32008D0768R(02),CITES,2014.0,2008.0
