Id,Label,Year,LegalType,Era,Decade,PipelineLevel,SeedConceptCount
32019R0452,32019R0452,2019.0,Regulation,Late 2010s,2010.0,L1_seed_manual,3
12016E063,12016E063,2016.0,Treaty,Late 2010s,2010.0,L1_seed_manual,0
12016E065,12016E065,2016.0,Treaty,Late 2010s,2010.0,L1_seed_manual,0
32008L0114,32008L0114,2008.0,Directive,Late 2000s,2000.0,L1_seed_manual,0
32021R0821R(02),32021R0821,2021.0,Regulation,2020s,2020.0,L1_seed_manual,0
32022L2557R(01),32022L2557,2022.0,Directive,2020s,2020.0,L1_seed_manual,1
32021R0821,32021R0821,2021.0,Regulation,2020s,2020.0,L1_seed_manual,0
31985D0066,31985D0066,1985.0,Decision,Pre-Single European Act,1980.0,L2_seed_eurovoc,1
31996R0902,31996R0902,1996.0,Regulation,1990s,1990.0,L2_seed_eurovoc,1
31997D0486,31997D0486,1997.0,Decision,1990s,1990.0,L2_seed_eurovoc,1
31997D0487,31997D0487,1997.0,Decision,1990s,1990.0,L2_seed_eurovoc,1
32001D0079,32001D0079,2001.0,Decision,Early 2000s,2000.0,L2_seed_eurovoc,1
32002L0058R(01),32002L0058,2002.0,Directive,Early 2000s,2000.0,L2_seed_eurovoc,1
32003D0521,32003D0521,2003.0,Decision,Early 2000s,2000.0,L2_seed_eurovoc,1
32005L0044R(01),32005L0044,2005.0,Directive,Late 2000s,2000.0,L2_seed_eurovoc,1
32006D0267,32006D0267,2006.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32008D0981,32008D0981,2008.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32009D0341,32009D0341,2009.0,Decision,Late 2000s,2000.0,L2_seed_eurovoc,1
32010D0430,32010D0430,2010.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,1
32010R0913,32010R0913,2010.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,2
32012D0399,32012D0399,2012.0,Decision,Early 2010s,2010.0,L2_seed_eurovoc,1
32012R0555,32012R0555,2012.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,1
32013H0730(09),32013H073009,2013.0,Legislative_Act,Early 2010s,2010.0,L2_seed_eurovoc,1
32013H0730(23),32013H073023,2013.0,Legislative_Act,Early 2010s,2010.0,L2_seed_eurovoc,1
32013R0909,32013R0909,2013.0,Regulation,Early 2010s,2010.0,L2_seed_eurovoc,1
32014L0061R(02),32014L0061,2014.0,Directive,Early 2010s,2010.0,L2_seed_eurovoc,1
32015D0800,32015D0800,2015.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
32015R2120R(01),32015R2120,2015.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32017D1967,32017D1967,2017.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
32018R0761,32018R0761,2018.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32019D0327(03),32019D032703,2019.0,Decision,Late 2010s,2010.0,L2_seed_eurovoc,1
32019R0618,32019R0618,2019.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32019R1830,32019R1830,2019.0,Regulation,Late 2010s,2010.0,L2_seed_eurovoc,1
32020D0414R(01),32020D0414,2020.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32020R1228,32020R1228,2020.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32021D1210,32021D1210,2021.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
32022D2494,32022D2494,2022.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32022L0362R(02),32022L0362,2022.0,Directive,2020s,2020.0,L2_seed_eurovoc,1
32022R1032R(02),32022R1032,2022.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32022R2360,32022R2360,2022.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32022R2554R(02),32022R2554,2022.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32023D0178,32023D0178,2023.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32023D0599,32023D0599,2023.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32023D1053,32023D1053,2023.0,Decision,2020s,2020.0,L2_seed_eurovoc,2
32023D1534,32023D1534,2023.0,Decision,2020s,2020.0,L2_seed_eurovoc,1
32023R0435,32023R0435,2023.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32023R0449,32023R0449,2023.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
32023R1617,32023R1617,2023.0,Regulation,2020s,2020.0,L2_seed_eurovoc,1
