Id,Label,title,title_status
32019R0452,32019R0452,Regulation (EU) 2019/452 of the European Parliament and of the Council of 19 March 2019 establishing a framework for the screening of foreign direct investments into the Union,ok
12016E063,12016E063,,not_found
12016E065,12016E065,,not_found
32008L0114,32008L0114,,not_found
32021R0821R(02),32021R0821,"Regulation (EU) 2021/821 of the European Parliament and of the Council of 20 May 2021 setting up a Union regime for the control of exports, brokering, technical assistance, transit and transfer of dual-use items (recast)",ok
32022L2557R(01),32022L2557,Directive (EU) 2022/2557 of the European Parliament and of the Council of 14 December 2022 on the resilience of critical entities and repealing Council Directive 2008/114/EC (Text with EEA relevance),ok
32021R0821,32021R0821,"Regulation (EU) 2021/821 of the European Parliament and of the Council of 20 May 2021 setting up a Union regime for the control of exports, brokering, technical assistance, transit and transfer of dual-use items (recast)",ok
31985D0066,31985D0066,,not_found
31996R0902,31996R0902,,not_found
31997D0486,31997D0486,,not_found
31997D0487,31997D0487,,not_found
32001D0079,32001D0079,,not_found
32002L0058R(01),32002L0058,,not_found
32003D0521,32003D0521,,not_found
32005L0044R(01),32005L0044,,not_found
32006D0267,32006D0267,,not_found
32008D0981,32008D0981,,not_found
32009D0341,32009D0341,,not_found
32010D0430,32010D0430,,not_found
32010R0913,32010R0913,,not_found
32012D0399,32012D0399,,not_found
32012R0555,32012R0555,,not_found
32013H0730(09),32013H073009,,not_found
32013H0730(23),32013H073023,,not_found
32013R0909,32013R0909,,not_found
32014L0061R(02),32014L0061,,not_found
32015D0800,32015D0800,,not_found
32015R2120R(01),32015R2120,,not_found
32017D1967,32017D1967,,not_found
32018R0761,32018R0761,,not_found
32019D0327(03),32019D032703,,not_found
32019R0618,32019R0618,Commission Implementing Regulation (EU) 2019/618 of 15 April 2019 amending Regulation (EC) No 474/2006 as regards the list of air carriers which are banned from operating or are subject to operational restrictions within the Union (Text with EEA relevance.),ok
32019R1830,32019R1830,"Commission Delegated Regulation (EU) 2019/1830 of 30 October 2019 amending Directive 2009/81/EC of the European Parliament and of the Council in respect of the thresholds for supply, service and works contracts (Text with EEA relevance)",ok
32020D0414R(01),32020D0414,Commission Implementing Decision (EU) 2020/414 of 19 March 2020 amending Implementing Decision (EU) 2019/570 as regards medical stockpiling rescEU capacities (notified under document C(2020) 1827) (Text with EEA relevance),ok
32020R1228,32020R1228,Commission Implementing Regulation (EU) 2020/1228 of 29 November 2019 laying down implementing technical standards with regard to the format of applications for registration as a securitisation repository or for extension of a registration of a trade repository pursuant to Regulation (EU) 2017/2402 of the European Parliament and of the Council (Text with EEA relevance),ok
32021D1210,32021D1210,Council Decision (EU) 2021/1210 of 22 July 2021 on an assistance measure taking the form of a general programme for support to the African Union under the European Peace Facility in 2021,ok
32022D2494,32022D2494,Commission Decision (EU) 2022/2494 of 9 December 2022 on the approval of the request submitted by Lithuania for the revision of its performance targets for the third reference period (notified under document C(2022) 8985) (Only the Lithuanian text is authentic) (Text with EEA relevance),ok
32022L0362R(02),32022L0362,"Directive (EU) 2022/362 of the European Parliament and of the Council of 24 February 2022 amending Directives 1999/62/EC, 1999/37/EC and (EU) 2019/520, as regards the charging of vehicles for the use of certain infrastructures",ok
32022R1032R(02),32022R1032,Regulation (EU) 2022/1032 of the European Parliament and of the Council of 29 June 2022 amending Regulations (EU) 2017/1938 and (EC) No 715/2009 with regard to gas storage (Text with EEA relevance),ok
32022R2360,32022R2360,Commission Delegated Regulation (EU) 2022/2360 of 3 August 2022 amending the regulatory technical standards laid down in Delegated Regulation (EU) 2018/389 as regards the 90-day exemption for account access (Text with EEA relevance),ok
32022R2554R(02),32022R2554,"Regulation (EU) 2022/2554 of the European Parliament and of the Council of 14 December 2022 on digital operational resilience for the financial sector and amending Regulations (EC) No 1060/2009, (EU) No 648/2012, (EU) No 600/2014, (EU) No 909/2014 and (EU) 2016/1011 (Text with EEA relevance)",ok
32023D0178,32023D0178,Commission Decision (EU) 2023/178 of 14 December 2022 on the consistency of the performance targets contained in the revised draft performance plan submitted by Switzerland pursuant to Regulation (EC) No 549/2004 of the European Parliament and of the Council with the Union-wide performance targets for the third reference period (notified under document C(2022) 9236) (Only the English text is authentic) (Text with EEA relevance),ok
32023D0599,32023D0599,Council Decision (CFSP) 2023/599 of 16 March 2023 on an assistance measure under the European Peace Facility to strengthen the capacities of the Army of the Republic of North Macedonia,ok
32023D1053,32023D1053,Commission Implementing Decision (EU) 2023/1053 of 30 May 2023 laying down rules for the application of Regulation (EU) 2023/588 of the European Parliament and of the Council as regards operational requirements for governmental services provided under Union Secure Connectivity Programme and its service portfolio,ok
32023D1534,32023D1534,Commission Implementing Decision (EU) 2023/1534 of 24 July 2023 selecting the entities forming the initial network of European Digital Innovation Hubs in accordance with Regulation (EU) 2021/694 of the European Parliament and of the Council (Text with EEA relevance),ok
32023R0435,32023R0435,"Regulation (EU) 2023/435 of the European Parliament and of the Council of 27 February 2023 amending Regulation (EU) 2021/241 as regards REPowerEU chapters in recovery and resilience plans and amending Regulations (EU) No 1303/2013, (EU) 2021/1060 and (EU) 2021/1755, and Directive 2003/87/EC",ok
32023R0449,32023R0449,"Council Implementing Regulation (EU) 2023/449 of 2 March 2023 implementing Regulation (EU) No 208/2014 concerning restrictive measures directed against certain persons, entities and bodies in view of the situation in Ukraine",ok
32023R1617,32023R1617,Commission Implementing Regulation (EU) 2023/1617 of 8 August 2023 amending Commission Implementing Regulation (EU) 2021/2011 imposing a definitive anti-dumping duty on imports of optical fibre cables originating in the People’s Republic of China,ok
32023R1650,32023R1650,Commission Delegated Regulation (EU) 2023/1650 of 15 May 2023 correcting the Swedish language version of Delegated Regulation (EU) 2018/389 supplementing Directive (EU) 2015/2366 of the European Parliament and of the Council with regard to regulatory technical standards for strong customer authentication and common and secure open standards of communication (Text with EEA relevance),ok
32024D0828,32024D0828,"Council Decision (CFSP) 2024/828 of 4 March 2024 amending Decision 2014/119/CFSP concerning restrictive measures directed against certain persons, entities and bodies in view of the situation in Ukraine",ok
32024D2840,32024D2840,Council Decision (CFSP) 2024/2840 of 5 November 2024 on an assistance measure under the European Peace Facility to strengthen the capacities of the Navy of the Republic of the Congo in the framework of the Yaoundé Architecture,ok
32024L1226,32024L1226,Directive (EU) 2024/1226 of the European Parliament and of the Council of 24 April 2024 on the definition of criminal offences and penalties for the violation of Union restrictive measures and amending Directive (EU) 2018/1673,ok
32024L2839,32024L2839,"Directive (EU) 2024/2839 of the European Parliament and of the Council of 23 October 2024 amending Directives 1999/2/EC, 2000/14/EC, 2011/24/EU and 2014/53/EU as regards certain reporting requirements in the fields of food and food ingredients, outdoor noise, patients’ rights, and radio equipment (Text with EEA relevance)",ok
32025D0704,32025D0704,Commission Implementing Decision (EU) 2025/704 of 10 April 2025 laying down rules for the implementation of Decision No 1313/2013/EU of the European Parliament and of the Council on a Union Civil Protection Mechanism and repealing Commission Implementing Decisions 2014/762/EU and (EU) 2019/1310 (notified under document C(2025) 2130),ok
31983H0419,31983H0419,,not_found
31990Y0707(02),31990Y070702,,not_found
31994D0244,31994D0244,,not_found
32000D0354R(02),32000D0354,,not_found
32001D0432,32001D0432,,not_found
32005E0329,32005E0329,,not_found
32006R0474R(01),32006R0474,,not_found
32007D0193,32007D0193,,not_found
32010D0212,32010D0212,,not_found
32014R1299R(02),32014R1299,,not_found
32015D1835,32015D1835,,not_found
32015L2366,32015L2366,,not_found
32015R0020,32015R0020,,not_found
32016R1710,32016R1710,,not_found
32017L2455R(04),32017L2455,,not_found
32017R0393,32017R0393,,not_found
32017R1800,32017R1800,,not_found
32018D1723,32018D1723,Commission Implementing Decision (EU) 2018/1723 of 26 October 2018 on the Rail Baltica cross-border project on the North Sea-Baltic Core Network Corridor (notified under document C(2018) 6969),ok
32019D0784,32019D0784,"Commission Implementing Decision (EU) 2019/784 of 14 May 2019 on harmonisation of the 24,25-27,5 GHz frequency band for terrestrial systems capable of providing wireless broadband electronic communications services in the Union (notified under document C(2019) 3450) (Text with EEA relevance.)",ok
32019D1274,32019D1274,Commission Implementing Decision (EU) 2019/1274 of 29 July 2019 on the equivalence of the legal and supervisory framework applicable to benchmarks in Australia in accordance with Regulation (EU) 2016/1011 of the European Parliament and of the Council (Text with EEA relevance.),ok
32019D1278,32019D1278,Commission Implementing Decision (EU) 2019/1278 of 29 July 2019 repealing Implementing Decision 2014/248/EU on the recognition of the legal and supervisory framework of Singapore as equivalent to the requirements of Regulation (EC) No 1060/2009 of the European Parliament and of the Council on credit rating agencies (Text with EEA relevance.),ok
32019D1577,32019D1577,"Council Decision (EU) 2019/1577 of 16 September 2019 on the position to be adopted, on behalf of the European Union, within the EEA Joint Committee concerning the amendment of Protocol 31 to the EEA Agreement, on cooperation in specific fields outside the four freedoms (Text with EEA relevance.)",ok
32019D1909,32019D1909,Council Decision (CFSP) 2019/1909 of 12 November 2019 amending and updating Decision (CFSP) 2018/340 establishing the list of projects to be developed under PESCO,ok
32019R0503,32019R0503,Regulation (EU) 2019/503 of the European Parliament and of the Council of 25 March 2019 on certain aspects of railway safety and connectivity with regard to the withdrawal of the United Kingdom from the Union (Text with EEA relevance.),ok
32019R2175R(02),32019R2175,"Regulation (EU) 2019/2175 of the European Parliament and of the Council of 18 December 2019 amending Regulation (EU) No 1093/2010 establishing a European Supervisory Authority (European Banking Authority), Regulation (EU) No 1094/2010 establishing a European Supervisory Authority (European Insurance and Occupational Pensions Authority), Regulation (EU) No 1095/2010 establishing a European Supervisory Authority (European Securities and Markets Authority), Regulation (EU) No 600/2014 on markets in financial instruments, Regulation (EU) 2016/1011 on indices used as benchmarks in financial instruments and financial contracts or to measure the performance of investment funds, and Regulation (EU) 2015/847 on information accompanying transfers of funds (Text with EEA relevance) (Text with EEA relevance)",ok
32020D0373R(01),32020D0373,"Council Decision (CFSP) 2020/373 of 5 March 2020 amending Decision 2014/119/CFSP concerning restrictive measures directed against certain persons, entities and bodies in view of the situation in Ukraine",ok
32020D2228,32020D2228,Decision (EU) 2020/2228 of the European Parliament and of the Council of 23 December 2020 on a European Year of Rail (2021),ok
