domain,lambda,edge_weighting,n_acts,n_edges,n_rows_with_outgoing_edges,mean_H_local,mean_H_global,mean_H_delta,canonical_setting
appalti_it,0.25,unweighted,31,88,20,0.45127298065962196,0.49603064594454166,0.04475766528491964,False
appalti_it,0.25,stored_weights,31,88,20,0.45127298065962196,0.49481893812069827,0.043545957461076354,False
appalti_it,0.5,unweighted,31,88,20,0.45127298065962196,0.5212794691331355,0.0700064884735136,False
appalti_it,0.5,stored_weights,31,88,20,0.45127298065962196,0.5194961316612108,0.06822315100158885,True
appalti_it,0.75,unweighted,31,88,20,0.45127298065962196,0.5346114777599665,0.08333849710034451,False
appalti_it,0.75,stored_weights,31,88,20,0.45127298065962196,0.5326267807016294,0.08135380004200733,False
fdi_screening,0.25,unweighted,19,22,14,0.3482109554163274,0.4751354277187775,0.12692447230245016,False
fdi_screening,0.25,stored_weights,19,22,14,0.3482109554163274,0.4751354277187775,0.12692447230245016,False
fdi_screening,0.5,unweighted,19,22,14,0.3482109554163274,0.5315168246912083,0.183305869274881,False
fdi_screening,0.5,stored_weights,19,22,14,0.3482109554163274,0.5315168246912083,0.183305869274881,True
fdi_screening,0.75,unweighted,19,22,14,0.3482109554163274,0.563999908050253,0.21578895263392575,False
fdi_screening,0.75,stored_weights,19,22,14,0.3482109554163274,0.563999908050253,0.21578895263392575,False
