Source,Target,Type,Id,Label,Weight,start_year,end_year
32001D0718,32001D0098,Directed,68490,,1,2001,2001
31999D0329,31992R3932,Directed,68491,,1,1999,1992
31999D0329,31985D0615,Directed,68492,,1,1999,1985
31999D0329,31980D0917,Directed,68493,,1,1999,1980
32000D0198,31994L0458,Directed,68494,,1,2000,1994
32003D0668,31998L0030,Directed,68495,,1,2003,1998
32003D0668,32001D0519,Directed,68496,,1,2003,2001
32012D0243,32002L0020,Directed,68497,,1,2012,2002
32012D0243,32009H0848,Directed,68498,,1,2012,2009
32012D0243,32002L0019,Directed,68499,,1,2012,2002
32012D0243,32008R0683,Directed,68500,,1,2012,2008
32012D0243,32010R0911,Directed,68501,,1,2012,2010
32012D0243,32002L0021,Directed,68502,,1,2012,2002
32012D0243,32008D0411,Directed,68503,,1,2012,2008
32012D0243,31999H0519,Directed,68504,,1,2012,1999
32012D0243,32008D0477,Directed,68505,,1,2012,2008
32012D0243,32007D0344,Directed,68506,,1,2012,2007
32012D0243,32002D0622,Directed,68507,,1,2012,2002
32012D0243,32010D0267,Directed,68508,,1,2012,2010
32012D0243,31999L0005,Directed,68509,,1,2012,1999
32012D0243,32009D0766,Directed,68510,,1,2012,2009
32019R0817,32018R1862,Directed,68511,,1,2019,2018
32019R0817,32018R1046,Directed,68512,,1,2019,2018
32019R0817,31999D0437,Directed,68513,,1,2019,1999
32019R0817,12016E/TXT,Directed,68514,,1,2019,2016
32019R0817,32016R0679,Directed,68515,,1,2019,2016
32019R0817,12016M/TXT,Directed,68516,,1,2019,2016
32019R0817,32014R0515,Directed,68517,,1,2019,2014
32019R0817,12016M/PRO/22,Directed,68518,,1,2019,2016
32019R0817,32016L0680,Directed,68519,,1,2019,2016
32019R0817,12016E290,Directed,68520,,1,2019,2016
32019R0817,32016Q0512(01),Directed,68521,,1,2019,2016
32019R0817,12016P/TXT,Directed,68522,,1,2019,2016
32019R0817,32008D0146,Directed,68523,,1,2019,2008
