Source,Target,Type,start_year,end_year
32001D0718,32001D0098,CITES,2001.0,2001.0
31999D0329,61978CJ0209,CITES,1999.0,1978.0
31999D0329,61993TJ0024,CITES,1999.0,1993.0
31999D0329,61989TJ0068,CITES,1999.0,1989.0
31999D0329,61976CJ0085,CITES,1999.0,1976.0
31999D0329,31992R3932,CITES,1999.0,1992.0
31999D0329,61978CO0209,CITES,1999.0,1978.0
31999D0329,61986CO0062,CITES,1999.0,1986.0
31999D0329,31985D0615,CITES,1999.0,1985.0
31999D0329,31980D0917,CITES,1999.0,1980.0
31999D0329,61992CJ0250,CITES,1999.0,1992.0
32000D0198,31994L0458,CITES,2000.0,1994.0
32003D0668,31998L0030,CITES,2003.0,1998.0
32003D0668,32001D0519,CITES,2003.0,2001.0
32012D0243,32002L0020,CITES,2012.0,2002.0
32012D0243,32009H0848,CITES,2012.0,2009.0
32012D0243,32002L0019,CITES,2012.0,2002.0
32012D0243,32008R0683,CITES,2012.0,2008.0
32012D0243,32010R0911,CITES,2012.0,2010.0
32012D0243,32002L0021,CITES,2012.0,2002.0
32012D0243,32008D0411,CITES,2012.0,2008.0
32012D0243,31999H0519,CITES,2012.0,1999.0
32012D0243,32008D0477,CITES,2012.0,2008.0
32012D0243,32007D0344,CITES,2012.0,2007.0
32012D0243,32002D0622,CITES,2012.0,2002.0
32012D0243,32010D0267,CITES,2012.0,2010.0
32012D0243,31999L0005,CITES,2012.0,1999.0
32012D0243,32009D0766,CITES,2012.0,2009.0
32019R0817,32018R1862,CITES,2019.0,2018.0
32019R0817,32018R1046,CITES,2019.0,2018.0
32019R0817,31999D0437,CITES,2019.0,1999.0
32019R0817,12016E/TXT,CITES,2019.0,2016.0
32019R0817,32016R0679,CITES,2019.0,2016.0
32019R0817,12016M/TXT,CITES,2019.0,2016.0
32019R0817,32014R0515,CITES,2019.0,2014.0
32019R0817,12016M/PRO/22,CITES,2019.0,2016.0
32019R0817,32016L0680,CITES,2019.0,2016.0
32019R0817,12016E290,CITES,2019.0,2016.0
32019R0817,32016Q0512(01),CITES,2019.0,2016.0
32019R0817,12016P/TXT,CITES,2019.0,2016.0
32019R0817,32008D0146,CITES,2019.0,2008.0
32019R0817,32019R0818,CITES,2019.0,2019.0
32019R0817,12016P007,CITES,2019.0,2016.0
32019R0817,12016P008,CITES,2019.0,2016.0
32019R0817,32002F0584,CITES,2019.0,2002.0
32019R0817,12016E/PRO/22,CITES,2019.0,2016.0
32019R0817,32001R0045,CITES,2019.0,2001.0
32019R0817,12016M005,CITES,2019.0,2016.0
32009R0767,32008L0038,CITES,2009.0,2008.0
32009R0767,31999D0468,CITES,2009.0,1999.0
32009R0767,32002R1774,CITES,2009.0,2002.0
32009R0767,31997L0007,CITES,2009.0,1997.0
32009R0767,32003R1830,CITES,2009.0,2003.0
32009R0767,31990L0167,CITES,2009.0,1990.0
32014D0585,32002L0058,CITES,2014.0,2002.0
32014D0585,31995L0046,CITES,2014.0,1995.0
32014D0585,32010L0040,CITES,2014.0,2010.0
32008D0411,32002L0020,CITES,2008.0,2002.0
32008D0411,32002L0021,CITES,2008.0,2002.0
32008D0411,31999L0005,CITES,2008.0,1999.0
32012D0462,32008D0232,CITES,2012.0,2008.0
32012D0462,31996L0048,CITES,2012.0,1996.0
32012D0462,32011D0665,CITES,2012.0,2011.0
32012D0462,32001L0016,CITES,2012.0,2001.0
32012D0462,32004R0881,CITES,2012.0,2004.0
32012D0462,32008D0284,CITES,2012.0,2008.0
32012D0462,32008D0217,CITES,2012.0,2008.0
32012D0462,32006D0679,CITES,2012.0,2006.0
32012D0462,32011D0633,CITES,2012.0,2011.0
32012D0462,32011D0229,CITES,2012.0,2011.0
32009R1107,31999D0468,CITES,2009.0,1999.0
32009R1107,32004R0882,CITES,2009.0,2004.0
32009R1107,32000L0060,CITES,2009.0,2000.0
32009R1107,31986L0609,CITES,2009.0,1986.0
32009R1107,31999L0045,CITES,2009.0,1999.0
32009R1107,32009L0128,CITES,2009.0,2009.0
