Id,Label,Year,Type,Era,Seed_Concepts
32019R0452,32019R0452,2019.0,Regulation,Late 2010s,5
12016E063,12016E063,2016.0,Treaty,Late 2010s,0
12016E065,12016E065,2016.0,Treaty,Late 2010s,0
32008L0114,32008L0114,2008.0,Directive,Late 2000s,0
32021R0821R(02),32021R0821,2021.0,Regulation,2020s,0
32022L2557R(01),32022L2557,2022.0,Directive,2020s,1
32021R0821,32021R0821,2021.0,Regulation,2020s,0
31973Y0919(11),31973Y091911,1973.0,Legislative_Act,Pre-Single European Act,1
31985D0066,31985D0066,1985.0,Decision,Pre-Single European Act,1
31990Y0818(01),31990Y081801,1990.0,Legislative_Act,Pre-Maastricht,1
31996R0902,31996R0902,1996.0,Regulation,1990s,1
31997D0486,31997D0486,1997.0,Decision,1990s,1
31997D0487,31997D0487,1997.0,Decision,1990s,1
31998Y1215(01),31998Y121501,1998.0,Legislative_Act,1990s,1
32000R1896,32000R1896,2000.0,Regulation,Early 2000s,1
32001D0079,32001D0079,2001.0,Decision,Early 2000s,1
32002L0058R(01),32002L0058,2002.0,Directive,Early 2000s,1
32003D0521,32003D0521,2003.0,Decision,Early 2000s,1
32003R1139R(01),32003R1139,2003.0,Regulation,Early 2000s,1
32004D0733,32004D0733,2004.0,Decision,Early 2000s,1
32004R0785R(01),32004R0785,2004.0,Regulation,Early 2000s,2
32005L0044R(01),32005L0044,2005.0,Directive,Late 2000s,1
32005R2073R(10),32005R2073,2005.0,Regulation,Late 2000s,1
32006D0267,32006D0267,2006.0,Decision,Late 2000s,2
32006L0007R(01),32006L0007,2006.0,Directive,Late 2000s,1
32006R0907R(02),32006R0907,2006.0,Regulation,Late 2000s,1
32007D0725,32007D0725,2007.0,Decision,Late 2000s,2
32008D0712,32008D0712,2008.0,Decision,Late 2000s,2
32008D0981,32008D0981,2008.0,Decision,Late 2000s,1
32008L0098R(09),32008L0098,2008.0,Directive,Late 2000s,1
32008R1234,32008R1234,2008.0,Regulation,Late 2000s,1
32008R1334R(06),32008R1334,2008.0,Regulation,Late 2000s,1
32009D0341,32009D0341,2009.0,Decision,Late 2000s,1
32009R0767,32009R0767,2009.0,Regulation,Late 2000s,1
32010D0430,32010D0430,2010.0,Decision,Early 2010s,1
32010R0600,32010R0600,2010.0,Regulation,Early 2010s,1
32010R0913,32010R0913,2010.0,Regulation,Early 2010s,2
32011H0723(01),32011H072301,2011.0,Legislative_Act,Early 2010s,1
32011R0269R(01),32011R0269,2011.0,Regulation,Early 2010s,1
32011R0328,32011R0328,2011.0,Regulation,Early 2010s,1
32012D0399,32012D0399,2012.0,Decision,Early 2010s,1
32012L0010,32012L0010,2012.0,Directive,Early 2010s,1
32012R0555,32012R0555,2012.0,Regulation,Early 2010s,1
32013H0730(09),32013H073009,2013.0,Legislative_Act,Early 2010s,1
32013H0730(23),32013H073023,2013.0,Legislative_Act,Early 2010s,1
32013H0730(24),32013H073024,2013.0,Legislative_Act,Early 2010s,1
32013R0909,32013R0909,2013.0,Regulation,Early 2010s,1
32014D0169,32014D0169,2014.0,Decision,Early 2010s,1
32014L0061R(02),32014L0061,2014.0,Directive,Early 2010s,1
32015D0800,32015D0800,2015.0,Decision,Late 2010s,1
32015D1057,32015D1057,2015.0,Decision,Late 2010s,1
32015R2120R(01),32015R2120,2015.0,Regulation,Late 2010s,1
32016A0817(03),32016A081703,2016.0,Legislative_Act,Late 2010s,1
32017D0758,32017D0758,2017.0,Decision,Late 2010s,1
32017D1102,32017D1102,2017.0,Decision,Late 2010s,1
32017D1967,32017D1967,2017.0,Decision,Late 2010s,1
32017D1968,32017D1968,2017.0,Decision,Late 2010s,2
32017R0492,32017R0492,2017.0,Regulation,Late 2010s,2
32017R0776,32017R0776,2017.0,Regulation,Late 2010s,1
32017R2015,32017R2015,2017.0,Regulation,Late 2010s,2
32018R0634,32018R0634,2018.0,Regulation,Late 2010s,1
32018R0678,32018R0678,2018.0,Regulation,Late 2010s,1
32018R0688,32018R0688,2018.0,Regulation,Late 2010s,1
32018R0761,32018R0761,2018.0,Regulation,Late 2010s,1
32019D0327(03),32019D032703,2019.0,Decision,Late 2010s,1
32019L0713,32019L0713,2019.0,Directive,Late 2010s,1
32019R0618,32019R0618,2019.0,Regulation,Late 2010s,1
32019R0801,32019R0801,2019.0,Regulation,Late 2010s,1
32019R0876R(13),32019R0876,2019.0,Regulation,Late 2010s,2
32019R0933,32019R0933,2019.0,Regulation,Late 2010s,1
32019R1830,32019R1830,2019.0,Regulation,Late 2010s,1
32019R2155R(02),32019R2155,2019.0,Regulation,Late 2010s,2
32020D0414R(01),32020D0414,2020.0,Decision,2020s,1
32020R0558,32020R0558,2020.0,Regulation,2020s,1
32020R0784R(02),32020R0784,2020.0,Regulation,2020s,1
32020R1182R(01),32020R1182,2020.0,Regulation,2020s,1
32020R1228,32020R1228,2020.0,Regulation,2020s,2
32021D1210,32021D1210,2021.0,Decision,2020s,2
32021R0943,32021R0943,2021.0,Regulation,2020s,1
32021R1971,32021R1971,2021.0,Regulation,2020s,1
32022D1971,32022D1971,2022.0,Decision,2020s,1
32022D1981,32022D1981,2022.0,Decision,2020s,2
32022D1982,32022D1982,2022.0,Decision,2020s,2
32022D2331,32022D2331,2022.0,Decision,2020s,1
32022D2494,32022D2494,2022.0,Decision,2020s,1
32022L0362R(02),32022L0362,2022.0,Directive,2020s,1
32022R0692,32022R0692,2022.0,Regulation,2020s,1
32022R1032R(02),32022R1032,2022.0,Regulation,2020s,1
32022R1622R(01),32022R1622,2022.0,Regulation,2020s,2
32022R2360,32022R2360,2022.0,Regulation,2020s,2
32022R2554R(02),32022R2554,2022.0,Regulation,2020s,1
32023D0160,32023D0160,2023.0,Decision,2020s,1
32023D0178,32023D0178,2023.0,Decision,2020s,1
32023D0599,32023D0599,2023.0,Decision,2020s,3
32023D0672,32023D0672,2023.0,Decision,2020s,2
32023D0673,32023D0673,2023.0,Decision,2020s,2
32023D1053,32023D1053,2023.0,Decision,2020s,2
32023D1534,32023D1534,2023.0,Decision,2020s,1
32023R0435,32023R0435,2023.0,Regulation,2020s,1
32023R0449,32023R0449,2023.0,Regulation,2020s,1
32023R0662,32023R0662,2023.0,Regulation,2020s,1
32023R0707,32023R0707,2023.0,Regulation,2020s,1
32023R1182,32023R1182,2023.0,Regulation,2020s,1
32023R1617,32023R1617,2023.0,Regulation,2020s,1
32023R1650,32023R1650,2023.0,Regulation,2020s,2
32024D0828,32024D0828,2024.0,Decision,2020s,1
32024D0902,32024D0902,2024.0,Decision,2020s,1
32024D1511,32024D1511,2024.0,Decision,2020s,1
32024D2840,32024D2840,2024.0,Decision,2020s,2
32024L1226,32024L1226,2024.0,Directive,2020s,1
32024L2839,32024L2839,2024.0,Directive,2020s,1
32024R0370,32024R0370,2024.0,Regulation,2020s,1
32024R0895,32024R0895,2024.0,Regulation,2020s,1
32025D01598,32025D01598,2025.0,Decision,2020s,1
32025D0373,32025D0373,2025.0,Decision,2020s,1
32025D0704,32025D0704,2025.0,Decision,2020s,1
31983H0419,31983H0419,1983.0,Legislative_Act,Pre-Single European Act,1
31990Y0707(02),31990Y070702,1990.0,Legislative_Act,Pre-Maastricht,1
31994D0244,31994D0244,1994.0,Decision,1990s,1
32000D0354R(02),32000D0354,2000.0,Decision,Early 2000s,1
32001D0432,32001D0432,2001.0,Decision,Early 2000s,1
32002D0180,32002D0180,2002.0,Decision,Early 2000s,1
32004R0785R(07),32004R0785,2004.0,Regulation,Early 2000s,2
32005E0329,32005E0329,2005.0,Legislative_Act,Late 2000s,1
32005R1209,32005R1209,2005.0,Regulation,Late 2000s,1
32006R0474R(01),32006R0474,2006.0,Regulation,Late 2000s,1
32007D0193,32007D0193,2007.0,Decision,Late 2000s,2
32007R0333,32007R0333,2007.0,Regulation,Late 2000s,1
32007R0333R(01),32007R0333,2007.0,Regulation,Late 2000s,1
32008D0172,32008D0172,2008.0,Decision,Late 2000s,1
32008D0918R(01),32008D0918,2008.0,Decision,Late 2000s,1
32008R1331R(01),32008R1331,2008.0,Regulation,Late 2000s,1
32009R1024R(02),32009R1024,2009.0,Regulation,Late 2000s,1
32010D0212,32010D0212,2010.0,Decision,Early 2010s,2
32010D0753,32010D0753,2010.0,Decision,Early 2010s,2
32010L0084R(05),32010L0084,2010.0,Directive,Early 2010s,1
32010R1162,32010R1162,2010.0,Regulation,Early 2010s,1
32011D0101R(01),32011D0101,2011.0,Decision,Early 2010s,1
32012L0023,32012L0023,2012.0,Directive,Early 2010s,2
32013R0210R(01),32013R0210,2013.0,Regulation,Early 2010s,1
32014R0185,32014R0185,2014.0,Regulation,Early 2010s,1
32014R1125,32014R1125,2014.0,Regulation,Early 2010s,2
32014R1299R(02),32014R1299,2014.0,Regulation,Early 2010s,1
32015A1031(01),32015A103101,2015.0,Legislative_Act,Late 2010s,1
32015D0248,32015D0248,2015.0,Decision,Late 2010s,1
32015D0664,32015D0664,2015.0,Decision,Late 2010s,2
32015D1835,32015D1835,2015.0,Decision,Late 2010s,1
32015L2366,32015L2366,2015.0,Directive,Late 2010s,2
32015R0020,32015R0020,2015.0,Regulation,Late 2010s,1
32015R1378,32015R1378,2015.0,Regulation,Late 2010s,1
32016D0929(01),32016D092901,2016.0,Decision,Late 2010s,1
32016R1710,32016R1710,2016.0,Regulation,Late 2010s,1
