source,target,type
32010L0065,http://eurovoc.europa.eu/1447,HAS_CONCEPT
32010L0065,http://eurovoc.europa.eu/5070,HAS_CONCEPT
32010L0065,http://eurovoc.europa.eu/3648,HAS_CONCEPT
32010L0065,http://eurovoc.europa.eu/4827,HAS_CONCEPT
32010L0065,http://eurovoc.europa.eu/3181,HAS_CONCEPT
32004D0927,http://eurovoc.europa.eu/1302,HAS_CONCEPT
32004D0927,http://eurovoc.europa.eu/525,HAS_CONCEPT
32004D0927,http://eurovoc.europa.eu/114,HAS_CONCEPT
32004D0927,http://eurovoc.europa.eu/4005,HAS_CONCEPT
32004D0927,http://eurovoc.europa.eu/5597,HAS_CONCEPT
32004D0927,http://eurovoc.europa.eu/5815,HAS_CONCEPT
32004D0927,http://eurovoc.europa.eu/2243,HAS_CONCEPT
32013D0634,http://eurovoc.europa.eu/435007,HAS_CONCEPT
32013D0634,http://eurovoc.europa.eu/434786,HAS_CONCEPT
32013D0634,http://eurovoc.europa.eu/6400,HAS_CONCEPT
32013D0634,http://eurovoc.europa.eu/5650,HAS_CONCEPT
32013R0294R(06),http://eurovoc.europa.eu/764,HAS_CONCEPT
32013R0294R(06),http://eurovoc.europa.eu/1445,HAS_CONCEPT
32013R0294R(06),http://eurovoc.europa.eu/2737,HAS_CONCEPT
32013R0294R(06),http://eurovoc.europa.eu/1755,HAS_CONCEPT
32013R0294R(06),http://eurovoc.europa.eu/3191,HAS_CONCEPT
32013R0294R(06),http://eurovoc.europa.eu/1277,HAS_CONCEPT
32013R0294R(06),http://eurovoc.europa.eu/4224,HAS_CONCEPT
32013R0294R(06),http://eurovoc.europa.eu/8412,HAS_CONCEPT
32021R2227R(01),http://eurovoc.europa.eu/2932,HAS_CONCEPT
32021R2227R(01),http://eurovoc.europa.eu/3160,HAS_CONCEPT
32021R2227R(01),http://eurovoc.europa.eu/5234,HAS_CONCEPT
32021R2227R(01),http://eurovoc.europa.eu/1074,HAS_CONCEPT
32021R2227R(01),http://eurovoc.europa.eu/5683,HAS_CONCEPT
32021R2227R(01),http://eurovoc.europa.eu/2352,HAS_CONCEPT
32021R2227R(01),http://eurovoc.europa.eu/1238,HAS_CONCEPT
32021R2227R(01),http://eurovoc.europa.eu/5887,HAS_CONCEPT
32021R2227R(01),http://eurovoc.europa.eu/4408,HAS_CONCEPT
32021R2227R(01),http://eurovoc.europa.eu/2868,HAS_CONCEPT
32005R1300,http://eurovoc.europa.eu/5254,HAS_CONCEPT
32005R1300,http://eurovoc.europa.eu/544,HAS_CONCEPT
32005R1300,http://eurovoc.europa.eu/5228,HAS_CONCEPT
32005R1300,http://eurovoc.europa.eu/5283,HAS_CONCEPT
32005R1300,http://eurovoc.europa.eu/1092,HAS_CONCEPT
32005R1300,http://eurovoc.europa.eu/5229,HAS_CONCEPT
32005R1300,http://eurovoc.europa.eu/4790,HAS_CONCEPT
32023D1662,http://eurovoc.europa.eu/c_104476d7,HAS_CONCEPT
32023D1662,http://eurovoc.europa.eu/668,HAS_CONCEPT
32023D1662,http://eurovoc.europa.eu/5946,HAS_CONCEPT
32023D1662,http://eurovoc.europa.eu/8442,HAS_CONCEPT
