celex,title,year,domains,subdomains,legal_type,url
11951K002,11951K002,1951,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11951K002
11951K006,11951K006,1951,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11951K006
11951K015,11951K015,1951,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11951K015
11951K078DECIMO,11951K078DECIMO,1951,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11951K078DECIMO
11951K078QUINTO,11951K078QUINTO,1951,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11951K078QUINTO
11952K065,11952K065,1952,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11952K065
11957A/PRO/PRI/04,11957A/PRO/PRI/04,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957A/PRO/PRI/04
11957A008,11957A008,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957A008
11957A022,11957A022,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957A022
11957A050,11957A050,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957A050
11957A086,11957A086,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957A086
11957A107D,11957A107D,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957A107D
11957A126,11957A126,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957A126
11957A131,11957A131,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957A131
11957A179BIS,11957A179BIS,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957A179BIS
11957E/CNV/PTOM/04,11957E/CNV/PTOM/04,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957E/CNV/PTOM/04
11957E/PRO/BEI/07,11957E/PRO/BEI/07,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957E/PRO/BEI/07
11957E006,11957E006,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957E006
11957E045,11957E045,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957E045
11957E053,11957E053,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957E053
11957E059,11957E059,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957E059
11957E061,11957E061,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957E061
11957E098,11957E098,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957E098
11957E111,11957E111,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957E111
11957E125,11957E125,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957E125
11957E169,11957E169,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957E169
11957E179,11957E179,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957E179
11957E194,11957E194,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957E194
11957E233,11957E233,1957,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957E233
11965F/PRO/PRI/01,11965F/PRO/PRI/01,1965,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11965F/PRO/PRI/01
11972B/PRO/03,11972B/PRO/03,1972,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11972B/PRO/03
11972B/PRO/24,11972B/PRO/24,1972,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11972B/PRO/24
11972B129,11972B129,1972,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11972B129
11975R015,11975R015,1975,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11975R015
11979H072,11979H072,1979,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11979H072
11979HN01/13,11979HN01/13,1979,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11979HN01/13
11985I,11985I,,UNKNOWN,SETTORE TRASVERSALE,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11985I
11985I085,11985I085,1985,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11985I085
11985I165,11985I165,1985,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11985I165
11985I208,11985I208,1985,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11985I208
11985I224,11985I224,1985,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11985I224
11985I354,11985I354,1985,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11985I354
