celex,title,year,domains,subdomains,legal_type,url,global_cluster,macro_area,sub_community_name,macro_area_clean,sub_name_clean,is_seed,node_size,display_label,x,y,color,all_domains,primary_domain,is_multi,matches_theme
12016E003,12016E003,2016,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:12016E003,117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,False,10,,-60.00128545059875,21.631189690693315,#EA4335,['UNKNOWN'],UNKNOWN,False,True
32015D0443,32015D0443,2015,EDUCATION AND COMMUNICATIONS;INTERNATIONAL RELATIONS;EMPLOYMENT AND WORKING CONDITIONS;EUROPEAN UNION,INTERNATIONAL SECURITY;ORGANISATION OF WORK AND WORKING CONDITIONS;INFORMATION AND INFORMATION PROCESSING;INFORMATION TECHNOLOGY AND DATA PROCESSING;EU INSTITUTIONS AND EUROPEAN CIVIL SERVICE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32015D0443,117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,False,10,,-60.144913909059206,22.997724826114442,#EA4335,"['EDUCATION AND COMMUNICATIONS', 'INTERNATIONAL RELATIONS', 'EMPLOYMENT AND WORKING CONDITIONS', 'EUROPEAN UNION']",EDUCATION AND COMMUNICATIONS,True,True
32019R0452,32019R0452,2019,POLITICS;INTERNATIONAL RELATIONS;FINANCE;LAW;GEOGRAPHY;EUROPEAN UNION,BUDGET;ECONOMIC GEOGRAPHY;FINANCING AND INVESTMENT;POLITICS AND PUBLIC SAFETY;CRIMINAL LAW;EU INSTITUTIONS AND EUROPEAN CIVIL SERVICE;COOPERATION POLICY;FREE MOVEMENT OF CAPITAL,Regulation,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32019R0452,117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,True,30,REG. GOLDEN POWER,0.0,0.0,#EA4335,"['POLITICS', 'INTERNATIONAL RELATIONS', 'FINANCE', 'LAW', 'GEOGRAPHY', 'EUROPEAN UNION']",POLITICS,True,True
32025R1106,COUNCIL REGULATION establishing the Security Action for Europe (SAFE) through the Reinforcement of the European Defence Industry Instrument,2025,INTERNATIONAL RELATIONS;FINANCE;EUROPEAN UNION,INTERNATIONAL SECURITY;DEFENCE;FINANCING AND INVESTMENT;EUROPEAN CONSTRUCTION;EU FINANCE,Regulation,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32025R1106,117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,False,10,,-60.569522870223764,24.30453569428885,#EA4335,"['INTERNATIONAL RELATIONS', 'FINANCE', 'EUROPEAN UNION']",INTERNATIONAL RELATIONS,True,True
52017PC0487,52017PC0487,2017,UNKNOWN,SETTORE TRASVERSALE,Other/Secondary,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:52017PC0487,117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,False,10,,-61.25655379877761,25.49450853206656,#EA4335,['UNKNOWN'],UNKNOWN,False,True
12016E346,12016E346,2016,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:12016E346,117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,False,10,,-62.17598129440836,26.515636190074254,#EA4335,['UNKNOWN'],UNKNOWN,False,True
32023R1525,32023R1525,2023,"PRODUCTION, TECHNOLOGY AND RESEARCH;ECONOMICS;TRADE;INTERNATIONAL RELATIONS;EUROPEAN UNION",ECONOMIC POLICY;DEFENCE;PRODUCTION;TRADE;EUROPEAN CONSTRUCTION;EU FINANCE,Regulation,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32023R1525,117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,False,10,,-63.28762098824591,27.32328976294038,#EA4335,"['PRODUCTION, TECHNOLOGY AND RESEARCH', 'ECONOMICS', 'TRADE', 'INTERNATIONAL RELATIONS', 'EUROPEAN UNION']","PRODUCTION, TECHNOLOGY AND RESEARCH",True,True
32024R1679,32024R1679,2024,ENVIRONMENT;TRANSPORT;EUROPEAN UNION,ORGANISATION OF TRANSPORT;TRANSPORT POLICY;ENVIRONMENTAL POLICY;EUROPEAN CONSTRUCTION,Regulation,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32024R1679,117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,False,10,,-64.54288933642478,27.88217112961453,#EA4335,"['ENVIRONMENT', 'TRANSPORT', 'EUROPEAN UNION']",ENVIRONMENT,True,True
12016E065,12016E065,2016,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:12016E065,117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,False,10,,-65.88692525454775,28.167854731542953,#EA4335,['UNKNOWN'],UNKNOWN,False,True
32023R1781,32023R1781,2023,"PRODUCTION, TECHNOLOGY AND RESEARCH;TRADE;GEOGRAPHY;INDUSTRY;EUROPEAN UNION",ELECTRONICS AND ELECTRICAL ENGINEERING;ECONOMIC GEOGRAPHY;PRODUCTION;INDUSTRIAL STRUCTURES AND POLICY;TRADE;EU INSTITUTIONS AND EUROPEAN CIVIL SERVICE;TECHNOLOGY AND TECHNICAL REGULATIONS;EUROPEAN CONSTRUCTION,Regulation,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32023R1781,117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,False,10,,-67.26098760135757,28.167854731542953,#EA4335,"['PRODUCTION, TECHNOLOGY AND RESEARCH', 'TRADE', 'GEOGRAPHY', 'INDUSTRY', 'EUROPEAN UNION']","PRODUCTION, TECHNOLOGY AND RESEARCH",True,True
