:ID,celex_id,celex_clean,work_title,year_final,legal_type_normalized,era,decade,eurovoc_concepts:STRING[],domains:STRING[],subdomains:STRING[],url,sector,sector_label,resource_legal_type,legal_type_class,n_eurovoc_concepts
11951K002,11951K002,11951K002,,1951.0,Treaty,Pre-Treaty of Rome,1950.0,,,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11951K002,1,Treaty,,Treaty,0
11951K006,11951K006,11951K006,,1951.0,Treaty,Pre-Treaty of Rome,1950.0,,,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11951K006,1,Treaty,,Treaty,0
11951K015,11951K015,11951K015,,1951.0,Treaty,Pre-Treaty of Rome,1950.0,,,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11951K015,1,Treaty,,Treaty,0
11951K078DECIMO,11951K078DECIMO,11951K078DECIMO,,1951.0,Treaty,Pre-Treaty of Rome,1950.0,,,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11951K078DECIMO,1,Treaty,,Treaty,0
11951K078QUINTO,11951K078QUINTO,11951K078QUINTO,,1951.0,Treaty,Pre-Treaty of Rome,1950.0,,,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11951K078QUINTO,1,Treaty,,Treaty,0
11952K065,11952K065,11952K065,,1952.0,Treaty,Pre-Treaty of Rome,1950.0,,,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11952K065,1,Treaty,,Treaty,0
11957A/PRO/PRI/04,11957A/PRO/PRI/04,11957APROPRI04,,1957.0,Treaty,Pre-Treaty of Rome,1950.0,,,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957A/PRO/PRI/04,1,Treaty,,Treaty,0
11957A008,11957A008,11957A008,,1957.0,Treaty,Pre-Treaty of Rome,1950.0,,,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957A008,1,Treaty,,Treaty,0
11957A022,11957A022,11957A022,,1957.0,Treaty,Pre-Treaty of Rome,1950.0,,,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957A022,1,Treaty,,Treaty,0
11957A050,11957A050,11957A050,,1957.0,Treaty,Pre-Treaty of Rome,1950.0,,,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:11957A050,1,Treaty,,Treaty,0
