source,target,type
http://eurovoc.europa.eu/100149,http://eurovoc.europa.eu/100213,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100150,http://eurovoc.europa.eu/100220,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100146,http://eurovoc.europa.eu/100187,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100146,http://eurovoc.europa.eu/100186,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100155,http://eurovoc.europa.eu/100244,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100143,http://eurovoc.europa.eu/100171,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100159,http://eurovoc.europa.eu/100263,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100148,http://eurovoc.europa.eu/100206,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100154,http://eurovoc.europa.eu/100240,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100149,http://eurovoc.europa.eu/100211,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100156,http://eurovoc.europa.eu/100252,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100149,http://eurovoc.europa.eu/100210,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100156,http://eurovoc.europa.eu/100251,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100144,http://eurovoc.europa.eu/100177,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100156,http://eurovoc.europa.eu/100248,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100162,http://eurovoc.europa.eu/100289,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100160,http://eurovoc.europa.eu/100268,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100162,http://eurovoc.europa.eu/100288,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100147,http://eurovoc.europa.eu/100195,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100148,http://eurovoc.europa.eu/100204,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100152,http://eurovoc.europa.eu/100231,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100150,http://eurovoc.europa.eu/100223,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100148,http://eurovoc.europa.eu/100201,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100158,http://eurovoc.europa.eu/100262,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100156,http://eurovoc.europa.eu/100247,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100158,http://eurovoc.europa.eu/100261,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100157,http://eurovoc.europa.eu/100253,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100143,http://eurovoc.europa.eu/100173,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100161,http://eurovoc.europa.eu/100280,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100153,http://eurovoc.europa.eu/100236,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100156,http://eurovoc.europa.eu/100249,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100155,http://eurovoc.europa.eu/100243,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100153,http://eurovoc.europa.eu/100235,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100148,http://eurovoc.europa.eu/100207,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100150,http://eurovoc.europa.eu/100218,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100153,http://eurovoc.europa.eu/100232,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100145,http://eurovoc.europa.eu/100178,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100149,http://eurovoc.europa.eu/100216,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100159,http://eurovoc.europa.eu/100264,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100160,http://eurovoc.europa.eu/100276,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100142,http://eurovoc.europa.eu/100163,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100146,http://eurovoc.europa.eu/100190,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100161,http://eurovoc.europa.eu/100282,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100160,http://eurovoc.europa.eu/100274,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100162,http://eurovoc.europa.eu/100287,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100145,http://eurovoc.europa.eu/100179,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100160,http://eurovoc.europa.eu/100272,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100152,http://eurovoc.europa.eu/100229,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100142,http://eurovoc.europa.eu/100167,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100159,http://eurovoc.europa.eu/100265,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100145,http://eurovoc.europa.eu/100180,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100149,http://eurovoc.europa.eu/100209,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100161,http://eurovoc.europa.eu/100278,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100142,http://eurovoc.europa.eu/100164,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100147,http://eurovoc.europa.eu/100191,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100148,http://eurovoc.europa.eu/100205,PARENT_CONCEPT_OF
