Id,Label,year,type,era,seed_concepts,indegree,outdegree,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
32019R0452,32019R0452,2019,Regulation,Late 2010s,5,7,14,21,331,9,0.29589,0.347613,1350.857218
12016E063,12016E063,2016,Treaty,Late 2010s,0,0,0,0,0,0,0,0,0
12016E065,12016E065,2016,Treaty,Late 2010s,0,2,0,2,331,0,0,0,0
32021R0821,32021R0821,2021,Regulation,2020s,0,23,25,48,300,7,0.287728,0.348099,6757.883106
32011H0723(01),32011H072301,2011,Legislative_Act,Early 2010s,1,1,4,5,325,1,1,1,3
32011R0269R(01),32011R0269R01,2011,Regulation,Early 2010s,1,0,0,0,10,0,0,0,0
32011R0328,32011R0328,2011,Regulation,Early 2010s,1,0,3,3,329,4,0.332335,0.362613,0
32012D0399,32012D0399,2012,Decision,Early 2010s,1,0,3,3,157,3,0.428571,0.5,0
32012L0010,32012L0010,2012,Directive,Early 2010s,1,0,0,0,11,0,0,0,0
32012R0555,32012R0555,2012,Regulation,Early 2010s,1,2,0,2,330,0,0,0,0
32013H0730(09),32013H073009,2013,Legislative_Act,Early 2010s,1,0,6,6,325,4,0.324873,0.382812,0
32013H0730(23),32013H073023,2013,Legislative_Act,Early 2010s,1,2,6,8,325,2,0.714286,0.8,14
32013H0730(24),32013H073024,2013,Legislative_Act,Early 2010s,1,1,4,5,325,2,0.75,0.833333,6
32013R0909,32013R0909,2013,Regulation,Early 2010s,1,1,1,2,17,2,0.6,0.666667,0
32014D0169,32014D0169,2014,Decision,Early 2010s,1,1,2,3,210,4,0.302198,0.330303,0
32014L0061R(02),32014L0061R02,2014,Regulation,Early 2010s,1,0,1,1,324,4,0.311475,0.339181,0
32015D0800,32015D0800,2015,Decision,Late 2010s,1,0,4,4,330,1,1,1,0
32015D1057,32015D1057,2015,Decision,Late 2010s,1,0,1,1,167,1,1,1,0
32015R2120R(01),32015R2120R01,2015,Regulation,Late 2010s,1,0,0,0,12,0,0,0,0
32016A0817(03),32016A081703,2016,Legislative_Act,Late 2010s,1,0,3,3,329,3,0.515152,0.568627,0
32017D0758,32017D0758,2017,Decision,Late 2010s,1,0,7,7,50,4,0.361413,0.406015,0
32017D1102,32017D1102,2017,Decision,Late 2010s,1,0,4,4,330,3,0.521739,0.625,0
32017D1967,32017D1967,2017,Decision,Late 2010s,1,0,2,2,50,1,1,1,0
32017D1968,32017D1968,2017,Decision,Late 2010s,2,0,5,5,331,3,0.53125,0.617647,0
32017R0492,32017R0492,2017,Regulation,Late 2010s,2,0,1,1,17,3,0.5,0.566667,0
32017R0776,32017R0776,2017,Regulation,Late 2010s,1,7,4,11,231,4,0.358852,0.391667,662.8
32017R2015,32017R2015,2017,Regulation,Late 2010s,2,0,1,1,280,7,0.218792,0.274759,0
32018R0634,32018R0634,2018,Regulation,Late 2010s,1,0,5,5,280,5,0.296875,0.336491,0
32018R0678,32018R0678,2018,Regulation,Late 2010s,1,0,2,2,333,4,0.315625,0.335809,0
32018R0688,32018R0688,2018,Regulation,Late 2010s,1,0,1,1,280,5,0.268868,0.297953,0
32018R0761,32018R0761,2018,Regulation,Late 2010s,1,2,5,7,84,4,0.413462,0.48062,47.615873
32019D0327(03),32019D032703,2019,Decision,Late 2010s,1,0,2,2,331,10,0.223269,0.248459,0
32019L0713,32019L0713,2019,Directive,Late 2010s,1,2,13,15,331,9,0.288387,0.329621,83.869481
32019R0618,32019R0618,2019,Regulation,Late 2010s,1,1,4,5,333,3,0.588235,0.683333,6
32019R0801,32019R0801,2019,Regulation,Late 2010s,1,0,1,1,333,4,0.339286,0.381579,0
32019R0876R(13),32019R0876R13,2019,Regulation,Late 2010s,2,0,0,0,13,0,0,0,0
32019R0933,32019R0933,2019,Regulation,Late 2010s,1,0,9,9,331,7,0.219721,0.262532,0
32019R1830,32019R1830,2019,Regulation,Late 2010s,1,0,2,2,324,8,0.252047,0.289449,0
32019R2155R(02),32019R2155R02,2019,Regulation,Late 2010s,2,0,1,1,86,7,0.204082,0.225013,0
32020D0414R(01),32020D0414R01,2020,Regulation,2020s,1,0,1,1,331,5,0.3125,0.351667,0
32020R0558,32020R0558,2020,Regulation,2020s,1,3,14,17,331,7,0.244878,0.309657,75.220635
32020R0784R(02),32020R0784R02,2020,Regulation,2020s,1,0,1,1,50,6,0.262925,0.277996,0
32020R1182R(01),32020R1182R01,2020,Regulation,2020s,1,0,0,0,14,0,0,0,0
32020R1228,32020R1228,2020,Regulation,2020s,2,0,4,4,280,11,0.234426,0.275664,0
32021D1210,32021D1210,2021,Decision,2020s,2,0,3,3,330,1,1,1,0
32021R0943,32021R0943,2021,Regulation,2020s,1,0,3,3,280,11,0.205082,0.241466,0
32021R1971,32021R1971,2021,Regulation,2020s,1,0,1,1,280,5,0.268868,0.297953,0
32022D1971,32022D1971,2022,Decision,2020s,1,1,4,5,330,2,0.833333,0.9,0
32022D1981,32022D1981,2022,Decision,2020s,2,0,5,5,86,3,0.48,0.625,0
32022D1982,32022D1982,2022,Decision,2020s,2,1,5,6,86,2,0.647059,0.727273,7
32022D2331,32022D2331,2022,Decision,2020s,1,0,0,0,15,0,0,0,0
32022D2494,32022D2494,2022,Decision,2020s,1,0,1,1,177,3,0.5,0.537037,0
32022L0362R(02),32022L0362R02,2022,Regulation,2020s,1,0,0,0,16,0,0,0,0
32022R0692,32022R0692,2022,Regulation,2020s,1,2,0,2,231,0,0,0,0
32022R1032R(02),32022R1032R02,2022,Regulation,2020s,1,0,1,1,210,11,0.170082,0.18491,0
32022R1622R(01),32022R1622R01,2022,Regulation,2020s,2,0,1,1,280,6,0.227986,0.244797,0
32022R2360,32022R2360,2022,Regulation,2020s,2,0,2,2,280,5,0.283767,0.311135,0
32022R2554R(02),32022R2554R02,2022,Regulation,2020s,1,0,1,1,280,9,0.235336,0.255,0
32023D0160,32023D0160,2023,Decision,2020s,1,2,1,3,300,1,1,1,2
32023D0178,32023D0178,2023,Decision,2020s,1,0,3,3,177,5,0.418605,0.506481,0
32023D0599,32023D0599,2023,Decision,2020s,3,0,3,3,330,1,1,1,0
32023D0672,32023D0672,2023,Decision,2020s,2,1,6,7,86,6,0.257373,0.305469,191
32023D0673,32023D0673,2023,Decision,2020s,2,0,4,4,86,7,0.207447,0.239072,0
32023D1053,32023D1053,2023,Decision,2020s,2,0,1,1,331,9,0.252506,0.273841,0
32023D1534,32023D1534,2023,Decision,2020s,1,0,1,1,331,9,0.241093,0.261047,0
32023R0435,32023R0435,2023,Regulation,2020s,1,1,19,20,331,9,0.248891,0.293572,670
32023R0449,32023R0449,2023,Regulation,2020s,1,0,1,1,300,3,0.5,0.555556,0
32023R0662,32023R0662,2023,Regulation,2020s,1,0,2,2,280,6,0.267571,0.306528,0
32023R0707,32023R0707,2023,Regulation,2020s,1,2,3,5,231,5,0.340807,0.373575,24
32023R1182,32023R1182,2023,Regulation,2020s,1,1,8,9,331,6,0.222022,0.274526,26.191667
32023R1617,32023R1617,2023,Regulation,2020s,1,1,1,2,50,7,0.223256,0.259573,0
32023R1650,32023R1650,2023,Regulation,2020s,2,0,1,1,280,6,0.252481,0.279403,0
32024D0828,32024D0828,2024,Decision,2020s,1,0,2,2,300,2,0.75,0.833333,0
32024D0902,32024D0902,2024,Decision,2020s,1,0,3,3,86,10,0.208416,0.228145,0
32024D1511,32024D1511,2024,Decision,2020s,1,0,2,2,50,1,1,1,0
32024D2840,32024D2840,2024,Decision,2020s,2,0,3,3,330,1,1,1,0
