Id,Label,year,type,era,seed_concepts,indegree,outdegree,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
32008L0114,32008L0114,2008,Directive,Late 2000s,0,9,0,9,331,0,0,0,0
31973Y0919(11),31973Y091911,1973,Legislative_Act,Pre-Single European Act,1,0,3,3,17,2,0.8,0.875,0
31985D0066,31985D0066,1985,Decision,Pre-Single European Act,1,0,0,0,1,0,0,0,0
31990Y0818(01),31990Y081801,1990,Legislative_Act,Pre-Maastricht,1,0,0,0,2,0,0,0,0
31996R0902,31996R0902,1996,Regulation,1990s,1,3,1,4,300,1,1,1,3
31997D0486,31997D0486,1997,Decision,1990s,1,0,3,3,59,1,1,1,0
31997D0487,31997D0487,1997,Decision,1990s,1,0,3,3,59,1,1,1,0
31998Y1215(01),31998Y121501,1998,Legislative_Act,1990s,1,2,3,5,177,2,0.714286,0.8,5.5
32000R1896,32000R1896,2000,Regulation,Early 2000s,1,5,1,6,231,1,1,1,1
32001D0079,32001D0079,2001,Decision,Early 2000s,1,2,3,5,330,1,1,1,6
32002L0058R(01),32002L0058R01,2002,Regulation,Early 2000s,1,0,1,1,331,2,0.52381,0.545455,0
32003D0521,32003D0521,2003,Decision,Early 2000s,1,0,11,11,84,1,1,1,0
32003R1139R(01),32003R1139R01,2003,Regulation,Early 2000s,1,0,0,0,3,0,0,0,0
32004D0733,32004D0733,2004,Decision,Early 2000s,1,1,1,2,330,1,1,1,1
32004R0785R(01),32004R0785R01,2004,Regulation,Early 2000s,2,0,0,0,4,0,0,0,0
32005L0044R(01),32005L0044R01,2005,Regulation,Late 2000s,1,0,0,0,5,0,0,0,0
32005R2073R(10),32005R2073R10,2005,Regulation,Late 2000s,1,0,1,1,333,5,0.265985,0.295833,0
32006D0267,32006D0267,2006,Decision,Late 2000s,2,0,3,3,330,2,0.8,0.875,0
32006L0007R(01),32006L0007R01,2006,Regulation,Late 2000s,1,0,0,0,6,0,0,0,0
32006R0907R(02),32006R0907R02,2006,Regulation,Late 2000s,1,0,1,1,103,1,1,1,0
32007D0725,32007D0725,2007,Decision,Late 2000s,2,0,1,1,330,1,1,1,0
32008D0712,32008D0712,2008,Decision,Late 2000s,2,0,3,3,330,2,0.714286,0.8,0
32008D0981,32008D0981,2008,Decision,Late 2000s,1,0,1,1,84,1,1,1,0
32008L0098R(09),32008L0098R09,2008,Regulation,Late 2000s,1,0,0,0,7,0,0,0,0
32008R1234,32008R1234,2008,Regulation,Late 2000s,1,5,6,11,333,1,1,1,49.5
32008R1334R(06),32008R1334R06,2008,Regulation,Late 2000s,1,0,0,0,8,0,0,0,0
32009D0341,32009D0341,2009,Decision,Late 2000s,1,1,4,5,84,4,0.46,0.532609,16
32009R0767,32009R0767,2009,Regulation,Late 2000s,1,16,43,59,333,3,0.53252,0.629771,3318.139472
31983H0419,31983H0419,1983,Legislative_Act,Pre-Single European Act,1,0,1,1,17,1,1,1,0
31990Y0707(02),31990Y070702,1990,Legislative_Act,Pre-Maastricht,1,0,1,1,59,2,0.666667,0.75,0
