id:ID,url,name,eurovoc_concepts:STRING[],domains:STRING[],subdomains:STRING[],:LABEL
http://eurovoc.europa.eu/100150,http://eurovoc.europa.eu/100150,32 EDUCATION AND COMMUNICATIONS,32 EDUCATION AND COMMUNICATIONS,32 EDUCATION AND COMMUNICATIONS,,EurovocConcept;Domain
http://eurovoc.europa.eu/100154,http://eurovoc.europa.eu/100154,48 TRANSPORT,48 TRANSPORT,48 TRANSPORT,,EurovocConcept;Domain
http://eurovoc.europa.eu/100156,http://eurovoc.europa.eu/100156,"56 AGRICULTURE, FORESTRY AND FISHERIES","56 AGRICULTURE, FORESTRY AND FISHERIES","56 AGRICULTURE, FORESTRY AND FISHERIES",,EurovocConcept;Domain
http://eurovoc.europa.eu/100157,http://eurovoc.europa.eu/100157,60 AGRI-FOODSTUFFS,60 AGRI-FOODSTUFFS,60 AGRI-FOODSTUFFS,,EurovocConcept;Domain
http://eurovoc.europa.eu/100158,http://eurovoc.europa.eu/100158,"64 PRODUCTION, TECHNOLOGY AND RESEARCH","64 PRODUCTION, TECHNOLOGY AND RESEARCH","64 PRODUCTION, TECHNOLOGY AND RESEARCH",,EurovocConcept;Domain
http://eurovoc.europa.eu/100159,http://eurovoc.europa.eu/100159,66 ENERGY,66 ENERGY,66 ENERGY,,EurovocConcept;Domain
http://eurovoc.europa.eu/100168,http://eurovoc.europa.eu/100168,0431 politics and public safety,04 POLITICS;0431 politics and public safety,04 POLITICS,0431 politics and public safety,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100172,http://eurovoc.europa.eu/100172,0816 international security,0816 international security;08 INTERNATIONAL RELATIONS,08 INTERNATIONAL RELATIONS,0816 international security,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100173,http://eurovoc.europa.eu/100173,0821 defence,0821 defence;08 INTERNATIONAL RELATIONS,08 INTERNATIONAL RELATIONS,0821 defence,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100200,http://eurovoc.europa.eu/100200,2416 financial institutions and credit,2416 financial institutions and credit;24 FINANCE,24 FINANCE,2416 financial institutions and credit,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100201,http://eurovoc.europa.eu/100201,2421 free movement of capital,24 FINANCE;2421 free movement of capital,24 FINANCE,2421 free movement of capital,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100203,http://eurovoc.europa.eu/100203,2431 insurance,2431 insurance;24 FINANCE,24 FINANCE,2431 insurance,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100215,http://eurovoc.europa.eu/100215,2841 health,28 SOCIAL QUESTIONS;2841 health,28 SOCIAL QUESTIONS,2841 health,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100221,http://eurovoc.europa.eu/100221,3226 communications,32 EDUCATION AND COMMUNICATIONS;3226 communications,32 EDUCATION AND COMMUNICATIONS,3226 communications,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100223,http://eurovoc.europa.eu/100223,3236 information technology and data processing,32 EDUCATION AND COMMUNICATIONS;3236 information technology and data processing,32 EDUCATION AND COMMUNICATIONS,3236 information technology and data processing,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100237,http://eurovoc.europa.eu/100237,4806 transport policy,4806 transport policy;48 TRANSPORT,48 TRANSPORT,4806 transport policy,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100238,http://eurovoc.europa.eu/100238,4811 organisation of transport,4811 organisation of transport;48 TRANSPORT,48 TRANSPORT,4811 organisation of transport,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100239,http://eurovoc.europa.eu/100239,4816 land transport,4816 land transport;48 TRANSPORT,48 TRANSPORT,4816 land transport,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100240,http://eurovoc.europa.eu/100240,4821 maritime and inland waterway transport,4821 maritime and inland waterway transport;48 TRANSPORT,48 TRANSPORT,4821 maritime and inland waterway transport,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100241,http://eurovoc.europa.eu/100241,4826 air and space transport,4826 air and space transport;48 TRANSPORT,48 TRANSPORT,4826 air and space transport,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100247,http://eurovoc.europa.eu/100247,5616 farming systems,"5616 farming systems;56 AGRICULTURE, FORESTRY AND FISHERIES","56 AGRICULTURE, FORESTRY AND FISHERIES",5616 farming systems,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100257,http://eurovoc.europa.eu/100257,6026 foodstuff,60 AGRI-FOODSTUFFS;6026 foodstuff,60 AGRI-FOODSTUFFS,6026 foodstuff,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100258,http://eurovoc.europa.eu/100258,6031 agri-foodstuffs,6031 agri-foodstuffs;60 AGRI-FOODSTUFFS,60 AGRI-FOODSTUFFS,6031 agri-foodstuffs,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100259,http://eurovoc.europa.eu/100259,6036 food technology,60 AGRI-FOODSTUFFS;6036 food technology,60 AGRI-FOODSTUFFS,6036 food technology,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100261,http://eurovoc.europa.eu/100261,6411 technology and technical regulations,"64 PRODUCTION, TECHNOLOGY AND RESEARCH;6411 technology and technical regulations","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6411 technology and technical regulations,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100262,http://eurovoc.europa.eu/100262,6416 research and intellectual property,"64 PRODUCTION, TECHNOLOGY AND RESEARCH;6416 research and intellectual property","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6416 research and intellectual property,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100263,http://eurovoc.europa.eu/100263,6606 energy policy,66 ENERGY;6606 energy policy,66 ENERGY,6606 energy policy,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100267,http://eurovoc.europa.eu/100267,6626 soft energy,6626 soft energy;66 ENERGY,66 ENERGY,6626 soft energy,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100272,http://eurovoc.europa.eu/100272,6826 electronics and electrical engineering,6826 electronics and electrical engineering;68 INDUSTRY,68 INDUSTRY,6826 electronics and electrical engineering,EurovocConcept;SubDomain
