:START_ID,:END_ID,:TYPE
31996D0546,31995M0595,CITES
31996D0546,11992E086,CITES
31996D0546,31990L0388,CITES
31996D0546,31994D0579,CITES
31996D0546,31994D0896,CITES
31996D0546,31994D0322,CITES
31996D0546,31993D0403,CITES
31996D0546,21994A0103(22),CITES
31996D0546,31996D0547,CITES
31996D0546,11992E085,CITES
31996D0546,31992L0044,CITES
31996D0546,31994D0663,CITES
31996D0546,31995M0618,CITES
31996D0546,31990L0387,CITES
31996D0546,31993D0049,CITES
31996D0546,31994D0895,CITES
31996D0546,31989R4064,CITES
31996D0546,31996L0019,CITES
31996D0546,31996M0689,CITES
31996D0546,51996PC0121,CITES
31996D0546,31994D0594,CITES
32004D0311,62002TJ0005,CITES
32004D0311,31998R0447,CITES
32004D0311,31997Y1209(01),CITES
32004D0311,61994CJ0068,CITES
32004D0311,31989D4064,CITES
32003D0126,31992L0046,CITES
32003D0126,31993D0383,CITES
32003D0126,31992L0117,CITES
32003D0126,31999D0313,CITES
32003D0126,32003R0324,CITES
32003D0126,31999R1258,CITES
32003D0126,32001R0999,CITES
32002D0200,C1998/074/07,CITES
32002D0200,31994Y1223(02),CITES
32002D0200,31999Y0310(01),CITES
32002D0200,C1998/249/03,CITES
32002D0200,31980L0723,CITES
32002D0200,31993Y1113(01),CITES
32002D0200,32001R0068,CITES
32002D0200,C1999/280/06,CITES
32002D0200,31999Y1009(01),CITES
32002D0200,C2000/232/02,CITES
32002D0200,11997E087,CITES
32000D0075,31994Y1223(02),CITES
32000D0075,31997D0795,CITES
32000D0075,31999R0659,CITES
32000D0075,11997E087,CITES
32000D0510,31999R1258,CITES
32003D0879,12002E073,CITES
32003D0879,C2000/315/07,CITES
32003D0879,51995DC0691,CITES
32003D0879,52001DC0370,CITES
32003D0879,52002PC0054,CITES
32003D0879,61985CJ0085,CITES
32003D0879,12002E087,CITES
32003D0879,C2001/102/05,CITES
32003D0879,51998DC0466,CITES
32003D0879,31996R2255,CITES
32003D0879,61996CJ0035,CITES
32003D0879,31970R1107,CITES
32003D0879,52002XC0906(01),CITES
32004D0165,C1996/029/03,CITES
32004D0165,31988Y0812(01),CITES
32004D0165,31994Y1223(02),CITES
32004D0165,31996Y0306(01),CITES
32004D0165,31992Y0819(01),CITES
32004D0165,52002XC0522(04),CITES
32004D0165,32000Y0311(03),CITES
32004D0165,31979Y0203(01),CITES
32004D0165,31999D0183,CITES
32004D0165,32001R0069,CITES
32004D0165,31999R0659,CITES
32004D0165,31998Y0310(01),CITES
32004D0165,61998CJ0156,CITES
32004D0165,31999Y1009(01),CITES
32004D0165,12002E087,CITES
32001D0718,31999D0242,CITES
32001D0718,31971D0224,CITES
32001D0718,52001XX1009(02),CITES
32001D0718,32000M1838,CITES
32001D0718,31972D0268,CITES
32001D0718,32001D0098,CITES
31995D0002,11994N012,CITES
32002D0759,61982CJ0096,CITES
32002D0759,61977CJ0019,CITES
32002D0759,52002XX0921(01),CITES
32002D0759,31998R2842,CITES
32002D0759,61984CJ0042,CITES
32002D0759,31996H0280,CITES
32002D0759,11997E256,CITES
32002D0759,61986CJ0246,CITES
32002D0759,11997E081,CITES
32002D0759,61997CJ0126,CITES
32002D0759,61983CJ0193,CITES
32002D0759,61982CJ0240,CITES
32002D0759,61994TJ0374,CITES
32002D0759,31997Y1209(02),CITES
32002D0759,31996Y0718(01),CITES
32002D0759,61998TJ0062,CITES
32003D0875,61991CJ0047(01),CITES
32003D0875,31999R0659,CITES
32003D0875,C2001/219/03,CITES
32003D0875,31998Y0310(01),CITES
32003D0875,61982CJ0323,CITES
32003D0875,31996H0280,CITES
32003D0875,C1999/080/03,CITES
32003D0875,31996Y0723(01),CITES
32003D0875,11997E087,CITES
31999D0329,31993D0082,CITES
31999D0329,61978CJ0209,CITES
31999D0329,31993D0003,CITES
31999D0329,61993TJ0024,CITES
31999D0329,51996IP0413,CITES
31999D0329,91996E000164,CITES
31999D0329,61989TJ0068,CITES
31999D0329,61976CJ0085,CITES
31999D0329,31992R3932,CITES
31999D0329,61978CO0209,CITES
31999D0329,61986CO0062,CITES
31999D0329,31992D0262,CITES
31999D0329,31985D0615,CITES
31999D0329,31980D0917,CITES
31999D0329,31991L0674,CITES
31999D0329,91998E000213,CITES
31999D0329,61992CJ0250,CITES
32003D0814,32000L0076,CITES
32003D0814,62000CJ0172,CITES
