celex,articolo_id,article_text,lamf_L1,lamf_L2,lamf_L3,lamf_L4,entropy,dominant_lamf,expert_1_label,expert_1_comment,expert_2_label,expert_2_comment,adjudicated_label,adjudication_comment
dlgs_36_2023,art3,"Art. 3. Principio dell'accesso al mercato
1. Le stazioni appaltanti e gli enti concedenti favoriscono, secondo le modalità indicate dal codice, l'accesso al mercato degli operatori economici nel rispetto dei principi di concorrenza, di imparzialità, di non discriminazione, di pubblicità e trasparenza, di proporzionalità.",100.0,0.0,0.0,0.0,0.0,L1,,,,,,
dlgs_36_2023,art4,"Art. 4. Criterio interpretativo e applicativo
1. Le disposizioni del codice si interpretano e si applicano in base ai principi di cui agli articoli 1, 2 e 3.",100.0,0.0,0.0,0.0,0.0,L1,,,,,,
dlgs_36_2023,art1,"Art. 1. Principio del risultato
1. Le stazioni appaltanti e gli enti concedenti perseguono il risultato dell'affidamento del contratto e della sua esecuzione con la massima tempestività e il migliore rapporto possibile tra qualità e prezzo, nel rispetto dei principi di legalità, trasparenza e concorrenza. 2. La concorrenza tra gli operatori economici è funzionale a conseguire il miglior risultato possibile nell'affidare ed eseguire i contratti. La trasparenza è funzionale alla massima semplicità e celerità nella corretta applicazione delle regole del presente decreto, di seguito denominato «codice» e ne assicura la piena verificabilità. 3. Il principio del risultato costituisce attuazione, nel settore dei contratti pubblici, del principio del buon andamento e dei correlati principi di efficienza, efficacia ed economicità. Esso è perseguito nell'interesse della comunità e per il raggiungimento degli obiettivi dell'Unione europea. 4. Il principio del risultato costituisce criterio prioritario per l'esercizio del potere discrezionale e per l'individuazione della regola del caso concreto, nonché per: a) valutare la responsabilità del personale che svolge funzioni amministrative o tecniche nelle fasi di programmazione, progettazione, affidamento ed esecuzione dei contratti; b) attribuire gli incentivi secondo le modalità previste dalla contrattazione collettiva.",100.0,0.0,0.0,0.0,0.0,L1,,,,,,
dlgs_36_2023,art5,"Art. 5. Principi di buona fede e di tutela dell'affidamento
1. Nella procedura di gara le stazioni appaltanti, gli enti concedenti e gli operatori economici si comportano reciprocamente nel rispetto dei principi di buona fede e di tutela dell'affidamento. 2. Nell'ambito del procedimento di gara, anche prima dell'aggiudicazione, sussiste un affidamento dell'operatore economico sul legittimo esercizio del potere e sulla conformità del comportamento amministrativo al principio di buona fede. 3. In caso di aggiudicazione annullata su ricorso di terzi o in autotutela, l'affidamento non si considera incolpevole se l'illegittimità è agevolmente rilevabile in base alla diligenza professionale richiesta ai concorrenti. Nei casi in cui non spetta l'aggiudicazione, il danno da lesione dell'affidamento è limitato ai pregiudizi economici effettivamente subiti e provati, derivanti dall'interferenza del comportamento scorretto sulle scelte contrattuali dell'operatore economico. 4. Ai fini dell'azione di rivalsa della stazione appaltante o dell'ente concedente condannati al risarcimento del danno a favore del terzo pretermesso, resta ferma la concorrente responsabilità dell'operatore economico che ha conseguito l'aggiudicazione illegittima con un comportamento illecito.",100.0,0.0,0.0,0.0,0.0,L1,,,,,,
dlgs_36_2023,art6,"Art. 6. Principi di solidarietà e di sussidiarietà orizzontale. Rapporti con gli enti del Terzo settore
1. In attuazione dei principi di solidarietà sociale e di sussidiarietà orizzontale, la pubblica amministrazione può apprestare, in relazione ad attività a spiccata valenza sociale, modelli organizzativi di amministrazione condivisa, privi di rapporti sinallagmatici, fondati sulla condivisione della funzione amministrativa con gli enti del Terzo settore di cui al codice del Terzo settore di cui al decreto legislativo 3 luglio 2017, n. 117 , sempre che gli stessi contribuiscano al perseguimento delle finalità sociali in condizioni di pari trattamento, in modo effettivo e trasparente e in base al principio del risultato. Non rientrano nel campo di applicazione del presente codice gli istituti disciplinati dal Titolo VII del codice del Terzo settore, di cui al decreto legislativo n. 117 del 2017 .",100.0,0.0,0.0,0.0,0.0,L1,,,,,,
dlgs_36_2023,art14,"Art. 14. Soglie di rilevanza europea e metodi di calcolo dell'importo stimato degli appalti. Disciplina dei contratti misti
1. Per l'applicazione del codice le soglie di rilevanza europea sono: a) euro 5.382.000 per gli appalti pubblici di lavori e per le concessioni; b) euro 140.000 per gli appalti pubblici di forniture, di servizi e per i concorsi pubblici di progettazione aggiudicati dalle stazioni appaltanti che sono autorità governative centrali indicate nell'allegato I alla direttiva 2014/24/UE del Parlamento europeo e del Consiglio, del 26 febbraio 2014 ; se gli appalti pubblici di forniture sono aggiudicati da stazioni appaltanti operanti nel settore della difesa, questa soglia si applica solo agli appalti concernenti i prodotti menzionati nell'allegato III alla direttiva 2014/24/UE ; c) euro 215.000 per gli appalti pubblici di forniture, di servizi e per i concorsi pubblici di progettazione aggiudicati da stazioni appaltanti sub-centrali; questa soglia si applica anche agli appalti pubblici di forniture aggiudicati dalle autorità governative centrali che operano nel settore della difesa, quando gli appalti concernono prodotti non menzionati nell'allegato III alla direttiva 2014/24/UE ; d) euro 750.000 per gli appalti di servizi sociali e assimilati elencati all'allegato XIV alla direttiva 2014/24/UE . 2. Nei settori speciali le soglie di rilevanza europea sono: a) euro 5.382.000 per gli appalti di lavori; b) euro 431.000 per gli appalti di forniture, di servizi e per i concorsi pubblici di progettazione; c) euro 1.000.000 per i contratti di servizi, per i servizi sociali e assimilati elencati nell'allegato XIV alla direttiva 2014/24/UE . 3. Le soglie di cui al presente articolo sono periodicamente rideterminate con provvedimento della Commissione europea, pubblicato nella Gazzetta ufficiale dell'Unione europea. 4. Il calcolo dell'importo stimato di un appalto pubblico di lavori, servizi e forniture è basato sull'importo totale pagabile, al netto dell'imposta sul valore aggiunto (IVA), valutato dalla stazione appaltante. Il calcolo tiene conto dell'importo massimo stimato, ivi compresa qualsiasi forma di eventuali opzioni o rinnovi del contratto esplicitamente stabiliti nei documenti di gara. Quando la stazione appaltante prevede premi o pagamenti per i candidati o gli offerenti, ne tiene conto nel calcolo dell'importo stimato dell'appalto. 5. Se una stazione appaltante o un ente concedente sono composti da unità operative distinte, il calcolo dell'importo stimato di un appalto o di una concessione tiene conto dell'importo totale stimato per tutte le singole unità operative. Se un'unità operativa distinta è responsabile in modo indipendente del proprio appalto o della propria concessione o di determinate categorie di essi, il relativo importo può essere stimato con riferimento all'importo attribuito dall'unità operativa distinta. 6. La scelta del metodo per il calcolo dell'importo stimato di un appalto o concessione non può essere fatta per evitare l'applicazione delle disposizioni del codice relative alle soglie europee. Un appalto non può essere frazionato per evitare l'applicazione delle norme del codice, tranne nel caso in cui ragioni oggettive lo giustifichino. 7. L'importo stimato dell'appalto o concessione è quantificato al momento dell'invio dell'avviso di indizione di gara o del bando di gara o, nei casi in cui non sia prevista un'indizione di gara, al momento in cui la stazione appaltante o l'ente concedente avvia la procedura di affidamento del contratto. 8. Per gli appalti pubblici di lavori il calcolo dell'importo stimato tiene conto dell'importo dei lavori stessi nonché dell'importo complessivo stimato di tutte le forniture e servizi messi a disposizione dell'aggiudicatario dalla stazione appaltante, a condizione che siano necessari all'esecuzione dei lavori. L'importo delle forniture o dei servizi non necessari all'esecuzione di uno specifico appalto di lavori non può essere aggiunto all'importo dell'appalto di lavori in modo da sottrarre l'acquisto di tali forniture o servizi dall'applicazione delle disposizioni del codice. 9. Per i contratti relativi a lavori e servizi: a) quando un'opera prevista o una prestazione di servizi può dare luogo ad appalti aggiudicati per lotti distinti, è computato l'importo complessivo stimato della totalità di tali lotti; b) quando l'importo cumulato dei lotti è pari o superiore alle soglie di cui ai commi 1 e 2, le disposizioni del codice si applicano all'aggiudicazione di ciascun lotto. 10. Per gli appalti di forniture: a) quando un progetto volto ad ottenere forniture omogenee può dare luogo ad appalti aggiudicati per lotti distinti, nell'applicazione delle soglie di cui ai commi 1 e 2 è computato l'importo complessivo stimato della totalità di tali lotti; b) quando l'importo cumulato dei lotti è pari o superiore alle soglie di cui ai commi 1 e 2, le disposizioni del codice si applicano all'aggiudicazione di ciascun lotto. 11. In deroga a quanto previsto dai commi 9 e 10, le stazioni appaltanti possono aggiudicare l'appalto per singoli lotti ((con le modalità previste per gli affidamenti di cui al Libro II, Parte I)) quando l'importo stimato al netto dell'IVA del lotto sia inferiore a euro 80.000 per le forniture o i servizi, oppure a euro 1.000.000 per i lavori, purché l'importo cumulato dei lotti aggiudicati non superi il 20 per cento dell'importo complessivo di tutti i lotti in cui sono stati frazionati l'opera prevista, il progetto di acquisizione delle forniture omogenee o il progetto di prestazione servizi. 12. Se gli appalti pubblici di forniture o di servizi presentano caratteri di regolarità o sono destinati ad essere rinnovati entro un determinato periodo, è posto come base per il calcolo dell'importo stimato dell'appalto: a) l'importo reale complessivo dei contratti analoghi conclusi nel corso dei dodici mesi precedenti o dell'esercizio precedente, rettificato, ove possibile, al fine di tenere conto dei cambiamenti in termini di quantità o di importo che potrebbero sopravvenire nei dodici mesi successivi al contratto iniziale; b) l'importo stimato complessivo dei contratti aggiudicati nel corso dei dodici mesi successivi alla prima consegna o nel corso dell'esercizio, se questo è superiore ai dodici mesi. 13. Per gli appalti pubblici di forniture aventi per oggetto la locazione finanziaria, la locazione o l'acquisto a riscatto di prodotti, l'importo da assumere come base per il calcolo dell'importo stimato dell'appalto è il seguente: a) per gli appalti pubblici di durata determinata pari o inferiore a dodici mesi, l'importo stimato complessivo per la durata dell'appalto o, se la durata supera i dodici mesi, l'importo complessivo, ivi compreso l'importo stimato di quello residuo; b) per gli appalti pubblici di durata indeterminata o che non può essere definita, l'importo mensile moltiplicato per quarantotto. 14. Per gli appalti pubblici di servizi, l'importo da porre come base per il calcolo dell'importo stimato dell'appalto, a seconda del tipo di servizio, è il seguente: a) per i servizi assicurativi il premio da pagare e altre forme di remunerazione; b) per i servizi bancari e altri servizi finanziari gli onorari, le commissioni da pagare, gli interessi e altre forme di remunerazione; c) per gli appalti riguardanti la progettazione gli onorari, le commissioni da pagare e altre forme di remunerazione; d) per gli appalti pubblici di servizi che non fissano un prezzo complessivo: 1) in caso di appalti di durata determinata pari o inferiore a quarantotto mesi, l'importo complessivo stimato per l'intera loro durata; 2) in caso di appalti di durata indeterminata o superiore a quarantotto mesi, l'importo mensile moltiplicato per 48. 15. Il calcolo dell'importo stimato di un appalto misto di servizi e forniture si fonda sull'importo totale dei servizi e delle forniture, prescindendo dalle rispettive quote. Tale calcolo comprende l'importo delle operazioni di posa e di installazione. 16. Per gli accordi quadro e per i sistemi dinamici di acquisizione, l'importo da prendere in considerazione è l'importo massimo stimato al netto dell'IVA del complesso dei contratti previsti durante l'intera durata degli accordi quadro o del sistema dinamico di acquisizione. 17. Nel caso di partenariati per l'innovazione, l'importo da prendere in considerazione è l'importo massimo stimato, al netto dell'IVA, delle attività di ricerca e sviluppo che si svolgeranno per tutte le fasi del previsto partenariato, nonché delle forniture, dei servizi o dei lavori da mettere a punto e fornire alla fine del partenariato. 18. I contratti che hanno per oggetto due o più tipi di prestazioni sono aggiudicati secondo le disposizioni applicabili al tipo di appalto che ne costituisce l'oggetto principale. L'oggetto principale è determinato in base all'importo stimato più elevato tra quelli delle prestazioni oggetto dell'appalto. L'operatore economico che concorre alla procedura di affidamento di un contratto misto deve possedere i requisiti di qualificazione e capacità prescritti dal codice per ciascuna prestazione di lavori, servizi e forniture prevista dal contratto. 19. Se le diverse parti di un contratto sono oggettivamente separabili, si applicano i commi 20 e 21. Se le diverse parti di un contratto sono oggettivamente non separabili, si applica il comma 23. 20. Nel caso di appalti che per il loro oggetto rientrano solo in parte nel campo di applicazione del codice, le stazioni appaltanti possono scegliere di aggiudicare appalti distinti o di aggiudicare un appalto unico. Se le stazioni appaltanti scelgono di aggiudicare appalti distinti, il regime giuridico applicabile a ciascuno di tali appalti è determinato in base al suo oggetto. 21. I contratti misti che contengono elementi sia di appalti di forniture, lavori e servizi nei settori ordinari sia di concessioni sono aggiudicati in conformità alle disposizioni del codice che disciplinano gli appalti nei settori ordinari, purché l'importo stimato della parte del contratto che costituisce un appalto, calcolato secondo il presente articolo, sia pari o superiore alla soglia pertinente. 22. Nel caso di appalti il cui oggetto rientra in parte nei settori ordinari e in parte nei settori speciali, le disposizioni applicabili sono determinate dai commi seguenti, fatta salva la facoltà di cui al comma 20. 23. Se le diverse parti di un determinato contratto sono oggettivamente non separabili, il regime giuridico applicabile è determinato in base all'oggetto principale del contratto in questione. 24. Nei settori speciali, nel caso di contratti aventi ad oggetto prestazioni strumentali a più attività, le stazioni appaltanti possono scegliere di aggiudicare appalti distinti per ogni attività o di aggiudicare un appalto unico. Se le stazioni appaltanti scelgono di aggiudicare appalti distinti, il regime giuridico applicabile a ciascuno di essi è determinato in base all'attività cui è strumentale. Se le stazioni appaltanti decidono di aggiudicare un appalto unico, si applicano i commi 25 e 26. La decisione di aggiudicare un unico appalto o più appalti distinti non può essere adottata allo scopo di escludere l'appalto o gli appalti dall'ambito di applicazione del codice. 25. A un appalto avente ad oggetto prestazioni strumentali all'esercizio di più attività si applicano le disposizioni relative alla principale attività cui la prestazione è destinata. 26. Nel caso di appalti aventi ad oggetto prestazioni per cui è oggettivamente impossibile stabilire a quale attività esse siano principalmente strumentali, le disposizioni applicabili sono determinate come segue: a) l'appalto è aggiudicato secondo le disposizioni del codice che disciplinano gli appalti nei settori ordinari se una delle attività è disciplinata dalle disposizioni relative all'aggiudicazione degli appalti nei settori ordinari e l'altra dalle disposizioni relative all'aggiudicazione degli appalti nei settori speciali; b) l'appalto è aggiudicato secondo le disposizioni del codice che disciplinano gli appalti nei settori speciali se una delle attività è disciplinata dalle disposizioni relative all'aggiudicazione degli appalti nei settori speciali e l'altra dalle disposizioni relative all'aggiudicazione delle concessioni; c) l'appalto è aggiudicato secondo le disposizioni del codice che disciplinano gli appalti nei settori speciali se una delle attività è disciplinata dalle disposizioni relative all'aggiudicazione degli appalti nei settori speciali e l'altra non è soggetta a tali disposizioni, né a quelle relative all'aggiudicazione degli appalti nei settori ordinari o alle disposizioni relative all'aggiudicazione delle concessioni. 27. Nel caso di contratti misti che contengono elementi di appalti di forniture, lavori e servizi nei settori speciali e di concessioni, il contratto misto è aggiudicato in conformità alle disposizioni del codice che disciplinano gli appalti nei settori speciali, purché l'importo stimato della parte del contratto che costituisce un appalto disciplinato da tali disposizioni, calcolato secondo il presente articolo, sia pari o superiore alla soglia pertinente. 28. Per i contratti misti concernenti aspetti di difesa e sicurezza si applica l'articolo 137. 29. Per i contratti misti di concessione si applica l'articolo 180.",0.0,100.0,0.0,0.0,0.0,L2,,,,,,
dlgs_36_2023,art16,"Art. 16. Conflitto di interessi
1. Si ha conflitto di interessi quando un soggetto che, a qualsiasi titolo, interviene con compiti funzionali nella procedura di aggiudicazione o nella fase di esecuzione degli appalti o delle concessioni e ne può influenzare, in qualsiasi modo, il risultato, gli esiti e la gestione, ha direttamente o indirettamente un interesse finanziario, economico o altro interesse personale che può essere percepito come una minaccia ((...)) alla sua imparzialità e indipendenza nel contesto della procedura di aggiudicazione o nella fase di esecuzione. 2. In coerenza con il principio della fiducia e per preservare la funzionalità dell'azione amministrativa, la percepita minaccia all'imparzialità e indipendenza deve essere provata da chi invoca il conflitto sulla base di presupposti specifici e documentati e deve riferirsi a interessi effettivi, la cui soddisfazione sia conseguibile solo subordinando un interesse all'altro. 3. Il personale che versa nelle ipotesi di cui al comma 1 ne dà comunicazione alla stazione appaltante o all'ente concedente e si astiene dal partecipare alla procedura di aggiudicazione e all'esecuzione. 4. Le stazioni appaltanti adottano misure adeguate per individuare, prevenire e risolvere in modo efficace ogni ipotesi di conflitto di interesse nello svolgimento delle procedure di aggiudicazione ed esecuzione degli appalti e delle concessioni e vigilano affinchè gli adempimenti di cui al comma 3 siano rispettati.",39.81,38.89,0.0,21.3,0.7670502737771613,L1,,,,,,
dlgs_36_2023,art24,"Art. 24. Fascicolo virtuale dell'operatore economico
1. Presso la Banca dati nazionale dei contratti pubblici opera il fascicolo virtuale dell'operatore economico che consente la verifica dell'assenza delle cause di esclusione di cui agli articoli 94 e 95 e dei requisiti di cui all'articolo 103 per i soggetti esecutori di lavori pubblici, nonché dei dati e dei documenti relativi ai requisiti di cui all'articolo 100 che l'operatore economico inserisce. 2. Il fascicolo virtuale dell'operatore economico è utilizzato per la partecipazione alle procedure di affidamento disciplinate dal codice. I dati e i documenti contenuti nel fascicolo virtuale dell'operatore economico, nei termini di efficacia di ciascuno di essi, sono aggiornati automaticamente mediante interoperabilità e sono utilizzati in tutte le procedure di affidamento cui l'operatore partecipa. 3. Le amministrazioni competenti al rilascio delle certificazioni o delle informazioni di cui agli articoli 94 e 95 garantiscono alla Banca dati nazionale dei contratti pubblici, attraverso la piattaforma di cui all'articolo 50;ter del codice dell'amministrazione digitale , di cui al decreto legislativo 7 marzo 2005, n. 82 e l'accesso per interoperabilità alle proprie banche dati, ai sensi dell'articolo 23, comma 3, del presente codice, la disponibilità in tempo reale delle informazioni e delle certificazioni digitali necessarie ad assicurare l'intero ciclo di vita digitale di contratti pubblici. ((Alle regole e agli obblighi di interoperabilità, previsti ai sensi dell'articolo 23, comma 3, non possono essere opposte le disposizioni che regolamentano le singole banche dati che alimentano la Banca dati nazionale dei contratti pubblici.)) La violazione dell'obbligo di cui al primo periodo è punita ai sensi dell'articolo 23, comma 8. L'ANAC garantisce l'accessibilità al fascicolo virtuale dell'operatore economico alle stazioni appaltanti e agli enti concedenti, agli operatori economici e agli organismi di attestazione di cui all'articolo 100, comma 4, limitatamente ai dati di rispettiva competenza. L'ANAC può predisporre elenchi aggiornati di operatori economici già accertati secondo quanto previsto dal comma 1 e le modalità per l'utilizzo degli accertamenti per procedure di affidamento diverse. 4. Per le finalità di cui al comma 1, l'ANAC individua, con proprio provvedimento, adottato d'intesa con il Ministero delle infrastrutture e dei trasporti e con l'AGID entro sessanta giorni dalla data di entrata in vigore del codice le tipologie di dati da inserire nel fascicolo virtuale dell'operatore economico, concernenti la partecipazione alle procedure di affidamento e il loro esito, in relazione ai quali è obbligatoria la verifica attraverso la Banca dati nazionale dei contratti pubblici.",47.62,27.32,0.0,25.06,0.7607306847923601,L1,,,,,,
dlgs_36_2023,art29,"Art. 29. Regole applicabili alle comunicazioni
1. Tutte le comunicazioni e gli scambi di informazioni di cui al codice sono eseguiti, in conformità con quanto disposto dal codice dell'amministrazione digitale di cui al decreto legislativo 7 marzo 2005, n. 82 , tramite le piattaforme dell'ecosistema nazionale di cui all'articolo 22 del presente codice e, per quanto non previsto dalle predette piattaforme, mediante l'utilizzo del domicilio digitale ovvero, per le comunicazioni tra pubbliche amministrazioni, ai sensi dell' articolo 47 del codice dell'amministrazione digitale , di cui al decreto legislativo n. 82 del 2005 .",0.0,100.0,0.0,0.0,0.0,L2,,,,,,
dlgs_36_2023,art28,"Art. 28. Trasparenza dei contratti pubblici
1. Le informazioni e i dati relativi alla programmazione di lavori, servizi e forniture, nonché alle procedure del ciclo di vita dei contratti pubblici, ove non considerati riservati ai sensi dell'articolo 35 ovvero secretati ai sensi dell'articolo 139, sono trasmessi tempestivamente alla Banca dati nazionale dei contratti pubblici attraverso le piattaforme digitali di cui all'articolo 25. 2. Le stazioni appaltanti e gli enti concedenti assicurano il collegamento tra la sezione «Amministrazione trasparente» del sito istituzionale e la Banca dati nazionale dei contratti pubblici, secondo le disposizioni di cui al decreto legislativo 14 marzo 2013, n. 33 . Sono pubblicati nella sezione di cui al primo periodo la composizione della commissione giudicatrice e i curricula dei suoi componenti, nonché i resoconti della gestione finanziaria dei contratti al termine della loro esecuzione. 3. Per la trasparenza dei contratti pubblici fanno fede i dati trasmessi alla Banca dati nazionale dei contratti pubblici presso l'ANAC, la quale assicura la tempestiva pubblicazione sul proprio portale dei dati ricevuti, anche attraverso la piattaforma unica della trasparenza, e la periodica pubblicazione degli stessi in formato aperto. In particolare, sono pubblicati la struttura proponente, l'oggetto del bando, l'elenco degli operatori invitati a presentare offerte, l'aggiudicatario, l'importo di aggiudicazione, i tempi di completamento dei lavori, servizi o forniture e l'importo delle somme liquidate. 4. L'ANAC, entro sessanta giorni dalla data di entrata in vigore del codice, individua con proprio provvedimento le informazioni, i dati e le relative modalità di trasmissione per l'attuazione del presente articolo.",0.0,100.0,0.0,0.0,0.0,L2,,,,,,
